"P_SYS_ID","P_PROV_AGMT_READ_IND","P_PCCM_AGMT_READ_IND","P_REQ_CLM_SUBM_EFF_DT","P_QSP_LAST_GRADE_COMPLETED_CD","L_HIBERNATE_VER_NUM","G_AUD_ADD_TS","G_AUD_ADD_USER_ID","G_AUD_TS","G_AUD_USER_ID","P_340B_IND","P_1099_IND","P_SVC_AREA_DSTNC_CD","P_PUB_PROV_IND","P_TP_AGMT_READ_IND","P_WEBSITE","P_ACCEPT_NEW","P_TELEHEALTH","P_OTHER_ACCOM"
1000355,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000356,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000357,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000358,"N","N",,"",8,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",26-JUN-25 06.40.21.119000000 AM,"HRJOHNSON","N","Y","","N","N","","N","N",""
1000359,"N","N",,"",2,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",05-DEC-25 03.17.36.244000000 PM,"ANDOLL","N","Y","","N","N","https://www.cincinnatichildrens.org","Y","N",""
1000360,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000361,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000362,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000363,"N","N",,"",1,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-SEP-25 07.48.20.845000000 AM,"PEGBROSSART","N","Y","","N","N","","N","N",""
1000364,"N","N",,"",1,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",17-DEC-25 03.02.15.835000000 PM,"JJUVE","N","Y","","N","N","www.trinityhealth.org","Y","N",""
1000365,"N","N",,"",2,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",11-MAR-15 07.21.58.352000000 AM,"JMLAGRO","N","Y","","N","N","","","",""
1000366,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000367,"N","N",,"",1,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",21-NOV-25 12.48.30.041000000 PM,"TOMEYER","N","Y","","N","N","","N","N",""
1000368,"N","N",,"",7,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",05-SEP-25 01.13.32.357000000 PM,"DEDEMILLS","Y","Y","","N","N","NA","N","N",""
1000369,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000370,"N","N",,"",4,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",13-JUL-15 10.21.24.030000000 AM,"JMLAGRO","N","Y","","N","N","","","",""
1000371,"N","N",,"",3,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",18-JUN-15 10.06.21.915000000 AM,"JMLAGRO","N","Y","","N","N","","","",""
1000372,"N","N",,"",6,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",07-JUL-25 04.45.24.039000000 PM,"KAMELTZER","N","Y","","N","N","","N","N",""
1000373,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000374,"N","N",,"",3,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",08-AUG-15 01.02.51.043000000 PM,"ESTHERSHAHPAR","N","Y","","N","N","","","",""
1000375,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000376,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000377,"N","N",,"",5,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",11-NOV-25 12.03.24.976000000 PM,"SHOWES","N","Y","","N","N","","N","N",""
1000378,"N","N",,"",3,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",15-AUG-25 12.58.50.300000000 PM,"RDENNIS","N","Y","","N","N","","N","N",""
1000379,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000380,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000381,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000382,"N","N",,"",4,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",21-AUG-15 09.18.37.887000000 AM,"THENDERSON","N","Y","","N","N","","","",""
1000383,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000384,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000385,"N","N",,"",1,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",12-AUG-15 01.22.49.021000000 PM,"CAROLREEVES","N","Y","","N","N","","","",""
1000386,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000387,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000388,"N","N",,"",2,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",24-FEB-15 08.09.57.003000000 PM,"MMANYGUNS","N","Y","","N","N","","","",""
1000389,"N","N",,"",2,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",30-MAR-15 01.46.52.518000000 PM,"MMANYGUNS","N","Y","","N","N","","","",""
1000390,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000391,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000392,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000393,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000394,"N","N",,"",1,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",29-SEP-25 11.27.06.936000000 AM,"PEGBROSSART","N","Y","","N","N","","N","N",""
1000395,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000396,"N","N",,"",2,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",23-JUN-15 01.48.11.561000000 PM,"ESTHERSHAHPAR","N","Y","","N","N","","","",""
1000397,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000398,"N","N",,"",1,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",26-MAR-15 02.48.19.909000000 PM,"MMANYGUNS","N","Y","","N","N","","","",""
1000399,"N","N",,"",1,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-JUL-25 12.06.50.522000000 PM,"DEDEMILLS","N","Y","","N","N","","N","N",""
1000400,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000401,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000402,"N","N",,"",4,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",20-FEB-15 08.23.47.629000000 AM,"JMLAGRO","N","Y","","N","N","","","",""
1000403,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000404,"N","N",,"",2,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",29-JUN-15 01.36.21.464000000 PM,"ESTHERSHAHPAR","N","Y","","N","N","","","",""
1000405,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000406,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000407,"N","N",,"",1,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",23-JUL-15 01.17.49.413000000 PM,"USHASHA","N","Y","","N","N","","","",""
1000408,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000409,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000410,"N","N",,"",2,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",21-AUG-15 10.36.47.004000000 AM,"THENDERSON","N","Y","","N","N","","","",""
1000411,"N","N",,"",3,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",21-AUG-15 10.39.38.933000000 AM,"THENDERSON","N","Y","","N","N","","","",""
1000412,"N","N",,"",5,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",21-AUG-15 09.10.58.914000000 AM,"THENDERSON","N","Y","","N","N","","","",""
1000413,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000414,"N","N",,"",5,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",10-FEB-26 02.06.51.783000000 PM,"KAMELTZER","N","Y","","N","N","","N","N",""
1000415,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000416,"N","N",,"",1,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",15-DEC-25 06.06.51.466000000 AM,"RDENNIS","N","Y","","N","N","","N","N",""
1000417,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000418,"N","N",,"",3,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",04-MAY-15 12.05.31.280000000 PM,"BRENDAPEREZESCOB","N","Y","","N","N","","","",""
1000419,"N","N",,"",10,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",21-AUG-15 09.07.52.107000000 AM,"THENDERSON","N","Y","","N","N","","","",""
1000420,"N","N",,"",4,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",21-AUG-15 09.05.46.643000000 AM,"THENDERSON","N","Y","","N","N","","","",""
1000421,"N","N",,"",4,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",21-AUG-15 09.11.49.134000000 AM,"THENDERSON","N","Y","","N","N","","","",""
1000422,"N","N",,"",2,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",29-JAN-26 01.57.52.441000000 PM,"TDGROTH","N","Y","","N","N","","N","N",""
1000423,"N","N",,"",2,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",27-JAN-26 09.19.30.613000000 AM,"TDGROTH","N","Y","","N","N","","N","N",""
1000424,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000425,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000426,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000427,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000428,"N","N",,"",2,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",07-NOV-25 07.40.39.647000000 AM,"LWICK","N","Y","","N","N","","N","N",""
1000429,"N","N",,"",1,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",07-JUL-25 11.07.50.180000000 AM,"SHOWES","N","Y","","N","N","","N","N",""
1000000,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000001,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000002,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000003,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000004,"N","N",,"",2,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",17-FEB-26 10.17.56.300000000 AM,"DEDEMILLS","N","Y","","N","N","NA","Y","N",""
1000005,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000006,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000007,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000008,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000009,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000010,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000011,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000012,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000013,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000014,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000015,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000016,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000017,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000018,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000019,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000020,"N","N",,"",1,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",10-MAR-15 12.04.55.428000000 PM,"MMANYGUNS","N","Y","","N","N","","","",""
1000021,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000022,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000023,"N","N",,"",1,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",02-OCT-25 09.04.46.335000000 AM,"TDGROTH","N","Y","","N","N","","N","N",""
1000024,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000025,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000026,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000027,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000028,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000029,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000030,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000031,"N","N",,"",7,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",21-AUG-15 10.56.02.917000000 AM,"THENDERSON","N","Y","","N","N","","","",""
1000032,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000033,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000034,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000035,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000036,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000037,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000038,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000039,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000040,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000041,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000042,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000043,"N","N",,"",5,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",25-JUL-25 11.17.15.421000000 AM,"ANDOLL","Y","Y","","N","N","sanfordhealth.org","Y","N",""
1000044,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000045,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000046,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000047,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000048,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000049,"N","N",,"",1,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",20-AUG-15 10.58.02.841000000 AM,"JMLAGRO","N","Y","","N","N","","","",""
1000050,"N","N",,"",1,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",20-AUG-15 10.59.25.680000000 AM,"JMLAGRO","N","Y","","N","N","","","",""
1000051,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000052,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000053,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000054,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000055,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000056,"N","N",,"",3,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",29-JUN-15 10.27.54.251000000 AM,"JMLAGRO","N","Y","","N","N","","","",""
1000057,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000058,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000059,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000060,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000061,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000062,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000063,"N","N",,"",2,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",18-MAR-15 08.05.33.507000000 AM,"JMLAGRO","N","Y","","N","N","","","",""
