g_adr_sk,g_line1_adr,g_line2_adr,g_line3_adr,g_line4_adr,g_city_nam,g_town_cd,g_us_state_cd,g_zip5_cd,g_zip4_cd,g_cntry_cd,g_cnty_cd,g_usps_adr_vrfy_cd,g_usps_line1_adr,g_usps_line2_adr,g_lat_num,g_lon_num,g_cmn_enty_ty_cd,g_dstct_ofc_cd,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts,g_dummy_ind,g_dummy_ts,g_dummy_user_id
1182428,3741 W 12600 S,,,,RIVERTON,,UT,84065,7215,USA,054,,,,40.5221,-111.98,P,,0,JASTONE,04-DEC-18 01.22.13.525000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182429,911 NORTHLAND DR,,,,PRINCETON,,MN,55371,2172,USA,054,,,,45.5585,-93.5885,P,,0,PJHEID,17-DEC-15 08.23.17.027000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182430,625   N JACKSON AVE,,,,SPRINGFIELD       ,,MN,56087,    ,USA,054,00,625   N JACKSON AVE,,44.246,-94.9714,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182431,10700 MPHERSON RD,,,,LAREDO,,TX,78045,,USA,054,,,,27.6214,-99.5157,P,,0,RRUD,11-OCT-22 08.14.24.119000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182432,12601 GARDEN GROVE BLVD,,,,GARDEN GROVE,,CA,92843,1908,USA,054,,,,33.7745,-117.911,P,,0,RRUD,20-MAR-23 02.31.51.528000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182433,619   OAK STREET,,,,CINCINNATI,,OH,45206,,USA,054,,,,39.1295,-84.4962,P,,0,RRUD,08-SEP-22 09.36.51.859000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182434,157 S HOWARD ST STE 405,,,,SPOKANE           ,,WA,99201,4433,USA,054,00,157 S HOWARD ST STE 405,,47.6552,-117.42,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182435,660 LINCOLN AVE STE 2,,,,CINCINNATI        ,,OH,45206,1156,USA,054,00,660 LINCOLN AVE STE 2,,39.1328,-84.4946,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182436,160 N MIDLAND AVE,,,,NYACK             ,,NY,10960,1912,USA,054,00,160 N MIDLAND AVE,,41.0955,-73.9253,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182437,703 N MCEWAN ST,,,,CLARE             ,,MI,48617,1440,USA,054,00,703 N MCEWAN ST,,43.821,-84.7685,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182438,REED ST & GORMAN AVE,,,,ELKINS            ,,WV,26241,    ,USA,054,00,REED ST & GORMAN AVE,,38.9252,-79.8424,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182439,280 MAPLE ST,,,,ASHLAND           ,,OR,97520,1552,USA,054,00,280 MAPLE ST,,42.2063,-122.724,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182441,1201 BISHOP ST,,,,UNION CITY        ,,TN,38261,5403,USA,054,00,1201 BISHOP ST,,36.4146,-89.044,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182443,624   HOSPITAL DR,,,,MOUNTAIN HOME     ,,AR,72653,    ,USA,054,00,624   HOSPITAL DR,,36.3428,-92.3945,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182444,1900  PINE STREET,,,,ABILENE           ,,TX,79601,    ,USA,054,00,1900  PINE STREET,,32.472,-99.7312,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182445,559   CAPITOL BLVD,,,,SAINT PAUL,,MN,55103,2101,USA,054,,,,44.9584,-93.1024,P,,0,PJHEID,05-APR-17 08.21.06.290000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182447,ONE   WYOMING STREET,,,,DAYTON            ,,OH,45409,    ,USA,054,00,ONE   WYOMING STREET,,39.7441,-84.1857,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182448,2815 NWILLIAM STREET,,,,GOLDSBORO,,NC,27533,,USA,054,,,,35.354,-77.9663,P,,1,MMANYGUNS,10-MAR-15 12.04.55.304000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182449,1215  E MICHIGAN AVE,,,,LANSING,,MI,48912,,USA,054,,,,42.7337,-84.5349,P,,0,RRUD,03-NOV-22 10.56.26.674000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182450,12401 WASHINGTON BLVD,,,,WHITTIER          ,,CA,90602,    ,USA,054,00,12401 WASHINGTON BLVD,,33.9675,-118.047,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182451,49725 COUNTY 83,,,,STAPLES,,MN,56479,5280,USA,054,,,,46.359,-94.7482,P,,0,CJFRANCIS,03-FEB-16 11.03.58.485000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182452,1235 NE 46TH AVE STE 110,,,,PORTLAND,,OR,97213,,USA,054,,,,45.5371,-122.6,P,,0,RRUD,12-DEC-22 04.25.57.731000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182453,1515 VILLAGE DR,,,,COTTAGE GROVE,,OR,97424,9700,USA,054,,,,43.8095,-123.037,P,,0,RRUD,13-SEP-22 03.30.22.789000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182454,615 FAIRHURST ST,,,,STERLING          ,,CO,80751,4523,USA,054,00,615 FAIRHURST ST,,40.6135,-103.22,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182455,1460 G ST,,,,SPRINGFIELD,,OR,97477,4112,USA,054,,,,44.0525,-123.004,P,,0,AYARBROUGH,06-OCT-16 02.06.13.304000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182456,445   TREMONT ST,,,,NORTH TONAWANDA   ,,NY,14120,6150,USA,054,00,445   TREMONT ST,,43.0262,-78.8617,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182458,2500 W REYNOLDS ST,,,,PONTIAC           ,,IL,61764,9774,USA,054,00,2500 W REYNOLDS ST,,40.8736,-88.642,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182459,1600 N KNISS AVE,,,,LUVERNE,,MN,56156,1067,USA,054,,,,43.6645,-96.2126,P,,0,MLMOOS,12-SEP-19 01.48.23.301000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182460,42 6TH AVE SE,,,,MAYVILLE,,ND,58257,1506,USA,049,,,,47.5009,-97.3174,P,05,7,THENDERSON,21-AUG-15 10.56.02.763000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182462,1400  HIGHWAY 61 SOUTH,,,,FESTUS            ,,MO,63028,    ,USA,054,00,1400  HIGHWAY 61 SOUTH,,38.1959,-90.3952,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182463,2222 N LINCOLN AVE,,,,YORK              ,,NE,68467,1030,USA,054,00,2222 N LINCOLN AVE,,40.8828,-97.5928,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182464,ONE HURLEY PLAZA,,,,FLINT             ,,MI,48503,    ,USA,054,00,ONE HURLEY PLAZA,,43.0214,-83.7051,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182465,18101 OAKWOOD BLVD,,,,DEARBORN          ,,MI,48123,    ,USA,054,00,18101 OAKWOOD BLVD,,42.2924,-83.2137,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182467,126   WHITE SAGE AVENUE,,,,DELTA             ,,UT,84624,    ,USA,054,00,126   WHITE SAGE AVENUE,,39.3506,-112.559,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182468,3535  SOUTH I35 EAST,,,,DENTON            ,,TX,76210,    ,USA,054,00,3535  SOUTH I35 EAST,,33.1756,-97.092,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182469,6800  N MACARTHUR BLVD,,,,IRVING            ,,TX,75039,    ,USA,054,00,6800  N MACARTHUR BLVD,,32.904,-96.9587,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182470,2500  BELLEVUE MEDICAL CEN,,,,BELLEVUE          ,,NE,68123,1591,USA,054,00,2500  BELLEVUE MEDICAL CEN,,41.1275,-95.9471,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182471,917   N WASHINGTON AVE,,,,MADISON           ,,SD,57042,    ,USA,054,00,917   N WASHINGTON AVE,,44.0142,-97.1099,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182472,5633  N LIDGERWOOD,,,,SPOKANE           ,,WA,99208,    ,USA,054,00,5633  N LIDGERWOOD,,47.7092,-117.406,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182474,2142  N COVE BLVD,,,,TOLEDO            ,,OH,43606,    ,USA,054,00,2142  N COVE BLVD,,41.671,-83.5948,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182475,801 BROADWAY N,,,,FARGO,,ND,58102,3641,USA,009,,,,46.8849,-96.7876,P,05,2,THENDERSON,21-AUG-15 08.18.27.256000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182476,4800  SAND POINT WAY NE,,,,SEATTLE           ,,WA,98105,    ,USA,054,00,4800  SAND POINT WAY NE,,47.6645,-122.282,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182477,120   LABREE AVE S,,,,THIEF RIVER FALLS,,MN,56701,,USA,054,,,,48.1164,-96.1798,P,,7,JMLAGRO,06-OCT-14 01.30.42.479000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182478,6900  N DURANGO DR,,,,LAS VEGAS         ,,NV,89149,    ,USA,054,00,6900  N DURANGO DR,,36.266,-115.279,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182479,3441  DICKERSON PIKE,,,,NASHVILLE         ,,TN,37207,    ,USA,054,00,3441  DICKERSON PIKE,,36.2327,-86.7587,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182480,19829 N 27TH AVE,,,,PHOENIX,,AZ,85027,,USA,054,,,,33.6658,-112.117,P,,0,ANNDOLL,17-JAN-17 12.00.55.324000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182481,1720 UNIVERSITY DR S,,,,FARGO,,ND,58103,4940,USA,009,,,,46.8535,-96.7985,P,05,1,JMLAGRO,20-AUG-15 10.58.02.717000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182482,1000 18TH ST NW,,,,MANDAN,,ND,58554,1612,USA,030,,,,46.8413,-100.907,P,07,1,JMLAGRO,20-AUG-15 10.59.25.596000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182483,4401  WORNALL RD,,,,KANSAS CITY       ,,MO,64111,3220,USA,054,00,4401  WORNALL RD,,39.0464,-94.5899,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182484,407   S WHITE ST,,,,MT PLEASANT,,IA,52641,,USA,054,,,,40.9636,-91.558,P,,0,PJHEID,06-APR-17 01.44.47.604000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182486,1800  E VAN BUREN,,,,PHOENIX           ,,AZ,85006,    ,USA,054,00,1800  E VAN BUREN,,33.4515,-112.042,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182487,901   E VIRGIL AVE,,,,MILBANK,,SD,57252,,USA,054,,,,45.2219,-96.6253,P,,0,MLMOOS,08-NOV-19 02.33.33.398000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182488,1301  S CRISMON ROAD,,,,MESA              ,,AZ,85209,    ,USA,054,00,1301  S CRISMON ROAD,,33.3905,-111.615,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182489,401   12TH STREET N,,,,WHEATON,,MN,56296,,USA,054,,,,45.809,-96.5006,P,,3,JMLAGRO,29-JUN-15 10.27.53.727000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182490,2000  S FM 51,,,,DECATUR           ,,TX,76234,    ,USA,054,00,2000  S FM 51,,33.216,-97.5973,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182491,555 P ROSPECT AVE,,,,ESTES PARK        ,,CO,80517,6312,USA,054,00,555 P ROSPECT AVE,,40.3723,-105.514,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182492,1200  GRANT BLVD W,,,,WABASHA           ,,MN,55981,    ,USA,054,00,1200  GRANT BLVD W,,44.3866,-92.0494,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182493,1531  ESPLANADE,,,,CHICO,,CA,95926,,USA,054,,,,39.7425,-121.849,P,,0,DMOCK,11-DEC-17 04.19.09.459000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182494,300   NORTH AVE,,,,BATTLE CREEK      ,,MI,49017,    ,USA,054,00,300   NORTH AVE,,42.3314,-85.1801,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182495,3801  S NATIONAL AVE,,,,SPRINGFIELD       ,,MO,65807,    ,USA,054,00,3801  S NATIONAL AVE,,37.1433,-93.2781,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182496,2025  E RIVER PARKWAY,,,,MINNEAPOLIS,,MN,55414,,USA,054,,,,44.9581,-93.2122,P,,2,JMLAGRO,18-MAR-15 08.05.33.454000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182497,4201  SAINT ANTOINE ST,,,,DETROIT           ,,MI,48201,2153,USA,054,00,4201  SAINT ANTOINE ST,,42.3502,-83.0506,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182499,9201  W THOMAS RD,,,,PHOENIX           ,,AZ,85062,    ,USA,054,00,9201  W THOMAS RD,,33.4795,-112.258,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182500,605   OAK STREET,,,,BIG RAPIDS        ,,MI,49307,    ,USA,054,00,605   OAK STREET,,43.6932,-85.475,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182501,7519  HOSPITAL DR,,,,GLOUCESTER        ,,VA,23061,4178,USA,054,00,7519  HOSPITAL DR,,37.4203,-76.5424,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182502,1300  ANNE ST NW,,,,BEMIDJI,,MN,56601,,USA,054,,,,47.5048,-94.9018,P,,0,PJHEID,05-JAN-16 01.42.55.083000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182503,920   BELL AVE,,,,WESTBROOK,,MN,56183,,USA,054,,,,44.0452,-95.4386,P,,1,SHERSAYLER,30-MAR-14 03.40.44.342000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182504,251   5TH STREET E,,,,TRACY,,MN,56175,,USA,054,,,,44.2322,-95.6069,P,,1,SHERSAYLER,30-MAR-14 03.40.18.509000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182505,450   N CANDLER STREET,,,,DECATUR           ,,GA,30030,    ,USA,054,00,450   N CANDLER STREET,,33.7766,-84.2928,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182506,888   SWIFT BLVD,,,,RICHLAND          ,,WA,99352,    ,USA,054,00,888   SWIFT BLVD,,46.2805,-119.281,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182507,9440  POPPY DR,,,,DALLAS            ,,TX,75218,    ,USA,054,00,9440  POPPY DR,,32.8352,-96.7058,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182508,2905  3RD AVE SE,,,,ABERDEEN,,SD,57401,,USA,054,,,,45.4622,-98.447,P,,1,SHERSAYLER,30-MAR-14 03.37.25.653000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182509,1700  S TAMIAMI TRL,,,,SARASOTA,,FL,34239,,USA,054,,,,27.3178,-82.5298,P,,2,KARINARUIZ,29-AUG-14 12.59.05.034000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182511,13123 E 16TH AVE,,,,AURORA,,CO,80045,,USA,054,,,,39.7413,-104.839,P,,0,PJHEID,08-JAN-17 06.51.44.364000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182512,601   E 14TH STREET,,,,SEDALIA           ,,MO,65301,    ,USA,054,00,601   E 14TH STREET,,38.6991,-93.2221,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182513,2001  N OREGON STREET,,,,EL PASO           ,,TX,79902,    ,USA,054,00,2001  N OREGON STREET,,31.7721,-106.5,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182514,20    9TH STREET SE,,,,LONG PRAIRIE      ,,MN,56347,    ,USA,054,00,20    9TH STREET SE,,45.9734,-94.85,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182515,701   W NORTH AVENUE,,,,MELROSE PARK      ,,IL,60160,    ,USA,054,00,701   W NORTH AVENUE,,41.9083,-87.8445,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182516,835   SE BISHOP BLVD,,,,PULLMAN,,WA,99163,,USA,054,,,,46.7166,-117.165,P,,0,AVFAUL,06-MAY-20 11.35.43.960000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182517,960 J K AVENT DR,,,,GRENADA           ,,MS,38901,5230,USA,054,00,960 J K AVENT DR,,33.7601,-89.8048,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182518,1018  SIXTH AVENUE,,,,WORTINGTON,,MN,56187,,USA,054,,,,43.6218,-95.5988,P,,2,JMLAGRO,05-AUG-15 11.01.44.952000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
