"P_SYS_ID","P_DO_NOT_DSPLY_CD","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1277022,"0",43,"JMLAGRO",15-OCT-13 03.45.25.479000000 PM,"guestUser",25-APR-13 01.04.52.568000000 PM
1277038,"0",37,"JMLAGRO",21-OCT-13 03.30.05.799000000 PM,"guestUser",25-APR-13 03.22.29.097000000 PM
1277042,"1",7,"DMOCK",24-JUL-14 03.16.26.345000000 PM,"guestUser",26-APR-13 09.44.58.337000000 AM
1277043,"0",28,"JMLAGRO",21-OCT-13 03.16.50.817000000 PM,"guestUser",26-APR-13 10.18.40.018000000 AM
1277045,"0",19,"JMLAGRO",21-OCT-13 03.03.25.319000000 PM,"guestUser",26-APR-13 10.45.14.044000000 AM
1277048,"0",24,"JMLAGRO",21-OCT-13 03.00.01.239000000 PM,"guestUser",26-APR-13 11.10.18.608000000 AM
1277049,"0",15,"JMLAGRO",15-OCT-13 02.29.28.000000000 PM,"guestUser",26-APR-13 11.40.15.444000000 AM
1277053,"0",19,"PJHEID",16-OCT-13 12.01.26.651000000 PM,"guestUser",26-APR-13 12.42.28.027000000 PM
1277055,"0",27,"PJHEID",22-OCT-13 04.38.14.940000000 PM,"guestUser",26-APR-13 01.23.40.784000000 PM
1277060,"0",23,"PJHEID",21-OCT-13 10.08.05.150000000 AM,"guestUser",26-APR-13 02.07.43.970000000 PM
1277070,"0",17,"JMLAGRO",25-OCT-13 03.44.51.811000000 PM,"guestUser",29-APR-13 09.15.23.067000000 AM
1277071,"0",32,"CKRAFT",25-MAR-14 07.08.45.085000000 AM,"guestUser",29-APR-13 09.40.32.805000000 AM
1277090,"0",15,"JMLAGRO",09-AUG-13 09.27.20.818000000 AM,"guestUser",30-APR-13 10.20.20.453000000 AM
1277097,"0",36,"ZOEASANDY",13-JAN-14 03.42.37.585000000 PM,"guestUser",30-APR-13 11.22.06.676000000 AM
1277100,"0",27,"PJHEID",24-APR-15 08.19.07.008000000 AM,"guestUser",30-APR-13 11.51.21.278000000 AM
1277102,"1",10,"JOYSPEZIALE",12-AUG-14 06.54.00.998000000 PM,"guestUser",30-APR-13 12.45.35.172000000 PM
1277107,"0",33,"PJHEID",21-OCT-13 10.09.34.512000000 AM,"guestUser",30-APR-13 02.14.57.116000000 PM
1277109,"0",54,"LISACAMPBELL",24-JAN-14 10.58.15.375000000 AM,"guestUser",30-APR-13 02.41.25.004000000 PM
1277117,"0",4,"ZOEASANDY",14-FEB-14 10.41.10.083000000 AM,"guestUser",01-MAY-13 10.08.30.229000000 AM
1277131,"0",19,"JMLAGRO",16-APR-14 11.32.56.238000000 AM,"guestUser",01-MAY-13 12.34.17.179000000 PM
1277134,"0",14,"JMLAGRO",22-OCT-13 07.57.53.852000000 AM,"guestUser",01-MAY-13 12.46.16.126000000 PM
1277135,"0",12,"JMLAGRO",15-NOV-13 12.38.37.204000000 PM,"guestUser",01-MAY-13 01.07.25.163000000 PM
1277136,"0",16,"PJHEID",06-NOV-13 08.23.48.798000000 AM,"guestUser",01-MAY-13 01.12.51.540000000 PM
1277141,"0",19,"JOYSPEZIALE",17-JAN-14 11.45.35.051000000 AM,"guestUser",01-MAY-13 02.28.25.103000000 PM
1277161,"0",32,"JUDITHSZEGEDI",27-JAN-14 02.08.39.077000000 PM,"guestUser",02-MAY-13 08.26.00.830000000 AM
1277167,"0",19,"JOYSPEZIALE",05-MAR-14 11.37.26.600000000 AM,"guestUser",02-MAY-13 09.12.50.826000000 AM
1277204,"0",18,"LISACAMPBELL",31-JAN-14 10.06.54.941000000 AM,"guestUser",02-MAY-13 02.10.46.909000000 PM
1277205,"0",20,"ZOEASANDY",03-FEB-14 10.45.16.199000000 AM,"guestUser",02-MAY-13 02.22.28.419000000 PM
1277218,"0",20,"JOYSPEZIALE",24-JAN-14 04.16.32.475000000 PM,"guestUser",02-MAY-13 04.06.37.761000000 PM
1277219,"0",9,"JOYSPEZIALE",08-MAY-14 01.21.25.257000000 PM,"guestUser",02-MAY-13 04.08.34.579000000 PM
1277220,"0",23,"ZOEASANDY",30-JAN-14 03.48.17.674000000 PM,"guestUser",02-MAY-13 04.20.04.947000000 PM
1277222,"0",25,"JMLAGRO",09-JAN-14 08.56.09.387000000 AM,"guestUser",03-MAY-13 08.37.10.139000000 AM
1277227,"0",27,"JMLAGRO",09-JAN-14 08.35.10.747000000 AM,"guestUser",03-MAY-13 10.48.34.599000000 AM
1277234,"0",7,"SHERSAYLER",09-APR-14 05.37.36.521000000 PM,"guestUser",03-MAY-13 12.52.35.416000000 PM
1277237,"0",13,"ZULEIMARUIZ",17-JUL-15 10.09.59.364000000 AM,"guestUser",03-MAY-13 01.42.23.436000000 PM
1277238,"1",3,"PAULASOLL",20-AUG-14 12.16.30.066000000 PM,"guestUser",03-MAY-13 01.42.35.101000000 PM
1277240,"0",6,"PJHEID",12-MAR-14 11.22.02.777000000 PM,"guestUser",03-MAY-13 02.02.51.462000000 PM
1277242,"0",21,"JMLAGRO",25-JUN-15 03.24.43.300000000 PM,"guestUser",04-MAY-13 12.31.48.357000000 AM
1277245,"0",15,"JMLAGRO",04-NOV-13 01.51.35.628000000 PM,"guestUser",06-MAY-13 08.28.27.366000000 AM
1277248,"0",24,"JMLAGRO",02-JUL-15 10.29.51.485000000 AM,"guestUser",06-MAY-13 08.51.33.563000000 AM
1277249,"0",13,"guestUser",06-MAY-13 09.19.26.393000000 AM,"guestUser",06-MAY-13 09.13.43.132000000 AM
1277256,"0",18,"PJHEID",30-NOV-13 02.37.18.798000000 PM,"guestUser",06-MAY-13 09.55.56.633000000 AM
1277260,"0",19,"JOYSPEZIALE",27-JAN-14 04.45.22.710000000 PM,"guestUser",06-MAY-13 10.16.54.099000000 AM
1277261,"0",12,"guestUser",30-JUL-14 01.26.04.459000000 PM,"guestUser",06-MAY-13 10.21.12.453000000 AM
1277264,"0",19,"JOYSPEZIALE",06-MAR-14 03.39.44.294000000 PM,"guestUser",06-MAY-13 10.40.38.890000000 AM
1277272,"0",25,"JOYSPEZIALE",05-MAR-14 12.35.24.206000000 PM,"guestUser",06-MAY-13 11.33.56.692000000 AM
1277274,"0",17,"ZOEASANDY",05-FEB-14 03.14.59.014000000 PM,"guestUser",06-MAY-13 11.52.12.089000000 AM
1277281,"0",14,"SHERSAYLER",17-APR-14 10.35.03.345000000 AM,"guestUser",06-MAY-13 12.21.42.174000000 PM
1277284,"0",17,"USHASHA",26-JUN-15 05.19.27.100000000 PM,"guestUser",06-MAY-13 12.43.45.658000000 PM
1277285,"0",19,"ZOEASANDY",24-JAN-14 03.32.26.905000000 PM,"guestUser",06-MAY-13 12.45.41.943000000 PM
1277288,"0",22,"JOYSPEZIALE",27-JAN-14 03.57.33.411000000 PM,"guestUser",06-MAY-13 12.56.11.735000000 PM
1277289,"0",24,"JMLAGRO",02-JUL-15 10.31.18.055000000 AM,"guestUser",06-MAY-13 01.02.17.206000000 PM
1277294,"0",14,"PJHEID",04-NOV-13 03.09.49.429000000 PM,"guestUser",06-MAY-13 01.12.32.484000000 PM
1277295,"0",13,"PJHEID",04-NOV-13 03.11.30.028000000 PM,"guestUser",06-MAY-13 01.20.09.546000000 PM
1277296,"0",16,"PJHEID",04-NOV-13 03.11.52.958000000 PM,"guestUser",06-MAY-13 01.24.19.152000000 PM
1277297,"0",19,"PJHEID",04-NOV-13 03.12.11.795000000 PM,"guestUser",06-MAY-13 01.27.52.870000000 PM
1277299,"0",20,"LISACAMPBELL",24-JAN-14 11.34.23.878000000 AM,"guestUser",06-MAY-13 02.18.53.195000000 PM
1277303,"0",20,"LISACAMPBELL",24-JAN-14 11.54.27.024000000 AM,"guestUser",06-MAY-13 02.41.58.926000000 PM
1277304,"0",48,"JUDITHSZEGEDI",27-JAN-14 01.51.03.516000000 PM,"guestUser",06-MAY-13 02.49.07.304000000 PM
1277306,"0",27,"JUDITHSZEGEDI",27-JAN-14 02.06.11.732000000 PM,"guestUser",06-MAY-13 02.59.47.311000000 PM
1277309,"0",21,"PJHEID",24-DEC-13 10.19.37.877000000 AM,"guestUser",06-MAY-13 03.41.00.075000000 PM
1277315,"0",20,"PJHEID",05-NOV-13 03.34.33.093000000 PM,"guestUser",07-MAY-13 08.41.50.250000000 AM
1277317,"0",23,"PJHEID",05-NOV-13 03.33.26.807000000 PM,"guestUser",07-MAY-13 08.49.04.756000000 AM
1276763,"0",96,"TBRABANDT",03-DEC-13 07.24.33.608000000 AM,"guestUser",05-APR-13 12.22.16.196000000 PM
1276775,"0",33,"JMLAGRO",04-OCT-13 10.18.40.628000000 AM,"guestUser",09-APR-13 01.49.37.199000000 PM
1276776,"0",28,"JMLAGRO",01-OCT-13 08.33.51.595000000 AM,"guestUser",09-APR-13 02.33.05.730000000 PM
1276783,"1",12,"DMOCK",24-JUL-14 02.20.53.225000000 PM,"guestUser",10-APR-13 09.02.26.246000000 AM
1276806,"0",20,"KWOODALL",15-APR-14 09.16.14.518000000 AM,"guestUser",11-APR-13 09.13.35.460000000 AM
1276811,"0",11,"MMANYGUNS",03-FEB-15 08.27.19.474000000 PM,"guestUser",11-APR-13 12.55.44.373000000 PM
1276812,"0",8,"JMLAGRO",25-SEP-13 11.14.47.885000000 AM,"guestUser",11-APR-13 01.35.30.470000000 PM
1177532,"0",1,"NMAIER",11-MAY-15 01.55.02.979000000 PM,"KRBACKMAN",12-APR-13 11.04.45.280000000 AM
1276850,"1",10,"LISACAMPBELL",28-MAY-14 10.56.06.382000000 AM,"guestUser",16-APR-13 03.00.45.565000000 PM
1276889,"0",5,"JMLAGRO",17-JAN-14 09.59.36.363000000 AM,"guestUser",18-APR-13 03.15.14.754000000 PM
1276891,"0",7,"JMLAGRO",17-JAN-14 09.53.33.458000000 AM,"guestUser",18-APR-13 03.23.26.534000000 PM
1276900,"0",9,"guestUser",19-APR-13 10.54.25.537000000 AM,"guestUser",19-APR-13 10.34.32.197000000 AM
1276902,"0",12,"guestUser",19-APR-13 11.01.08.789000000 AM,"guestUser",19-APR-13 10.55.38.684000000 AM
1276903,"0",15,"guestUser",19-APR-13 11.09.31.943000000 AM,"guestUser",19-APR-13 11.02.19.301000000 AM
1276905,"0",18,"guestUser",19-APR-13 11.15.43.587000000 AM,"guestUser",19-APR-13 11.09.45.798000000 AM
1276908,"0",7,"DMOCK",24-JUL-14 02.37.20.035000000 PM,"guestUser",19-APR-13 11.54.08.526000000 AM
1276909,"0",12,"JMLAGRO",16-APR-14 09.42.18.191000000 AM,"guestUser",19-APR-13 01.38.07.806000000 PM
1276912,"0",27,"JMLAGRO",21-JAN-15 06.49.23.180000000 AM,"guestUser",19-APR-13 01.54.00.934000000 PM
1276918,"0",17,"JMLAGRO",28-MAR-14 03.41.25.440000000 PM,"guestUser",19-APR-13 02.34.15.455000000 PM
1276919,"0",13,"guestUser",19-APR-13 02.46.42.263000000 PM,"guestUser",19-APR-13 02.41.42.078000000 PM
1276943,"1",3,"DMOCK",25-JUN-14 03.09.28.888000000 PM,"guestUser",23-APR-13 10.18.02.381000000 AM
1276944,"0",17,"JMLAGRO",15-OCT-13 02.43.23.745000000 PM,"guestUser",23-APR-13 10.20.54.897000000 AM
1276950,"0",8,"guestUser",24-JUL-14 02.39.57.314000000 PM,"guestUser",23-APR-13 10.59.50.925000000 AM
1276953,"0",6,"guestUser",13-NOV-13 12.34.15.006000000 PM,"guestUser",23-APR-13 11.13.22.786000000 AM
1276969,"1",6,"DMOCK",24-JUL-14 03.02.44.240000000 PM,"guestUser",23-APR-13 12.00.58.593000000 PM
1276970,"1",4,"DMOCK",24-JUL-14 03.06.35.384000000 PM,"guestUser",23-APR-13 12.01.54.791000000 PM
1277050,"0",37,"PJHEID",04-MAR-15 03.00.02.564000000 PM,"guestUser",26-APR-13 11.59.23.242000000 AM
1277057,"0",32,"PJHEID",21-OCT-13 10.53.40.467000000 AM,"guestUser",26-APR-13 01.31.22.791000000 PM
1277058,"1",7,"JMLAGRO",08-AUG-14 09.06.44.501000000 AM,"guestUser",26-APR-13 01.35.33.236000000 PM
1277059,"0",26,"PJHEID",21-OCT-13 09.42.46.916000000 AM,"guestUser",26-APR-13 01.49.44.856000000 PM
1277061,"0",23,"PJHEID",23-OCT-13 10.15.13.148000000 AM,"guestUser",26-APR-13 02.25.43.632000000 PM
1277064,"0",17,"JMLAGRO",25-OCT-13 01.59.28.734000000 PM,"guestUser",26-APR-13 03.00.57.806000000 PM
1277068,"0",22,"PJHEID",23-OCT-13 10.35.13.528000000 AM,"guestUser",29-APR-13 08.31.03.847000000 AM
1277072,"0",18,"PJHEID",23-OCT-13 10.49.53.660000000 AM,"guestUser",29-APR-13 10.25.09.077000000 AM
1277083,"0",3,"KWOODALL",14-FEB-14 01.48.59.279000000 PM,"guestUser",29-APR-13 03.52.47.506000000 PM
1277091,"0",37,"GUESTUSER",29-OCT-14 07.57.16.037000000 AM,"guestUser",30-APR-13 10.30.26.539000000 AM
1277092,"0",5,"PJHEID",08-APR-14 12.47.31.981000000 PM,"guestUser",30-APR-13 10.31.44.441000000 AM
1277093,"0",8,"guestUser",30-APR-13 10.36.09.649000000 AM,"guestUser",30-APR-13 10.35.25.663000000 AM
1277106,"0",19,"JOYSPEZIALE",24-JAN-14 12.39.48.351000000 PM,"guestUser",30-APR-13 01.56.18.177000000 PM
1277132,"0",22,"JMLAGRO",16-APR-14 11.31.59.129000000 AM,"guestUser",01-MAY-13 12.40.09.948000000 PM
1277133,"0",26,"JMLAGRO",16-APR-14 11.31.03.052000000 AM,"guestUser",01-MAY-13 12.44.23.765000000 PM
1277137,"0",4,"ZOEASANDY",14-FEB-14 12.03.27.386000000 PM,"guestUser",01-MAY-13 01.19.57.843000000 PM
1277138,"0",9,"PJHEID",30-NOV-13 04.23.56.916000000 PM,"guestUser",01-MAY-13 01.31.01.702000000 PM
1277139,"0",26,"PJHEID",20-AUG-15 01.03.39.531000000 PM,"guestUser",01-MAY-13 01.49.21.405000000 PM
1277143,"0",13,"PAULASOLL",19-AUG-14 12.50.54.939000000 PM,"guestUser",01-MAY-13 02.57.51.075000000 PM
1277146,"0",37,"PJHEID",04-MAR-15 04.57.49.890000000 PM,"guestUser",01-MAY-13 03.46.56.986000000 PM
1277147,"0",22,"LISACAMPBELL",14-FEB-14 01.13.09.381000000 PM,"guestUser",01-MAY-13 03.52.30.913000000 PM
1277173,"0",41,"PAULASOLL",27-JAN-14 12.40.46.400000000 PM,"guestUser",02-MAY-13 10.03.22.090000000 AM
1277175,"0",19,"JOYSPEZIALE",24-JAN-14 06.33.14.724000000 PM,"guestUser",02-MAY-13 10.18.36.588000000 AM
1277181,"0",23,"LISACAMPBELL",24-JAN-14 11.14.33.188000000 AM,"guestUser",02-MAY-13 11.00.40.997000000 AM
1277182,"0",14,"PJHEID",20-JUN-14 05.00.34.470000000 PM,"guestUser",02-MAY-13 11.10.31.550000000 AM
1277183,"0",10,"guestUser",02-MAY-13 11.23.58.261000000 AM,"guestUser",02-MAY-13 11.10.15.067000000 AM
1277184,"0",9,"PJHEID",20-JUN-14 05.32.29.517000000 PM,"guestUser",02-MAY-13 11.18.37.913000000 AM
1277236,"0",10,"SHERSAYLER",09-APR-14 05.03.39.739000000 PM,"guestUser",03-MAY-13 01.33.36.995000000 PM
1277258,"0",21,"PJHEID",30-NOV-13 02.36.14.651000000 PM,"guestUser",06-MAY-13 09.55.51.790000000 AM
1277302,"0",16,"JUDITHSZEGEDI",18-MAR-14 04.20.20.759000000 PM,"guestUser",06-MAY-13 02.37.27.825000000 PM
1277312,"0",16,"PJHEID",05-NOV-13 03.33.42.296000000 PM,"guestUser",07-MAY-13 07.43.53.689000000 AM
1277325,"0",21,"PJHEID",07-NOV-13 05.15.27.634000000 PM,"guestUser",07-MAY-13 09.50.49.377000000 AM
1277668,"0",28,"JMLAGRO",16-APR-14 11.53.47.011000000 AM,"guestUser",20-MAY-13 09.24.08.275000000 AM
1277759,"0",16,"JMLAGRO",20-FEB-14 03.47.59.549000000 PM,"guestUser",23-MAY-13 01.24.53.046000000 PM
1277938,"0",24,"LISACAMPBELL",07-FEB-14 03.02.30.027000000 PM,"guestUser",06-JUN-13 01.12.39.183000000 PM
1277949,"0",22,"JMLAGRO",21-JAN-15 10.57.19.209000000 AM,"guestUser",07-JUN-13 07.11.46.113000000 AM
1278150,"0",14,"JOYSPEZIALE",15-APR-14 04.28.18.320000000 PM,"guestUser",24-JUN-13 12.39.10.856000000 AM
1278152,"0",10,"PAULASOLL",21-APR-14 03.49.11.645000000 PM,"guestUser",24-JUN-13 08.59.44.431000000 AM
1278166,"0",24,"PJHEID",05-MAR-15 07.51.48.172000000 AM,"guestUser",24-JUN-13 02.00.41.651000000 PM
1278195,"0",19,"JMLAGRO",10-JAN-14 12.24.38.101000000 PM,"guestUser",25-JUN-13 12.42.27.036000000 PM
1278198,"0",26,"ZOEASANDY",09-APR-14 01.54.17.684000000 PM,"guestUser",25-JUN-13 02.11.28.371000000 PM
1278220,"0",24,"LISACAMPBELL",11-JUN-14 03.35.11.532000000 PM,"guestUser",26-JUN-13 03.17.13.102000000 PM
1278222,"0",21,"ZOEASANDY",09-APR-14 02.36.10.925000000 PM,"guestUser",26-JUN-13 04.03.17.947000000 PM
1278229,"0",18,"KARCHARVAT",04-JUN-14 07.15.57.659000000 PM,"guestUser",27-JUN-13 10.23.12.646000000 AM
1278230,"0",19,"JMLAGRO",08-MAY-14 10.43.58.000000000 AM,"guestUser",27-JUN-13 10.28.43.691000000 AM
1278238,"0",25,"PJHEID",26-APR-14 12.05.24.111000000 PM,"guestUser",27-JUN-13 01.57.41.899000000 PM
1278259,"0",4,"guestUser",30-JUL-14 11.17.58.025000000 AM,"guestUser",28-JUN-13 03.44.06.856000000 PM
1278261,"0",19,"JMLAGRO",08-MAY-15 03.27.55.997000000 PM,"guestUser",28-JUN-13 04.03.55.775000000 PM
1278262,"0",27,"JOYSPEZIALE",08-APR-14 01.25.43.445000000 PM,"guestUser",28-JUN-13 04.11.45.504000000 PM
1278274,"1",13,"KARINARUIZ",17-JUN-14 10.59.06.155000000 AM,"guestUser",01-JUL-13 12.50.26.763000000 PM
1278277,"0",9,"guestUser",09-MAY-14 08.48.03.010000000 AM,"guestUser",01-JUL-13 01.56.31.785000000 PM
1278288,"0",3,"guestUser",30-JUL-14 11.03.20.356000000 AM,"guestUser",02-JUL-13 03.39.29.005000000 PM
1278289,"0",10,"guestUser",30-JUL-14 10.58.46.852000000 AM,"guestUser",02-JUL-13 03.53.32.829000000 PM
1278293,"0",20,"PAULASOLL",22-APR-14 12.29.53.858000000 PM,"guestUser",03-JUL-13 09.50.42.348000000 AM
1278294,"0",15,"PJHEID",06-MAY-14 11.26.16.838000000 AM,"guestUser",03-JUL-13 09.57.13.541000000 AM
1278301,"0",19,"LISACAMPBELL",07-APR-14 12.20.47.040000000 PM,"guestUser",03-JUL-13 12.03.38.308000000 PM
1278302,"0",18,"LISACAMPBELL",11-APR-14 10.20.44.830000000 AM,"guestUser",03-JUL-13 12.23.29.281000000 PM
1278313,"0",26,"JMLAGRO",20-APR-15 11.12.58.676000000 AM,"guestUser",03-JUL-13 03.17.11.788000000 PM
1278316,"0",31,"NEERUSHARMA",08-JUN-15 12.38.38.821000000 PM,"guestUser",03-JUL-13 05.05.20.133000000 PM
1278321,"0",31,"MAURICIOPENERAND",30-JUL-15 03.07.56.230000000 PM,"guestUser",05-JUL-13 10.11.31.195000000 AM
1278329,"0",17,"JMLAGRO",07-JUL-15 10.05.08.513000000 AM,"guestUser",07-JUL-13 06.29.59.398000000 PM
1278398,"0",26,"JMLAGRO",07-MAY-14 09.17.07.220000000 AM,"guestUser",09-JUL-13 12.30.44.896000000 PM
1278400,"0",29,"JMLAGRO",13-AUG-15 02.36.34.538000000 PM,"guestUser",09-JUL-13 01.03.52.480000000 PM
1278403,"0",32,"JMLAGRO",14-AUG-15 07.17.52.669000000 AM,"guestUser",09-JUL-13 01.12.46.294000000 PM
1278404,"0",20,"JMLAGRO",27-FEB-14 08.53.54.196000000 AM,"guestUser",09-JUL-13 01.15.34.514000000 PM
1278405,"0",14,"JMLAGRO",27-DEC-13 12.07.02.232000000 PM,"guestUser",09-JUL-13 01.16.07.741000000 PM
