"P_PROV_HRARCHY_NUM","P_PROV_HRARCHY_QLFR_CD","P_PROV_HRARCHY_DESC","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
17,"IS","Inv. Subst Abust Trtmnt",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
18,"JC","Joint Comm Accord HealthCare org",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
19,"LU","Location Number",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
20,"B3","Preferred Provider Organization Number",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
21,"G2","Provide Commercial Number",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
22,"N5","Provider Plan Network Identification Num",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
23,"G5","Provider Site Number",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
24,"SY","Social Security Number",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
25,"X5","State Industrial Accident Provider Number",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
26,"0B","State License Number",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
27,"U3","Unique Supplier Identification Num (USIN)",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
