"P_SYS_ID","P_ENROL_STAT_SK","P_ENROL_STAT_BEG_DT","P_ENROL_STAT_END_DT","P_ENROL_STAT_TY_CD","P_ENROL_STAT_RSN_CD","P_RTRCTV_ELIG_IND","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1000176,1000179,01-AUG-99,30-SEP-13,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000177,1000180,12-MAR-99,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.10.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000178,1000181,24-AUG-09,31-DEC-11,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000179,1000182,01-NOV-99,30-SEP-13,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000180,1000183,01-JAN-77,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.10.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000181,1000184,01-JAN-00,01-MAY-04,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.45.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000182,1000186,01-SEP-00,31-AUG-05,"A","51","N",0,"1166658_PRVDR_ENRL_MERGE_FIX",20-MAY-16 04.33.35.121384000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000183,1000187,01-OCT-09,30-SEP-13,"A","45","N",1,"MAGDALENAHANUSIA",10-JUL-14 03.57.39.682000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000184,1000188,01-AUG-01,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.12.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000185,1000189,01-NOV-01,01-NOV-01,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.47.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000186,1000190,01-JAN-77,31-DEC-00,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.40.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000187,1000191,01-NOV-02,30-SEP-13,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000188,1000192,26-NOV-02,30-SEP-13,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000189,1000193,01-FEB-03,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.12.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000190,1000194,01-JUL-81,30-SEP-13,"A","45","N",1,"JLWILKE",29-JUL-14 12.35.21.099000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000191,1000195,01-JUL-83,30-SEP-13,"A","45","N",2,"CKRAFT",14-APR-14 10.45.56.929000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000192,1000196,01-SEP-97,30-SEP-13,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000194,1000198,01-NOV-83,30-SEP-13,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000195,1000199,15-JAN-90,30-SEP-13,"A","45","N",1,"JLWILKE",25-JUL-14 08.36.28.799000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000196,1000200,01-MAY-82,30-SEP-13,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000197,1000201,01-JUL-81,30-SEP-13,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000198,1000203,01-OCT-82,30-SEP-13,"A","45","N",0,"ENROL_STAT_DATE_MERGE",01-SEP-15 03.03.06.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000199,1000204,01-JUL-85,30-SEP-13,"A","45","N",1,"MMANYGUNS",10-AUG-15 09.37.19.762000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000200,1000205,01-AUG-84,30-SEP-13,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000201,1000206,01-JUL-81,30-SEP-13,"A","45","N",1,"JLWILKE",25-JUL-14 08.34.38.529000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000202,1000207,01-JUL-81,30-SEP-13,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000203,1000208,01-JAN-84,30-SEP-13,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000204,1000209,01-JUL-81,30-SEP-13,"A","45","N",1,"JLWILKE",25-JUL-14 08.27.39.176000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000206,1000211,01-JUL-84,30-SEP-13,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000207,1000212,01-JUN-82,30-SEP-13,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000208,1000213,01-JUL-81,30-SEP-13,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000209,1000214,01-AUG-82,30-SEP-13,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000210,1000215,13-OCT-04,31-DEC-09,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.43.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000211,1000216,02-SEP-04,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.10.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000212,1000217,16-APR-88,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.10.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000213,1000219,01-FEB-02,01-AUG-03,"A","51","N",0,"1166658_PRVDR_ENRL_MERGE_FIX",20-MAY-16 04.33.35.265760000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000214,1000220,28-SEP-05,15-JAN-06,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000214,1000221,08-MAR-10,22-FEB-11,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.48.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000765,1000814,19-JUL-11,04-OCT-15,"A","51","N",4,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.12.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000766,1000815,28-JUL-11,30-SEP-13,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000767,1000816,26-JUL-11,30-SEP-13,"A","45","N",2,"DOMINICKNGANTOU",11-NOV-14 02.52.01.715000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000769,1000818,01-AUG-11,30-SEP-13,"A","45","N",6,"JMLAGRO",20-JUL-15 12.52.14.273000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000771,1000820,19-JUL-11,30-SEP-13,"A","45","N",5,"DANIELLAESTRELLA",29-JUN-15 08.42.33.248000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000772,1000821,01-AUG-11,30-SEP-13,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000773,1000822,15-JUL-11,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.11.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000774,1000823,26-JUL-11,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.11.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000775,1000825,08-AUG-11,23-MAR-12,"A","45","N",3,"ENROL_STAT_DATE_MERGE",01-SEP-15 03.03.06.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000776,1000826,15-AUG-11,30-SEP-13,"A","45","N",3,"JMLAGRO",20-FEB-15 01.13.58.791000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000777,1000827,01-JUL-11,30-SEP-13,"A","45","N",18,"JMLAGRO",17-AUG-15 06.54.53.885000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000778,1000828,11-AUG-11,30-SEP-13,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000779,1000829,07-AUG-89,01-JUL-01,"A","45","N",4,"JMLAGRO",13-JUL-15 01.48.44.392000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000779,1000830,18-JUN-12,30-SEP-13,"A","45","N",4,"JMLAGRO",13-JUL-15 01.48.44.392000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000780,1000831,08-AUG-11,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.11.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000781,1000832,08-AUG-11,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.09.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000782,1000833,15-AUG-11,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.11.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000783,1000834,18-JUL-11,30-SEP-13,"A","45","N",4,"MMANYGUNS",23-JUN-15 02.01.39.879000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000784,1000835,25-JUL-11,30-SEP-13,"A","45","N",6,"USHASHA",15-JUN-15 01.33.13.150000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000785,1000836,25-JUL-11,30-SEP-13,"A","45","N",10,"ESTHERSHAHPAR",27-JUL-15 03.55.47.362000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000786,1000837,01-JUL-11,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.10.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000787,1000838,27-JUL-11,30-SEP-13,"A","45","N",1,"JOYSPEZIALE",04-JUN-14 05.29.47.306000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000788,1000839,01-JUL-11,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.11.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000789,1000840,22-JUL-11,30-JUN-12,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.46.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000790,1000841,15-AUG-11,30-SEP-13,"A","45","N",3,"MMANYGUNS",27-FEB-15 02.16.30.264000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000791,1000843,01-AUG-11,30-SEP-13,"A","45","N",4,"ENROL_STAT_DATE_MERGE",01-SEP-15 03.03.06.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000792,1000844,18-JUL-11,30-SEP-13,"A","45","N",5,"JMLAGRO",09-MAR-15 12.30.14.265000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000793,1000845,28-MAR-11,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.09.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000794,1000846,05-APR-11,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.11.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000795,1000847,15-JUL-11,30-SEP-13,"A","45","N",3,"PJHEID",09-JUL-15 01.10.03.597000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000796,1000848,01-JUL-11,01-JUL-11,"A","51","N",2,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.43.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000797,1000849,29-AUG-11,30-SEP-13,"A","45","N",1,"SKOEHLY",27-MAR-15 12.39.41.507000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000798,1000850,11-AUG-11,18-NOV-11,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.41.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000799,1000851,12-AUG-11,30-SEP-13,"A","45","N",6,"CAROLREEVES",22-JUN-15 02.41.01.649000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000800,1000852,15-AUG-11,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.09.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000801,1000853,11-AUG-11,30-SEP-13,"A","45","N",2,"KARINARUIZ",11-NOV-14 12.28.23.699000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000802,1000855,03-AUG-11,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.12.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000803,1000856,10-APR-11,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.12.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000804,1000857,17-AUG-11,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.10.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000805,1000858,29-AUG-11,26-NOV-11,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.45.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000806,1000859,29-AUG-11,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.11.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000807,1000860,10-AUG-11,30-SEP-13,"A","45","N",1,"KARINARUIZ",06-MAR-15 02.46.23.172000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000808,1000861,31-AUG-11,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.10.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000809,1000862,12-AUG-11,30-SEP-13,"A","45","N",4,"MMANYGUNS",09-FEB-15 09.43.14.911000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000810,1000863,01-SEP-11,22-OCT-12,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.39.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000811,1000864,29-AUG-11,30-SEP-13,"A","45","N",5,"DANIELLAESTRELLA",24-JUN-15 11.30.30.173000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000812,1000865,01-JUL-11,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.10.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000813,1000866,29-AUG-11,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.10.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000814,1000867,19-AUG-11,30-SEP-13,"A","45","N",5,"DANIELLAESTRELLA",30-JUN-15 02.57.41.531000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000815,1000868,22-AUG-11,30-SEP-13,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000816,1000869,22-AUG-11,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.09.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000817,1000870,26-JUL-11,30-SEP-13,"A","45","N",7,"JMLAGRO",27-JUL-15 11.27.40.298000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000818,1000871,26-JUL-11,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.10.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000819,1000872,22-JUL-11,30-SEP-13,"A","45","N",12,"CAROLREEVES",27-JUL-15 03.25.57.238000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000820,1000873,01-OCT-11,30-SEP-13,"A","45","N",4,"MAURICIOPENERAND",03-AUG-15 03.38.31.642000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000821,1000874,01-SEP-11,30-SEP-13,"A","45","N",1,"MAGDALENAHANUSIA",08-SEP-14 03.06.07.313000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000822,1000875,22-AUG-11,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.09.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000823,1000876,01-JUL-11,13-FEB-13,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.45.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000824,1000877,01-JUL-11,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.10.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000826,1000879,01-JUL-11,04-OCT-15,"A","51","N",2,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.13.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000827,1000880,29-JUL-11,20-SEP-12,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.46.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000828,1000881,10-AUG-11,30-SEP-13,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.45.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000829,1000882,01-JUN-11,30-SEP-13,"A","45","N",1,"KARINARUIZ",06-JAN-15 10.31.51.198000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000830,1000883,03-OCT-11,30-SEP-13,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000831,1000884,29-AUG-11,28-FEB-12,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.43.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000832,1000885,02-SEP-11,30-SEP-13,"A","45","N",2,"CAROLREEVES",26-JUN-15 11.21.23.722000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000834,1000887,30-AUG-11,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.12.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000835,1000888,01-OCT-11,30-SEP-13,"A","45","N",5,"PJHEID",23-FEB-15 03.32.34.187000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000836,1000889,09-SEP-11,30-SEP-13,"A","45","N",5,"CAROLREEVES",29-JUN-15 04.14.34.434000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
