"P_SYS_ID","P_NUM_BED_SK","P_BED_TY_CD","P_NUM_BED_BEG_DT","P_NUM_BED_END_DT","P_BED_NUM","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1280301,31501,"AC",12-MAR-12,11-SEP-12,428,28,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.32.869869000 PM,"guestUser",11-SEP-13 07.45.23.842000000 AM
1280379,31506,"SN",01-JAN-13,19-SEP-13,255,38,"guestUser",31-JUL-14 02.53.45.236000000 PM,"guestUser",19-SEP-13 12.00.32.237000000 PM
1171434,31624,"NF",01-OCT-13,31-DEC-99,44,3,"JMLAGRO",24-FEB-15 07.11.46.070000000 AM,"PJHEID",12-JAN-14 04.41.57.710000000 PM
1171434,31625,"AL",01-OCT-13,31-DEC-99,10,3,"JMLAGRO",24-FEB-15 07.11.46.070000000 AM,"PJHEID",12-JAN-14 04.41.57.710000000 PM
1281873,31626,"AC",01-JAN-06,13-JAN-14,388,4,"guestUser",08-MAY-14 01.02.35.583000000 PM,"guestUser",13-JAN-14 11.35.03.191000000 AM
1281907,31628,"NF",01-JAN-13,31-DEC-13,48,35,"guestUser",15-MAY-14 09.01.15.655000000 PM,"guestUser",14-JAN-14 11.23.46.416000000 AM
1281907,31629,"BC",01-JAN-13,31-DEC-13,13,35,"guestUser",15-MAY-14 09.01.15.656000000 PM,"guestUser",14-JAN-14 11.23.46.417000000 AM
1282121,31636,"BC",02-SEP-05,31-DEC-99,19,15,"guestUser",23-APR-14 06.02.25.152000000 PM,"guestUser",20-JAN-14 04.00.36.952000000 PM
1282242,31638,"DC",01-OCT-83,31-DEC-99,73,10,"GUESTUSER",25-NOV-14 09.48.19.172000000 PM,"guestUser",22-JAN-14 02.12.22.371000000 PM
1278924,31350,"IC",01-JUN-86,31-DEC-99,8,12,"guestUser",26-JUL-13 03.00.27.388000000 PM,"guestUser",26-JUL-13 02.47.19.834000000 PM
1278934,31355,"MS",31-JAN-13,31-DEC-99,6,11,"guestUser",26-JUL-13 04.35.28.682000000 PM,"guestUser",26-JUL-13 04.25.32.981000000 PM
1279210,31416,"AC",01-JAN-13,31-DEC-13,952,16,"guestUser",30-APR-14 12.49.56.567000000 PM,"guestUser",07-AUG-13 08.28.41.850000000 AM
1279363,31425,"SW",14-FEB-52,31-DEC-99,22,21,"guestUser",19-JUN-14 05.53.11.734000000 PM,"guestUser",09-AUG-13 09.51.03.875000000 AM
1279579,31433,"SN",10-APR-89,31-DEC-99,164,25,"guestUser",30-MAY-14 01.06.30.068000000 PM,"guestUser",19-AUG-13 08.48.32.282000000 AM
1279586,31436,"SN",10-APR-89,31-DEC-99,100,20,"guestUser",01-JUL-14 05.36.31.892000000 PM,"guestUser",19-AUG-13 10.02.14.631000000 AM
1279614,31441,"CC",01-JAN-13,31-DEC-13,9,21,"guestUser",19-MAY-14 07.27.35.122000000 AM,"guestUser",20-AUG-13 03.24.11.963000000 PM
1153762,31525,"XX",01-OCT-13,31-DEC-13,18,4,"THENDERSON",18-AUG-15 11.21.20.613000000 AM,"JMLAGRO",22-OCT-13 09.31.29.267000000 AM
1281427,31582,"AC",28-APR-11,31-DEC-14,286,2,"guestUser",16-JUL-14 01.20.09.007000000 PM,"guestUser",09-DEC-13 10.56.14.771000000 PM
1153762,31590,"AC",01-OCT-13,13-DEC-18,18,5,"B-Term-Prov-Trigger_2359525.00",22-JAN-19 06.01.00.368478000 PM,"TBRABANDT",13-DEC-13 07.34.49.357000000 AM
1281638,31609,"AC",09-FEB-13,31-DEC-13,341,25,"CR1906_SUP_PROV_DT",07-JUL-15 02.37.27.618000000 PM,"guestUser",30-DEC-13 02.28.46.286000000 PM
1171980,31617,"SN",01-OCT-13,31-DEC-99,29,12,"LQUISSELL",24-JAN-24 09.39.52.377000000 AM,"JMLAGRO",09-JAN-14 09.42.05.565000000 AM
1001838,31677,"BC",01-OCT-13,31-DEC-99,25,5,"JMLAGRO",20-JUL-15 08.34.31.776000000 AM,"PJHEID",24-FEB-14 10.19.04.408000000 AM
1282576,31678,"PS",07-OCT-97,07-OCT-99,70,44,"guestUser",25-JUL-14 12.12.49.504000000 PM,"guestUser",24-FEB-14 11.02.18.909000000 AM
1283000,31679,"AC",23-JUL-75,31-DEC-99,668,13,"GUESTUSER",13-AUG-14 03.02.35.536000000 PM,"guestUser",26-FEB-14 06.22.33.569000000 PM
1277229,31252,"AC",03-MAY-13,31-DEC-99,287,33,"guestUser",28-MAY-14 03.09.06.098000000 PM,"guestUser",03-MAY-13 02.19.15.810000000 PM
1277532,31260,"IC",01-JUL-85,31-DEC-99,6,14,"guestUser",14-MAY-13 03.09.17.281000000 PM,"guestUser",14-MAY-13 02.42.34.692000000 PM
1278807,31341,"SN",01-APR-02,02-APR-02,100,25,"DataFix_TermedPrv",15-OCT-15 05.31.29.701715000 PM,"guestUser",22-JUL-13 03.18.29.766000000 PM
1279089,31412,"AC",01-JAN-13,31-DEC-13,237,17,"guestUser",01-APR-14 04.29.40.860000000 PM,"guestUser",01-AUG-13 10.07.23.815000000 AM
1281178,31557,"XX",15-JUL-09,31-DEC-99,97,13,"guestUser",05-FEB-14 09.58.09.757000000 AM,"guestUser",21-NOV-13 11.08.10.813000000 AM
1281886,31627,"AC",31-MAR-71,31-DEC-99,14,23,"guestUser",16-APR-14 08.16.49.278000000 PM,"guestUser",13-JAN-14 06.15.21.924000000 PM
1278015,31323,"AC",01-JAN-12,05-NOV-14,10,98,"B-Term-Prov-Trigger_2957260.00",24-JAN-20 06.02.25.404200000 PM,"guestUser",02-JUL-13 11.03.52.083000000 AM
1280260,31499,"DC",01-JAN-06,31-DEC-29,349,11,"GUESTUSER",05-SEP-14 02.56.38.825000000 PM,"guestUser",06-SEP-13 03.12.38.886000000 PM
1280872,31535,"XX",01-JAN-99,31-DEC-99,484,37,"guestUser",06-MAR-14 09.27.44.152000000 AM,"guestUser",30-OCT-13 01.10.25.452000000 PM
1280915,31537,"XX",01-JAN-13,31-DEC-13,43,2,"guestUser",21-MAR-14 07.56.22.626000000 AM,"guestUser",04-NOV-13 08.42.54.445000000 AM
1277335,31544,"AC",01-JUL-13,30-JUN-14,35,7,"guestUser",07-NOV-13 01.50.59.264000000 PM,"guestUser",07-NOV-13 01.41.16.631000000 PM
1281643,31610,"AC",01-JUL-66,31-DEC-99,504,2,"guestUser",23-JUL-14 04.27.54.411000000 PM,"guestUser",31-DEC-13 01.40.50.217000000 PM
1281747,31616,"XX",01-JUL-88,31-DEC-99,0,17,"guestUser",05-MAY-14 12.49.44.527000000 PM,"guestUser",08-JAN-14 10.11.41.119000000 AM
1281730,31620,"AC",13-DEC-13,18-MAR-19,51,16,"B-Term-Prov-Trigger_2450447.00",21-MAR-19 06.01.06.132456000 PM,"guestUser",09-JAN-14 11.30.31.990000000 AM
1281938,31630,"NF",01-JAN-13,31-DEC-13,42,21,"guestUser",17-APR-14 04.49.21.873000000 PM,"guestUser",14-JAN-14 03.41.25.863000000 PM
1281946,31631,"NF",01-JAN-13,31-DEC-13,54,22,"guestUser",17-APR-14 07.43.58.597000000 PM,"guestUser",14-JAN-14 04.16.03.629000000 PM
1281946,31632,"BC",01-JAN-13,31-DEC-13,12,22,"guestUser",17-APR-14 07.43.58.597000000 PM,"guestUser",14-JAN-14 04.16.03.629000000 PM
1281977,31633,"NF",01-APR-13,31-DEC-13,44,18,"guestUser",17-APR-14 08.10.42.001000000 PM,"guestUser",15-JAN-14 02.03.18.763000000 PM
1281977,31634,"BC",01-APR-13,31-DEC-13,5,18,"guestUser",17-APR-14 08.10.42.001000000 PM,"guestUser",15-JAN-14 02.03.18.763000000 PM
1276870,31242,"AC",01-JAN-13,31-DEC-13,12,4,"GUESTUSER",17-FEB-15 06.45.53.909000000 PM,"guestUser",17-APR-13 03.56.27.422000000 PM
1276884,31244,"NF",01-MAY-91,31-DEC-99,44,17,"guestUser",12-JAN-14 04.40.39.846000000 PM,"guestUser",18-APR-13 02.47.43.604000000 PM
1276884,31245,"AL",01-DEC-04,31-DEC-99,10,17,"guestUser",12-JAN-14 04.40.39.846000000 PM,"guestUser",18-APR-13 02.47.43.604000000 PM
1277718,31279,"SN",01-MAY-09,31-DEC-99,20,25,"guestUser",09-JAN-14 09.41.36.940000000 AM,"guestUser",21-MAY-13 04.44.22.401000000 PM
1277733,31280,"AC",28-FEB-05,31-DEC-99,848,2,"guestUser",03-FEB-14 03.02.45.005000000 PM,"guestUser",22-MAY-13 02.37.48.467000000 PM
1277827,31282,"AC",01-JUL-01,01-JUL-99,25,12,"guestUser",20-JUN-14 09.32.44.459000000 AM,"guestUser",28-MAY-13 12.43.22.693000000 PM
1278928,31351,"TC",01-JUL-78,31-DEC-99,7,12,"guestUser",26-JUN-14 02.45.04.811000000 PM,"guestUser",26-JUL-13 03.34.20.616000000 PM
1278934,31352,"TC",01-DEC-84,31-DEC-99,15,32,"guestUser",26-JUL-13 04.35.28.682000000 PM,"guestUser",26-JUL-13 03.53.33.982000000 PM
1279044,31404,"SN",24-JUL-07,31-DEC-99,131,50,"guestUser",19-MAY-14 03.04.57.677000000 PM,"guestUser",31-JUL-13 08.59.56.869000000 AM
1279531,31432,"SN",10-APR-89,30-JUN-16,40,32,"guestUser",25-JUN-14 05.24.04.619000000 PM,"guestUser",15-AUG-13 12.33.22.377000000 PM
1280787,31533,"NF",01-OCT-13,31-DEC-13,65,39,"guestUser",01-FEB-14 04.38.44.034000000 PM,"guestUser",28-OCT-13 11.25.11.050000000 AM
1280838,31534,"AC",01-MAY-03,01-MAY-99,63,6,"guestUser",30-NOV-13 05.21.58.366000000 PM,"guestUser",29-OCT-13 11.13.29.770000000 AM
1000070,31547,"AC",01-OCT-13,31-DEC-13,25,1,"SHERSAYLER",30-MAR-14 03.40.18.604000000 PM,"JMLAGRO",07-NOV-13 02.52.26.663000000 PM
1204375,31577,"SN",01-OCT-13,21-DEC-13,142,9,"PJHEID",26-JUN-15 03.57.16.599000000 PM,"PJHEID",05-DEC-13 08.34.39.939000000 PM
1281443,31585,"XX",01-JAN-66,31-DEC-99,560,19,"guestUser",02-JUN-14 07.12.24.160000000 AM,"guestUser",11-DEC-13 11.46.30.025000000 AM
1281481,31588,"XX",01-AUG-56,31-DEC-99,19,8,"GUESTUSER",01-OCT-14 01.20.34.838000000 PM,"guestUser",12-DEC-13 03.24.22.011000000 PM
1190718,31612,"PR",01-OCT-13,28-JUL-25,117,6,"B-Term-Prov-Trigger_1487615.00",28-JUL-25 06.01.53.217186000 PM,"JMLAGRO",03-JAN-14 01.12.48.320000000 PM
1282436,31654,"RH",03-JUL-12,31-DEC-99,12,21,"guestUser",30-JUL-14 11.21.54.996000000 AM,"guestUser",29-JAN-14 07.25.16.714000000 PM
1282261,31669,"BC",01-JAN-14,31-DEC-14,7,31,"guestUser",03-APR-14 01.58.55.932000000 PM,"guestUser",10-FEB-14 02.30.23.790000000 PM
1001832,31676,"SN",01-OCT-13,31-DEC-15,54,1,"B-Term-Prov-Trigger_2380665.00",05-FEB-19 06.00.57.351413000 PM,"ZOEASANDY",20-FEB-14 11.33.58.726000000 AM
1279324,31424,"XX",01-SEP-04,31-DEC-99,25,21,"guestUser",13-SEP-13 08.14.14.320000000 AM,"guestUser",08-AUG-13 04.01.08.336000000 PM
1280978,31539,"SN",01-JAN-64,31-DEC-99,60,20,"guestUser",26-DEC-13 03.11.53.047000000 PM,"guestUser",06-NOV-13 04.27.29.381000000 PM
1277342,31548,"AC",01-JAN-13,31-DEC-13,8,8,"guestUser",07-NOV-13 03.03.48.669000000 PM,"guestUser",07-NOV-13 02.56.01.228000000 PM
1000069,31549,"AC",01-OCT-13,31-DEC-13,8,1,"SHERSAYLER",30-MAR-14 03.40.44.434000000 PM,"JMLAGRO",07-NOV-13 03.04.20.329000000 PM
1281088,31558,"AC",30-JUL-85,31-DEC-99,184,17,"guestUser",30-MAY-14 10.16.16.339000000 AM,"guestUser",25-NOV-13 10.57.39.490000000 AM
1282566,31666,"PS",07-OCT-97,07-OCT-99,70,5,"GUESTUSER",22-AUG-14 12.27.11.204000000 PM,"guestUser",06-FEB-14 04.56.46.173000000 PM
1282567,31667,"AC",01-SEP-13,31-DEC-99,41,58,"CR1906_SUP_PROV_DT",20-AUG-15 10.40.06.739000000 AM,"guestUser",07-FEB-14 02.28.12.392000000 PM
1282590,31668,"SW",06-OCT-13,27-JUN-15,20,32,"B-Term-Prov-Trigger_2382224.00",06-FEB-19 06.00.58.619481000 PM,"guestUser",10-FEB-14 12.08.11.656000000 PM
1283008,31680,"AC",01-JAN-66,31-DEC-99,25,19,"guestUser",28-APR-14 02.03.36.349000000 PM,"guestUser",27-FEB-14 11.31.33.023000000 AM
1276840,31238,"SN",01-MAR-01,31-DEC-13,32,27,"guestUser",06-FEB-14 11.39.17.277000000 AM,"guestUser",16-APR-13 12.56.50.091000000 PM
1282187,31637,"AC",11-JUL-66,31-DEC-99,1082,6,"GUESTUSER",14-AUG-14 12.47.23.843000000 PM,"guestUser",21-JAN-14 01.38.24.369000000 PM
1276982,31247,"AC",23-APR-13,31-DEC-99,19,34,"guestUser",30-JUN-14 05.12.26.226000000 PM,"guestUser",24-APR-13 08.29.24.788000000 AM
1277020,31250,"XX",01-JAN-02,31-DEC-99,14,62,"guestUser",22-OCT-13 11.27.33.712000000 AM,"guestUser",02-MAY-13 11.26.48.946000000 AM
1277674,31267,"AC",01-JUL-12,30-JUN-13,133,19,"GUESTUSER",30-SEP-14 04.01.24.502000000 PM,"guestUser",20-MAY-13 03.09.08.011000000 PM
1277674,31268,"SW",01-JUL-12,30-JUN-13,10,19,"GUESTUSER",30-SEP-14 04.01.24.502000000 PM,"guestUser",20-MAY-13 03.09.08.011000000 PM
1279049,31524,"NF",24-MAY-10,31-DEC-33,52,42,"guestUser",10-APR-14 12.34.39.635000000 PM,"guestUser",21-OCT-13 02.31.26.045000000 PM
1171438,31657,"NF",01-OCT-13,31-DEC-13,65,7,"THENDERSON",14-AUG-15 10.10.32.352000000 AM,"PJHEID",01-FEB-14 04.38.28.640000000 PM
1171438,31658,"BC",01-OCT-13,31-DEC-13,7,7,"THENDERSON",14-AUG-15 10.10.32.352000000 AM,"PJHEID",01-FEB-14 04.38.28.640000000 PM
1278064,31307,"BC",01-JUL-95,31-DEC-99,11,13,"guestUser",19-JUN-13 01.02.51.421000000 PM,"guestUser",19-JUN-13 12.30.23.348000000 PM
1278470,31328,"SN",01-MAY-13,31-DEC-99,58,47,"guestUser",10-OCT-13 11.12.33.643000000 AM,"guestUser",11-JUL-13 11.49.15.294000000 AM
1278539,31332,"NF",11-NOV-11,31-DEC-99,70,24,"guestUser",24-JUN-14 09.21.34.639000000 AM,"guestUser",15-JUL-13 09.39.09.436000000 AM
1278803,31346,"XX",01-JUL-98,31-DEC-99,20,12,"PJHEID",04-AUG-14 08.33.07.744000000 AM,"guestUser",24-JUL-13 04.24.57.096000000 PM
1279040,31402,"IC",01-JUL-13,30-JUN-14,4,30,"guestUser",14-MAY-14 09.33.15.202000000 AM,"guestUser",30-JUL-13 04.29.58.746000000 PM
1279035,31403,"IC",01-JUL-13,30-JUN-14,4,16,"guestUser",14-MAY-14 09.22.40.304000000 AM,"guestUser",30-JUL-13 04.37.01.954000000 PM
1279038,31406,"IC",01-JUL-13,30-JUN-14,4,9,"guestUser",14-MAY-14 09.30.30.929000000 AM,"guestUser",31-JUL-13 10.10.55.913000000 AM
1279497,31430,"BC",01-OCT-12,31-DEC-99,5,28,"guestUser",24-APR-14 01.20.16.563000000 PM,"guestUser",14-AUG-13 02.01.46.052000000 PM
1279497,31431,"SN",07-JAN-74,31-DEC-99,30,28,"guestUser",24-APR-14 01.20.16.563000000 PM,"guestUser",14-AUG-13 02.01.46.053000000 PM
1279590,31438,"SN",10-APR-89,31-DEC-99,53,29,"GUESTUSER",05-FEB-15 02.00.25.050000000 PM,"guestUser",19-AUG-13 10.57.45.451000000 AM
1280532,31516,"AC",01-JAN-13,31-DEC-13,2059,29,"guestUser",25-JUN-14 05.59.54.597000000 PM,"guestUser",04-OCT-13 03.07.25.919000000 PM
1282284,31647,"AC",01-JAN-90,31-DEC-99,25,18,"guestUser",31-JUL-14 06.24.42.639000000 PM,"guestUser",24-JAN-14 02.23.18.349000000 PM
1282284,31648,"SW",01-JAN-90,31-DEC-99,25,18,"guestUser",31-JUL-14 06.24.42.639000000 PM,"guestUser",24-JAN-14 02.23.18.349000000 PM
1277077,31248,"BC",23-FEB-11,31-DEC-99,25,24,"guestUser",24-FEB-14 10.18.25.335000000 AM,"guestUser",29-APR-13 12.54.11.685000000 PM
1278569,31335,"RH",01-JUL-97,31-DEC-99,33,28,"GUESTUSER",22-AUG-14 10.06.22.126000000 AM,"guestUser",16-JUL-13 01.58.17.051000000 PM
1278612,31338,"XX",01-JUL-66,31-DEC-99,560,5,"GUESTUSER",02-JUN-15 08.57.43.659000000 AM,"guestUser",18-JUL-13 10.14.52.844000000 AM
1279855,31452,"AC",14-FEB-52,31-DEC-99,22,31,"guestUser",08-APR-14 01.19.11.347000000 PM,"guestUser",27-AUG-13 10.18.17.619000000 AM
1279907,31455,"AC",06-APR-09,31-DEC-99,16,20,"guestUser",16-DEC-13 02.52.41.430000000 PM,"guestUser",27-AUG-13 03.48.01.702000000 PM
1277153,31540,"AC",01-JAN-13,31-DEC-13,55,8,"guestUser",07-NOV-13 10.17.27.007000000 AM,"guestUser",07-NOV-13 10.08.58.259000000 AM
1278112,31316,"XX",01-JAN-58,01-JAN-99,24,20,"guestUser",28-MAY-14 03.40.06.685000000 PM,"guestUser",25-JUN-13 03.04.14.693000000 PM
1279754,31448,"AC",01-JAN-13,31-DEC-13,62,8,"GUESTUSER",11-SEP-14 11.08.27.876000000 AM,"guestUser",23-AUG-13 02.30.23.384000000 PM
1279900,31454,"AC",06-APR-09,31-DEC-99,16,18,"guestUser",16-DEC-13 02.44.01.909000000 PM,"guestUser",27-AUG-13 03.13.33.497000000 PM
1277195,31253,"RE",01-JAN-75,31-DEC-99,8,30,"guestUser",25-MAR-14 12.59.51.127000000 PM,"guestUser",07-MAY-13 04.19.27.368000000 PM
1277387,31254,"SN",01-JUL-97,30-JUN-13,118,23,"guestUser",19-JUN-14 05.05.45.494000000 PM,"guestUser",09-MAY-13 11.13.44.202000000 AM
1277400,31255,"AC",01-JAN-13,31-DEC-13,12,23,"guestUser",24-JAN-14 07.33.02.821000000 AM,"guestUser",09-MAY-13 01.08.13.282000000 PM
1278351,31326,"SW",01-JAN-54,01-JAN-99,16,18,"guestUser",28-MAY-14 04.39.52.478000000 PM,"guestUser",08-JUL-13 04.03.46.065000000 PM
1279605,31440,"AL",22-DEC-11,31-DEC-99,16,26,"guestUser",24-JUN-14 11.37.40.114000000 AM,"guestUser",20-AUG-13 10.10.10.808000000 AM
1279628,31442,"PS",20-JUL-10,31-DEC-99,24,20,"guestUser",17-MAR-14 03.17.17.277000000 PM,"guestUser",21-AUG-13 11.10.21.279000000 AM
1279717,31443,"AC",01-JAN-13,31-DEC-13,65,5,"GUESTUSER",01-OCT-14 12.11.07.758000000 PM,"guestUser",23-AUG-13 09.43.23.604000000 AM
1279719,31444,"AC",01-JAN-13,31-DEC-13,86,13,"GUESTUSER",01-OCT-14 12.11.33.477000000 PM,"guestUser",23-AUG-13 09.51.55.272000000 AM
1278527,31502,"AC",09-MAR-07,31-DEC-99,25,31,"guestUser",05-MAY-14 11.01.49.516000000 AM,"guestUser",12-SEP-13 03.57.48.413000000 PM
1281984,31635,"AC",01-JAN-13,31-DEC-99,119,10,"GUESTUSER",27-AUG-14 08.55.47.207000000 AM,"guestUser",15-JAN-14 02.49.53.933000000 PM
1281754,31651,"XX",14-NOV-97,29-JAN-14,131,7,"GUESTUSER",08-OCT-14 11.12.01.320000000 AM,"guestUser",29-JAN-14 03.23.55.919000000 PM
1155311,31696,"XX",01-OCT-13,06-MAR-19,484,1,"B-Term-Prov-Trigger_2435956.00",12-MAR-19 06.00.50.755628000 PM,"PJHEID",06-MAR-14 09.28.23.849000000 AM
1283180,31697,"AC",02-JUN-11,31-DEC-99,25,23,"guestUser",18-JUN-14 03.46.53.720000000 PM,"guestUser",06-MAR-14 10.32.07.517000000 AM
1277075,31249,"AC",01-JUN-11,31-DEC-99,26,9,"guestUser",01-MAY-14 01.18.18.960000000 PM,"guestUser",29-APR-13 01.11.21.793000000 PM
1278115,31450,"SN",03-JUL-12,31-DEC-99,128,45,"guestUser",27-JUN-14 08.51.09.798000000 AM,"guestUser",26-AUG-13 02.10.30.693000000 PM
1279829,31451,"SN",03-JUL-12,31-DEC-99,101,29,"guestUser",27-JUN-14 09.19.22.290000000 AM,"guestUser",26-AUG-13 02.28.51.578000000 PM
1280365,31505,"SN",01-APR-02,21-DEC-00,140,24,"guestUser",04-APR-14 04.04.10.522000000 PM,"guestUser",17-SEP-13 04.07.22.135000000 PM
1280894,31536,"AC",01-JUN-12,31-MAY-14,73,40,"GUESTUSER",07-OCT-14 01.19.06.045000000 PM,"guestUser",01-NOV-13 10.38.26.315000000 AM
1001836,31550,"BC",01-OCT-13,31-DEC-13,40,4,"JMLAGRO",20-JUL-15 08.33.40.961000000 AM,"JMLAGRO",08-NOV-13 01.01.21.386000000 PM
1001836,31551,"AL",01-OCT-13,31-DEC-13,70,4,"JMLAGRO",20-JUL-15 08.33.40.961000000 AM,"JMLAGRO",08-NOV-13 01.01.21.387000000 PM
1281483,31589,"AC",01-OCT-06,31-OCT-99,167,3,"GUESTUSER",22-AUG-14 08.35.13.603000000 AM,"guestUser",12-DEC-13 04.33.24.813000000 PM
1281683,31665,"AC",01-SEP-13,31-DEC-99,31,42,"CR1906_SUP_PROV_DT",20-AUG-15 10.28.47.995000000 AM,"guestUser",06-FEB-14 02.20.10.910000000 PM
1277761,31281,"SN",01-SEP-62,31-DEC-99,78,27,"guestUser",10-MAY-14 08.17.15.048000000 AM,"guestUser",23-MAY-13 03.19.28.835000000 PM
1277838,31315,"AC",01-JAN-13,31-DEC-13,20,16,"guestUser",07-APR-14 12.17.37.508000000 PM,"guestUser",25-JUN-13 09.49.22.965000000 AM
1278254,31321,"AC",29-MAY-13,15-JUN-13,456,23,"B-Term-Prov-Trigger_2348671.00",15-JAN-19 06.01.02.548466000 PM,"guestUser",28-JUN-13 01.08.16.415000000 PM
1278280,31322,"AC",01-OCT-95,31-DEC-99,25,2,"guestUser",21-OCT-13 11.37.39.095000000 AM,"guestUser",01-JUL-13 05.58.29.185000000 PM
1278577,31336,"AC",01-JUL-97,31-DEC-99,270,20,"guestUser",30-JUL-14 06.29.26.868000000 PM,"guestUser",16-JUL-13 04.00.08.284000000 PM
1278934,31354,"MS",01-FEB-09,31-DEC-99,12,18,"guestUser",26-JUL-13 04.35.28.681000000 PM,"guestUser",26-JUL-13 04.16.43.452000000 PM
1278976,31359,"XX",01-JUL-09,31-DEC-99,25,16,"guestUser",02-APR-14 04.35.56.962000000 PM,"guestUser",29-JUL-13 03.19.26.754000000 PM
1278981,31360,"SW",01-JUL-09,31-DEC-99,25,19,"guestUser",04-APR-14 04.52.21.076000000 PM,"guestUser",29-JUL-13 03.55.30.384000000 PM
1278808,31421,"SN",01-JAN-05,02-APR-02,54,9,"DataFix_TermedPrv",15-OCT-15 05.31.29.728496000 PM,"guestUser",07-AUG-13 02.12.58.220000000 PM
1279584,31435,"SN",10-APR-89,31-DEC-99,52,23,"guestUser",30-MAY-14 11.56.43.911000000 AM,"guestUser",19-AUG-13 09.41.09.184000000 AM
1279588,31439,"SN",19-DEC-12,31-DEC-99,74,36,"guestUser",21-APR-14 11.09.37.242000000 AM,"guestUser",19-AUG-13 11.11.32.026000000 AM
1279724,31445,"XX",01-AUG-13,31-DEC-14,12,13,"guestUser",21-MAY-14 01.55.55.616000000 PM,"guestUser",23-AUG-13 10.35.57.208000000 AM
1171461,31517,"SN",01-OCT-13,10-OCT-18,58,6,"B-Term-Prov-Trigger_2208222.00",18-OCT-18 06.01.29.061822000 PM,"JMLAGRO",10-OCT-13 11.13.12.350000000 AM
1000083,31541,"AC",01-OCT-13,31-DEC-13,55,2,"JMLAGRO",05-AUG-15 11.01.45.039000000 AM,"JMLAGRO",07-NOV-13 10.19.25.883000000 AM
1281435,31583,"AC",01-JUL-66,01-JUL-99,612,27,"GUESTUSER",10-NOV-14 07.59.53.233000000 AM,"guestUser",10-DEC-13 03.50.17.665000000 PM
1281435,31584,"SW",01-JUL-66,01-JUL-99,14,27,"GUESTUSER",10-NOV-14 07.59.53.233000000 AM,"guestUser",10-DEC-13 03.50.17.665000000 PM
