"P_SYS_ID","P_SPECL_SK","P_SPECL_CD","P_SPECL_BEG_DT","P_SPECL_END_DT","P_SPECL_CERT_NUM","P_STATE_CD","P_SPECL_CERT_BOARD_CD","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1000852,1000824,"108",01-JUL-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000853,1000825,"121",01-JUL-11,16-MAR-12,"","","",0,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000854,1000826,"016",01-JUL-11,04-MAY-12,"","ND","",1,"KARCHARVAT",05-JUN-17 11.17.04.857000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000855,1000827,"121",01-JUL-11,30-SEP-13,"","ND","",4,"JMLAGRO",18-JUN-15 10.25.13.062000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000856,1000828,"005",01-JUL-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000857,1000829,"001",01-JUL-11,04-OCT-15,"0000","ND","26",1,"KHANDELAND",29-NOV-19 02.02.08.862000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000858,1000830,"006",01-JUL-11,04-OCT-15,"","ND","",1,"DMOCK",27-MAR-17 02.15.02.656000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000859,1000831,"007",01-JUL-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000860,1000832,"049",01-JUL-11,04-OCT-15,"","ND","",1,"SKOEHLY",21-FEB-18 11.04.10.172000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000861,1000833,"275",01-JUL-11,30-SEP-13,"","ND","",6,"MAURICIOPENERAND",03-AUG-15 03.54.32.987000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000862,1000834,"217",01-JUL-11,30-SEP-13,"","ND","",2,"CAROLREEVES",01-JUL-15 09.18.04.124000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000863,1000835,"020",01-JUL-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000864,1000836,"121",01-JUL-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000865,1000837,"001",01-JUL-11,04-OCT-15,"","ND","",1,"DMOCK",27-MAR-17 02.26.27.954000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000866,1000838,"275",01-JUL-11,01-JUL-11,"","","",0,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000867,1000839,"034",01-JUL-11,30-SEP-13,"","ND","",5,"DOMINICKNGANTOU",16-SEP-14 11.00.48.782000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000868,1000840,"034",01-JUL-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000869,1000841,"001",01-OCT-11,04-OCT-15,"0000","ND","26",1,"KHANDELAND",29-NOV-19 02.02.30.473000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000870,1000842,"034",01-JUL-11,04-OCT-15,"","ND","",3,"CR1906_SET_ENDDT_4OCT15",17-JUN-15 03.11.37.687000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000871,1000843,"359",01-MAR-90,30-SEP-05,"","ND","",1,"CKRAFT",18-MAY-16 09.19.34.811000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000872,1000844,"020",01-JUL-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000873,1000845,"034",01-JUL-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000874,1000846,"179",01-JUL-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000875,1000847,"025",01-JUL-11,30-SEP-13,"","ND","",3,"JMLAGRO",20-FEB-15 01.31.44.238000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000876,1000848,"179",01-JUL-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000877,1000849,"179",01-JUL-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000878,1000850,"025",01-JUL-11,04-OCT-15,"","ND","",1,"AYARBROUGH",11-MAR-16 10.54.26.381000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000879,1000851,"108",01-JUL-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000880,1000852,"006",01-JUL-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000881,1000853,"121",10-JUL-11,30-SEP-13,"","ND","",2,"ZULEIMARUIZ",04-SEP-14 10.54.46.861000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000882,1000854,"341",01-JUL-11,04-OCT-15,"","ND","",1,"JJUVE",14-MAR-23 08.23.15.659000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000883,1000855,"121",01-JUL-11,31-MAY-12,"","","",0,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000884,1000856,"013",01-JUL-11,04-OCT-15,"","ND","",1,"CHLHARMON",02-MAR-17 06.19.14.816000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000885,1000857,"003",01-JUL-11,31-MAR-12,"","","",0,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000886,1000858,"189",01-JUL-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000887,1000859,"275",01-JUL-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000888,1000860,"341",01-JUL-11,04-OCT-15,"","ND","",3,"CR1906_SET_ENDDT_4OCT15",17-JUN-15 03.20.36.611000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000889,1000861,"270",12-SEP-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000890,1000862,"003",01-JUL-11,31-MAR-12,"","","",0,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000891,1000863,"001",12-SEP-11,30-SEP-13,"","ND","",3,"ESTHERSHAHPAR",21-JUL-15 04.31.09.527000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000892,1000864,"020",19-SEP-11,18-NOV-11,"","","",0,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000893,1000865,"001",11-SEP-11,30-SEP-13,"","ND","",9,"MAURICIOPENERAND",03-AUG-15 03.47.51.634000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000894,1000866,"341",19-SEP-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000895,1000867,"049",09-SEP-11,04-OCT-15,"0000","ND","26",2,"KHANDELAND",29-NOV-19 02.08.58.875000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000896,1000868,"006",23-SEP-11,21-DEC-11,"","","",0,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000897,1000869,"010",23-SEP-11,30-SEP-13,"","ND","",2,"ESTHERSHAHPAR",12-NOV-14 01.56.04.746000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000898,1000870,"179",01-SEP-11,30-JUN-12,"","","",0,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000899,1000871,"006",03-OCT-11,04-OCT-15,"","ND","",1,"KARCHARVAT",05-JUN-17 11.23.25.587000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000900,1000872,"275",26-SEP-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000901,1000873,"341",03-OCT-11,30-SEP-13,"","ND","",4,"JMLAGRO",18-JUN-15 01.45.11.225000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000902,1000874,"016",01-NOV-11,30-SEP-13,"","ND","",3,"PJHEID",25-FEB-15 02.43.54.772000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000903,1000875,"341",07-NOV-11,30-SEP-13,"","ND","",1,"DAVIDWOEHL",11-JAN-16 02.48.44.598000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000905,1000877,"001",27-SEP-11,30-SEP-13,"","ND","",5,"JMLAGRO",11-MAY-15 07.26.22.824000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000906,1000878,"217",06-SEP-11,30-SEP-13,"","ND","",2,"ZULEIMARUIZ",05-SEP-14 04.26.08.202000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000907,1000879,"275",26-SEP-11,30-SEP-13,"","ND","",1,"DMOCK",14-DEC-15 04.00.59.227000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000908,1000880,"050",28-SEP-11,30-SEP-13,"","ND","",5,"CAROLREEVES",17-JUN-15 03.22.05.827000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000909,1000881,"050",28-SEP-11,30-SEP-13,"","ND","",4,"DMOCK",11-MAY-15 02.30.51.414000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000910,1000882,"050",26-SEP-11,30-SEP-13,"00000","ND","26",4,"KMELTZER",23-SEP-20 09.49.22.676000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000911,1000883,"020",01-SEP-11,30-SEP-13,"","ND","",1,"PJHEID",17-NOV-14 09.53.54.451000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000912,1000884,"001",22-SEP-11,04-OCT-15,"0000","ND","26",1,"KHANDELAND",29-NOV-19 02.08.49.620000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000913,1000885,"001",23-SEP-11,04-OCT-15,"0000","ND","26",1,"KHANDELAND",29-NOV-19 02.10.37.090000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000914,1000886,"006",03-OCT-11,31-DEC-99,"00000","ND","26",14,"RRUD",09-JAN-17 12.16.33.568000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000915,1000887,"050",03-OCT-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000916,1000888,"016",10-OCT-11,30-SEP-13,"","ND","",6,"MAURICIOPENERAND",24-JUL-15 03.56.02.490000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000917,1000889,"049",03-OCT-11,30-SEP-13,"","ND","",4,"USHASHA",30-JUN-15 09.49.53.288000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000918,1000890,"013",21-SEP-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000919,1000891,"270",11-OCT-11,30-SEP-13,"","ND","",10,"MAURICIOPENERAND",24-JUL-15 03.58.20.140000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000920,1000892,"275",01-SEP-11,30-SEP-13,"","ND","",10,"CAROLREEVES",23-JUN-15 03.35.24.819000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000921,1000893,"436",01-JUL-11,30-SEP-13,"","ND","",10,"PJHEID",19-AUG-15 04.11.45.200000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000922,1000894,"001",02-SEP-11,30-SEP-13,"","ND","",2,"ESTHERSHAHPAR",12-NOV-14 01.28.11.330000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000923,1000895,"013",03-OCT-11,30-SEP-13,"","ND","",1,"AYARBROUGH",08-APR-19 01.25.04.923000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000924,1000896,"189",13-SEP-11,31-DEC-11,"","","",0,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000925,1000897,"270",03-OCT-11,30-SEP-13,"","ND","",1,"LISACAMPBELL",03-FEB-14 11.42.42.043000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000926,1000898,"270",07-SEP-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000927,1000899,"359",18-AUG-11,04-OCT-15,"","ND","",1,"CJFRANCIS",01-MAR-16 09.59.25.488000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000928,1000900,"341",31-OCT-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000929,1000901,"049",01-OCT-11,30-SEP-13,"00000","ND","26",3,"KMELTZER",29-JUL-20 04.21.12.898000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000930,1000902,"050",18-OCT-11,30-SEP-13,"","ND","",2,"MMANYGUNS",02-MAR-15 04.34.13.971000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000931,1000903,"049",24-OCT-11,04-OCT-15,"0000","ND","26",1,"KHANDELAND",29-NOV-19 02.10.27.449000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000932,1000904,"033",14-OCT-11,27-JAN-12,"","","",0,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000933,1000905,"050",17-OCT-11,30-SEP-13,"","ND","",7,"PJHEID",22-APR-15 11.10.08.771000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000934,1000906,"013",20-SEP-11,30-SEP-13,"","ND","",3,"JMLAGRO",26-JAN-15 12.35.19.174000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000935,1000907,"270",01-OCT-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000936,1000908,"217",21-OCT-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000937,1000909,"034",14-DEC-11,30-SEP-13,"","ND","",1,"DMOCK",04-APR-17 03.02.51.793000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000938,1000910,"270",11-NOV-11,06-APR-12,"","","",0,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000939,1000911,"001",24-OCT-11,30-SEP-13,"","ND","",2,"ESTHERSHAHPAR",11-NOV-14 05.11.25.466000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000940,1000912,"001",17-OCT-11,30-SEP-13,"","ND","",6,"MELISSABULGER",12-NOV-14 10.56.24.021000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000941,1000913,"010",24-OCT-11,20-JAN-12,"","ND","",5,"DANIELLAESTRELLA",29-JUN-15 11.06.56.080000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000942,1000914,"050",18-OCT-11,04-OCT-15,"","ND","",1,"ANNDOLL",24-OCT-18 11.51.39.710000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000943,1000915,"005",27-OCT-11,30-SEP-13,"","ND","",3,"BRENDAPEREZESCOB",08-SEP-14 11.40.23.015000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000944,1000916,"013",09-MAY-11,30-SEP-13,"","ND","",1,"JMLAGRO",30-MAR-15 10.09.30.586000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000945,1000917,"054",01-OCT-11,30-SEP-13,"","ND","",1,"THENDERSON",14-AUG-15 11.23.10.169000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000946,1000918,"054",01-FEB-11,30-SEP-13,"","ND","",1,"USHASHA",24-JUL-15 10.49.07.314000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000947,1000919,"054",26-JUL-11,30-SEP-13,"","ND","",3,"CKRAFT",21-MAY-15 07.30.22.375000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000948,1000920,"054",25-JUL-11,30-SEP-13,"","ND","",1,"USHASHA",24-JUL-15 10.52.40.200000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000949,1000921,"047",01-NOV-11,04-OCT-15,"","ND","",1,"CR1906_SET_ENDDT_4OCT15",10-JUN-15 01.57.57.712000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000950,1000922,"359",18-OCT-11,30-SEP-13,"","ND","",3,"ESTHERSHAHPAR",23-MAR-15 05.19.39.962000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000951,1000923,"047",15-NOV-11,30-SEP-13,"","ND","",1,"MAURICIOPENERAND",12-MAR-15 02.03.37.289000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000952,1000924,"050",28-NOV-11,30-SEP-13,"00000","ND","26",2,"KMELTZER",29-MAY-20 11.30.46.817000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000953,1000925,"047",15-NOV-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000954,1000926,"013",31-OCT-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000955,1000927,"189",22-NOV-11,23-MAR-12,"","ND","",1,"MLMOOS",03-NOV-18 04.06.29.919000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000956,1000928,"020",26-OCT-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000957,1000929,"275",09-NOV-11,14-JAN-12,"00000","ND","26",2,"KMELTZER",08-JUL-20 03.43.53.082000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000958,1000930,"050",11-NOV-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000959,1000931,"050",11-NOV-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000960,1000932,"217",21-NOV-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000961,1000933,"029",21-NOV-11,17-OCT-12,"","","",0,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000962,1000934,"011",31-OCT-11,04-OCT-15,"0000","ND","26",1,"KHANDELAND",29-NOV-19 02.12.07.322000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000963,1000935,"013",08-NOV-11,30-SEP-13,"","ND","",1,"DAVIDWOEHL",16-OCT-15 02.04.37.958000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000964,1000936,"121",14-NOV-11,30-SEP-13,"","ND","",3,"ESTHERSHAHPAR",29-JUN-15 10.59.32.824000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000965,1000937,"011",09-NOV-11,23-MAR-12,"","","",0,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000966,1000938,"001",14-NOV-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000967,1000939,"049",10-NOV-11,10-FEB-12,"","","",0,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000968,1000940,"007",14-NOV-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000969,1000941,"050",17-NOV-11,30-SEP-13,"","ND","",2,"DANIELLAESTRELLA",10-SEP-14 12.47.50.394000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000970,1000942,"030",15-NOV-11,31-DEC-99,"00000","ND","26",7,"MMANYGUNS",15-JUL-15 03.14.57.651000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000971,1000943,"001",14-NOV-11,30-SEP-13,"","ND","",5,"ESTHERSHAHPAR",21-JUL-15 01.28.15.605000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000972,1000944,"359",07-JUL-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000973,1000945,"359",09-NOV-11,09-NOV-11,"","","",0,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000974,1000946,"005",01-AUG-11,30-SEP-13,"","ND","",2,"JMLAGRO",21-JUL-15 08.00.38.759000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000975,1000947,"341",19-DEC-11,30-SEP-13,"","ND","",2,"MMANYGUNS",07-APR-15 04.02.06.546000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000976,1000948,"341",28-NOV-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000977,1000949,"359",01-AUG-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000978,1000950,"020",01-DEC-11,30-SEP-13,"","ND","",2,"MAURICIOPENERAND",24-JUL-15 09.41.06.903000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000979,1000951,"010",05-DEC-11,30-SEP-13,"","ND","",3,"JMLAGRO",12-JUN-15 08.21.28.489000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000980,1000952,"105",07-DEC-11,30-SEP-13,"","ND","",5,"ESTHERSHAHPAR",30-JUN-15 05.20.59.700000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
