"P_GRP_SYS_ID","P_MBR_SYS_ID","P_AFFL_SK","P_AFFL_PCP_IND","L_HIBERNATE_VER_NUM","G_AUD_ADD_TS","G_AUD_ADD_USER_ID","G_AUD_TS","G_AUD_USER_ID"
1166885,1281554,1022145,"N",0,11-FEB-14 12.45.37.644000000 PM,"JMLAGRO",11-FEB-14 12.45.37.644000000 PM,"JMLAGRO"
1183624,1282475,1023205,"N",3,04-MAR-14 03.22.09.557000000 PM,"PJHEID",08-JUL-15 02.48.31.586000000 PM,"ESTHERSHAHPAR"
1166885,1282450,1022990,"N",1,27-FEB-14 06.17.21.899000000 PM,"JUDITHSZEGEDI",20-JUL-15 12.49.27.696000000 PM,"JMLAGRO"
1166177,1278122,1022997,"N",0,28-FEB-14 12.47.05.900000000 PM,"PJHEID",28-FEB-14 12.47.05.900000000 PM,"PJHEID"
1162187,1280196,1023120,"N",5,03-MAR-14 01.38.23.449000000 PM,"JMLAGRO",11-JUN-18 03.09.04.334000000 PM,"DATA_FFIX_PCPIndicator_850493"
1166786,1281876,1023365,"Y",0,07-MAR-14 04.00.08.236000000 PM,"PJHEID",07-MAR-14 04.00.08.236000000 PM,"DataFix_PCPAffiliaion"
1188665,1279300,1023368,"N",0,07-MAR-14 04.26.27.779000000 PM,"PJHEID",07-MAR-14 04.26.27.779000000 PM,"PJHEID"
1155497,1283125,1023367,"N",2,07-MAR-14 04.18.07.150000000 PM,"PJHEID",08-OCT-25 02.45.07.723000000 PM,"PJHEID"
1188668,1279300,1023369,"N",0,07-MAR-14 04.26.27.806000000 PM,"PJHEID",07-MAR-14 04.26.27.806000000 PM,"PJHEID"
1162914,1279508,1023554,"N",2,11-MAR-14 03.20.54.375000000 PM,"LISACAMPBELL",22-JUN-15 01.10.49.294000000 PM,"PJHEID"
1277925,1277949,1018573,"N",0,02-JUL-13 01.44.52.330000000 PM,"JMLAGRO",02-JUL-13 01.44.52.330000000 PM,"JMLAGRO"
1190695,1278383,1018587,"N",1,22-JUL-13 12.56.03.192000000 PM,"PJHEID",08-JUL-15 11.18.59.989000000 AM,"JMLAGRO"
1169026,1280160,1019742,"N",1,06-DEC-13 06.57.54.831000000 AM,"JMLAGRO",08-JUL-15 11.09.17.545000000 AM,"JMLAGRO"
1167767,1277318,1019310,"N",1,08-NOV-13 07.26.07.260000000 AM,"PJHEID",02-JUL-15 10.33.05.434000000 AM,"PJHEID"
1155497,1280609,1019647,"N",0,02-DEC-13 10.01.17.353000000 AM,"JMLAGRO",02-DEC-13 10.01.17.353000000 AM,"JMLAGRO"
1191604,1281213,1019821,"N",0,13-DEC-13 07.22.34.430000000 AM,"JMLAGRO",13-DEC-13 07.22.34.430000000 AM,"JMLAGRO"
1182734,1280193,1019872,"N",0,13-DEC-13 02.27.32.195000000 PM,"JMLAGRO",13-DEC-13 02.27.32.195000000 PM,"JMLAGRO"
1191604,1280330,1019741,"N",0,06-DEC-13 06.48.47.990000000 AM,"JMLAGRO",06-DEC-13 06.48.47.990000000 AM,"JMLAGRO"
1182734,1280876,1019876,"N",0,13-DEC-13 02.39.08.762000000 PM,"JMLAGRO",13-DEC-13 02.39.08.762000000 PM,"JMLAGRO"
1003051,1280193,1019873,"N",0,13-DEC-13 02.27.32.200000000 PM,"JMLAGRO",13-DEC-13 02.27.32.200000000 PM,"JMLAGRO"
1003051,1280876,1019875,"N",0,13-DEC-13 02.39.08.750000000 PM,"JMLAGRO",13-DEC-13 02.39.08.750000000 PM,"JMLAGRO"
1189217,1281475,1019914,"N",0,20-DEC-13 11.10.59.086000000 AM,"JMLAGRO",20-DEC-13 11.10.59.086000000 AM,"JMLAGRO"
1189208,1281475,1019915,"N",0,20-DEC-13 11.10.59.120000000 AM,"JMLAGRO",20-DEC-13 11.10.59.120000000 AM,"JMLAGRO"
1155553,1280980,1019924,"N",1,20-DEC-13 02.53.37.503000000 PM,"JMLAGRO",29-JUN-15 10.57.36.152000000 AM,"JMLAGRO"
1166116,1281392,1020114,"N",1,03-JAN-14 01.02.24.274000000 PM,"JMLAGRO",30-JUN-15 02.52.47.117000000 PM,"JMLAGRO"
1155497,1281386,1020362,"Y",3,15-JAN-14 11.40.37.052000000 AM,"PJHEID",17-JUL-15 03.28.39.828000000 PM,"DataFix_PCPAffiliaion"
1000221,1277146,1020871,"N",0,01-FEB-14 12.59.48.900000000 PM,"PJHEID",01-FEB-14 12.59.48.900000000 PM,"PJHEID"
1281248,1281414,1021227,"Y",0,07-FEB-14 07.15.48.329000000 AM,"JMLAGRO",07-FEB-14 07.15.48.329000000 AM,"DATA_FFIX_PCPIndicator_850493"
1167001,1281414,1021228,"Y",0,07-FEB-14 07.15.48.333000000 AM,"JMLAGRO",07-FEB-14 07.15.48.333000000 AM,"DATA_FFIX_PCPIndicator_850493"
1281243,1281414,1021226,"Y",0,07-FEB-14 07.15.48.320000000 AM,"JMLAGRO",07-FEB-14 07.15.48.320000000 AM,"DATA_FFIX_PCPIndicator_850493"
1163095,1277981,1020067,"N",1,02-JAN-14 09.55.21.062000000 AM,"JMLAGRO",26-AUG-16 12.52.46.873000000 PM,"DataFix_PCPAffiliaion"
1188669,1278390,1023220,"N",0,05-MAR-14 10.09.32.544000000 AM,"PJHEID",05-MAR-14 10.09.32.544000000 AM,"PJHEID"
1155497,1283077,1023474,"Y",1,10-MAR-14 01.43.16.185000000 PM,"JOYSPEZIALE",26-JUN-15 02.56.51.147000000 PM,"DATA_FFIX_PCPIndicator_850493"
1277928,1278151,1018571,"N",0,02-JUL-13 12.57.22.091000000 PM,"JMLAGRO",02-JUL-13 12.57.22.091000000 PM,"JMLAGRO"
1155664,1278698,1018611,"N",0,18-SEP-13 12.08.48.812000000 PM,"JMLAGRO",18-SEP-13 12.08.48.812000000 PM,"JMLAGRO"
1155371,1278346,1019367,"Y",4,15-NOV-13 02.02.49.343000000 PM,"JMLAGRO",16-JUL-15 08.51.18.455000000 AM,"DATA_FFIX_PCPIndicator_850493"
1167767,1277289,1019250,"N",1,04-NOV-13 03.16.01.089000000 PM,"PJHEID",02-JUL-15 10.31.18.047000000 AM,"JMLAGRO"
1165183,1278346,1019366,"Y",4,15-NOV-13 02.02.49.284000000 PM,"JMLAGRO",27-JUL-15 09.01.51.917000000 AM,"DATA_FFIX_PCPIndicator_850493"
1155387,1278346,1019368,"Y",4,15-NOV-13 02.02.49.351000000 PM,"JMLAGRO",16-JUL-15 08.51.18.454000000 AM,"DATA_FFIX_PCPIndicator_850493"
1155452,1278346,1019369,"Y",4,15-NOV-13 02.02.49.369000000 PM,"JMLAGRO",16-JUL-15 08.51.18.455000000 AM,"DATA_FFIX_PCPIndicator_850493"
1155347,1278346,1019370,"Y",5,15-NOV-13 02.02.49.376000000 PM,"JMLAGRO",27-JUL-15 09.01.51.914000000 AM,"DATA_FFIX_PCPIndicator_850493"
1155400,1278346,1019371,"Y",4,15-NOV-13 02.02.49.396000000 PM,"JMLAGRO",16-JUL-15 08.51.18.455000000 AM,"DATA_FFIX_PCPIndicator_850493"
1166735,1278346,1019372,"Y",4,15-NOV-13 02.02.49.400000000 PM,"JMLAGRO",16-JUL-15 08.51.18.455000000 AM,"DATA_FFIX_PCPIndicator_850493"
1190722,1280802,1019378,"N",1,15-NOV-13 03.20.36.441000000 PM,"JMLAGRO",09-JUN-15 12.58.55.810000000 PM,"PJHEID"
1190722,1280537,1019379,"N",1,15-NOV-13 03.28.58.705000000 PM,"JMLAGRO",15-JUL-15 12.48.38.955000000 PM,"PJHEID"
1162478,1279649,1019684,"N",2,03-DEC-13 07.39.13.535000000 AM,"JMLAGRO",03-AUG-15 11.14.57.076000000 AM,"USHASHA"
1162187,1279379,1019685,"N",1,03-DEC-13 07.57.40.799000000 AM,"JMLAGRO",11-JUN-18 03.08.27.837000000 PM,"DATA_FFIX_PCPIndicator_850493"
1183620,1280492,1019681,"N",1,03-DEC-13 07.00.22.943000000 AM,"JMLAGRO",29-JUN-15 01.08.58.593000000 PM,"JMLAGRO"
1162187,1279649,1019683,"N",2,03-DEC-13 07.39.13.379000000 AM,"JMLAGRO",03-AUG-15 11.14.57.077000000 AM,"USHASHA"
1003118,1278353,1019641,"N",1,02-DEC-13 08.45.01.713000000 AM,"JMLAGRO",08-JUL-15 11.05.12.140000000 AM,"DANIELLAESTRELLA"
1159303,1280115,1019687,"Y",0,03-DEC-13 08.13.40.506000000 AM,"JMLAGRO",03-DEC-13 08.13.40.506000000 AM,"DataFix_PCPAffiliaion"
1188667,1280133,1019689,"N",1,03-DEC-13 10.23.20.533000000 AM,"JMLAGRO",24-JUN-15 02.56.50.391000000 PM,"JMLAGRO"
1157665,1281321,1019691,"N",0,03-DEC-13 10.45.12.512000000 AM,"JMLAGRO",03-DEC-13 10.45.12.512000000 AM,"JMLAGRO"
1167626,1280591,1019706,"N",5,05-DEC-13 07.11.07.094000000 AM,"JMLAGRO",22-JUN-15 01.51.43.337000000 PM,"PJHEID"
1003003,1280543,1019707,"N",1,05-DEC-13 07.31.43.239000000 AM,"JMLAGRO",15-JUL-15 03.14.54.858000000 PM,"JMLAGRO"
1155473,1280543,1019708,"N",1,05-DEC-13 07.31.43.242000000 AM,"JMLAGRO",15-JUL-15 03.14.54.858000000 PM,"JMLAGRO"
1155484,1280543,1019709,"N",1,05-DEC-13 07.31.43.256000000 AM,"JMLAGRO",15-JUL-15 03.14.54.857000000 PM,"JMLAGRO"
1162187,1279287,1019731,"Y",0,05-DEC-13 02.46.08.512000000 PM,"JMLAGRO",05-DEC-13 02.46.08.512000000 PM,"DATA_FFIX_PCPIndicator_850493"
1157665,1281383,1019734,"N",1,05-DEC-13 09.03.50.497000000 PM,"PJHEID",24-JUN-15 02.01.09.263000000 PM,"JMLAGRO"
1167626,1278581,1019735,"N",0,05-DEC-13 09.57.55.030000000 PM,"PJHEID",05-DEC-13 09.57.55.030000000 PM,"PJHEID"
1162170,1280709,1019884,"Y",2,16-DEC-13 01.38.20.163000000 PM,"JMLAGRO",16-JUN-15 09.24.36.199000000 AM,"DataFix_PCPAffiliaion"
1157053,1280709,1019885,"N",2,16-DEC-13 01.38.20.169000000 PM,"JMLAGRO",16-JUN-15 09.24.36.200000000 AM,"CAROLREEVES"
1159888,1280096,1019779,"Y",0,10-DEC-13 10.12.06.774000000 AM,"JMLAGRO",10-DEC-13 10.12.06.774000000 AM,"DataFix_PCPAffiliaion"
1188670,1281377,1019897,"N",0,18-DEC-13 09.00.08.975000000 AM,"PJHEID",18-DEC-13 09.00.08.975000000 AM,"PJHEID"
1155451,1280709,1019886,"Y",2,16-DEC-13 01.38.20.185000000 PM,"JMLAGRO",16-JUN-15 09.24.36.200000000 AM,"DataFix_PCPAffiliaion"
1166133,1280905,1019887,"N",0,16-DEC-13 01.50.53.336000000 PM,"JMLAGRO",16-DEC-13 01.50.53.336000000 PM,"JMLAGRO"
1188664,1281377,1019898,"N",0,18-DEC-13 09.00.08.999000000 AM,"PJHEID",18-DEC-13 09.00.08.999000000 AM,"PJHEID"
1155553,1280737,1019925,"N",1,20-DEC-13 03.37.08.160000000 PM,"JMLAGRO",22-JUN-15 04.44.32.257000000 PM,"JMLAGRO"
1159148,1280737,1019926,"N",1,20-DEC-13 03.37.08.163000000 PM,"JMLAGRO",22-JUN-15 04.44.32.258000000 PM,"JMLAGRO"
1155506,1280737,1019927,"N",1,20-DEC-13 03.37.08.168000000 PM,"JMLAGRO",22-JUN-15 04.44.32.258000000 PM,"JMLAGRO"
1159305,1281341,1019945,"N",0,26-DEC-13 03.17.59.823000000 PM,"JMLAGRO",26-DEC-13 03.17.59.823000000 PM,"JMLAGRO"
1155553,1281706,1023341,"N",0,07-MAR-14 12.26.45.348000000 PM,"PJHEID",07-MAR-14 12.26.45.348000000 PM,"PJHEID"
1163906,1276811,1020245,"N",0,10-JAN-14 01.14.13.867000000 PM,"JMLAGRO",10-JAN-14 01.14.13.867000000 PM,"JMLAGRO"
1000423,1277879,1018585,"Y",0,12-JUL-13 08.22.47.275000000 AM,"DATAFFIX_PCPAffiliation",12-JUL-13 08.22.47.275000000 AM,"DATAFFIX_PCPAffiliation"
1279000,1279642,1018600,"N",0,30-AUG-13 02.23.21.627000000 PM,"JMLAGRO",30-AUG-13 02.23.21.627000000 PM,"JMLAGRO"
1158337,1277284,1018613,"N",1,18-SEP-13 12.54.50.435000000 PM,"JMLAGRO",26-JUN-15 05.19.27.075000000 PM,"MMANYGUNS"
1188664,1279600,1018614,"N",0,18-SEP-13 02.05.37.031000000 PM,"JMLAGRO",18-SEP-13 02.05.37.031000000 PM,"JMLAGRO"
1155485,1279810,1018632,"Y",0,24-SEP-13 11.53.32.457000000 AM,"TBRABANDT",24-SEP-13 11.53.32.457000000 AM,"DATA_FFIX_PCPIndicator_850493"
1155474,1279810,1018633,"Y",0,24-SEP-13 11.53.32.497000000 AM,"TBRABANDT",24-SEP-13 11.53.32.497000000 AM,"DATA_FFIX_PCPIndicator_850493"
1155473,1279810,1018634,"Y",0,24-SEP-13 11.53.32.515000000 AM,"TBRABANDT",24-SEP-13 11.53.32.515000000 AM,"DATA_FFIX_PCPIndicator_850493"
1155476,1279810,1018635,"Y",0,24-SEP-13 11.53.32.518000000 AM,"TBRABANDT",24-SEP-13 11.53.32.518000000 AM,"DATA_FFIX_PCPIndicator_850493"
1000221,1277129,1019481,"N",0,24-NOV-13 12.26.15.218000000 PM,"PJHEID",24-NOV-13 12.26.15.218000000 PM,"PJHEID"
1156286,1280704,1019382,"Y",0,15-NOV-13 03.39.04.997000000 PM,"JMLAGRO",15-NOV-13 03.39.04.997000000 PM,"DATA_FFIX_PCPIndicator_850493"
1155470,1278304,1019492,"N",0,24-NOV-13 01.43.25.381000000 PM,"PJHEID",24-NOV-13 01.43.25.381000000 PM,"PJHEID"
1157665,1281351,1019717,"N",0,05-DEC-13 10.03.10.642000000 AM,"JMLAGRO",05-DEC-13 10.03.10.642000000 AM,"JMLAGRO"
1166133,1280904,1023273,"N",0,05-MAR-14 07.38.18.996000000 PM,"JOYSPEZIALE",05-MAR-14 07.38.18.996000000 PM,"JOYSPEZIALE"
1182779,1279666,1019693,"N",0,03-DEC-13 11.09.47.175000000 AM,"JMLAGRO",03-DEC-13 11.09.47.175000000 AM,"JMLAGRO"
1169004,1280377,1019747,"N",3,06-DEC-13 07.42.08.624000000 AM,"JMLAGRO",21-JUL-15 08.24.40.444000000 AM,"PJHEID"
1167626,1280592,1019705,"Y",2,05-DEC-13 06.50.25.001000000 AM,"JMLAGRO",15-JUL-15 03.13.20.280000000 PM,"DATA_FFIX_PCPIndicator_850493"
1167767,1277411,1019789,"N",1,12-DEC-13 07.04.00.160000000 AM,"JMLAGRO",02-JUL-15 10.34.50.190000000 AM,"JMLAGRO"
1162187,1280389,1019745,"N",5,06-DEC-13 07.28.49.751000000 AM,"JMLAGRO",08-AUG-15 12.56.24.023000000 PM,"PJHEID"
1191604,1280182,1019358,"N",0,14-NOV-13 09.30.11.741000000 AM,"TBRABANDT",14-NOV-13 09.30.11.741000000 AM,"TBRABANDT"
1191604,1280354,1019786,"N",0,11-DEC-13 07.12.41.815000000 AM,"JMLAGRO",11-DEC-13 07.12.41.815000000 AM,"JMLAGRO"
1167767,1277358,1019794,"N",1,12-DEC-13 09.56.22.852000000 AM,"JMLAGRO",02-JUL-15 10.34.09.691000000 AM,"JMLAGRO"
1191604,1281186,1019822,"N",0,13-DEC-13 07.35.26.087000000 AM,"JMLAGRO",13-DEC-13 07.35.26.087000000 AM,"JMLAGRO"
1189147,1280929,1019823,"N",0,13-DEC-13 09.39.05.311000000 AM,"JMLAGRO",13-DEC-13 09.39.05.311000000 AM,"JMLAGRO"
1182792,1280188,1019882,"N",0,13-DEC-13 03.16.37.265000000 PM,"JMLAGRO",13-DEC-13 03.16.37.265000000 PM,"JMLAGRO"
1163095,1280693,1019928,"N",0,23-DEC-13 11.26.35.920000000 AM,"JMLAGRO",23-DEC-13 11.26.35.920000000 AM,"JMLAGRO"
1163095,1278616,1020068,"Y",0,02-JAN-14 10.01.21.884000000 AM,"JMLAGRO",02-JAN-14 10.01.21.884000000 AM,"DataFix_PCPAffiliaion"
1166177,1277965,1019970,"N",1,27-DEC-13 12.38.57.070000000 PM,"JMLAGRO",17-JUL-15 09.39.14.766000000 AM,"DMOCK"
1155473,1279993,1020090,"Y",0,02-JAN-14 02.43.19.111000000 PM,"PJHEID",02-JAN-14 02.43.19.111000000 PM,"DataFix_PCPAffiliaion"
1186303,1281388,1019881,"N",0,13-DEC-13 03.12.40.758000000 PM,"JMLAGRO",13-DEC-13 03.12.40.758000000 PM,"JMLAGRO"
1166043,1279993,1020091,"Y",0,02-JAN-14 02.43.19.121000000 PM,"PJHEID",02-JAN-14 02.43.19.121000000 PM,"DataFix_PCPAffiliaion"
1155476,1279993,1020092,"Y",0,02-JAN-14 02.43.19.126000000 PM,"PJHEID",02-JAN-14 02.43.19.126000000 PM,"DataFix_PCPAffiliaion"
1155425,1279993,1020093,"Y",0,02-JAN-14 02.43.19.129000000 PM,"PJHEID",02-JAN-14 02.43.19.129000000 PM,"DataFix_PCPAffiliaion"
1155474,1279993,1020094,"Y",0,02-JAN-14 02.43.19.134000000 PM,"PJHEID",02-JAN-14 02.43.19.134000000 PM,"DataFix_PCPAffiliaion"
1155485,1279993,1020095,"Y",0,02-JAN-14 02.43.19.137000000 PM,"PJHEID",02-JAN-14 02.43.19.137000000 PM,"DataFix_PCPAffiliaion"
1166885,1282118,1023239,"N",2,05-MAR-14 11.19.17.775000000 AM,"JMLAGRO",29-JUN-15 11.49.36.803000000 AM,"CAROLREEVES"
1155497,1283099,1023478,"Y",1,10-MAR-14 02.49.22.291000000 PM,"JUDITHSZEGEDI",07-MAR-18 08.12.00.361000000 AM,"JUDITHSZEGEDI"
1155469,1280175,1023579,"N",0,12-MAR-14 02.23.15.560000000 PM,"JOYSPEZIALE",12-MAR-14 02.23.15.560000000 PM,"JOYSPEZIALE"
1192709,1279964,1018599,"N",0,30-AUG-13 01.59.26.676000000 PM,"JMLAGRO",30-AUG-13 01.59.26.676000000 PM,"JMLAGRO"
1279000,1279651,1018601,"N",1,30-AUG-13 02.29.20.425000000 PM,"JMLAGRO",10-JUL-15 10.21.43.647000000 AM,"CAROLREEVES"
1003019,1278194,1018603,"N",0,12-SEP-13 08.33.24.696000000 AM,"PJHEID",12-SEP-13 08.33.24.696000000 AM,"PJHEID"
1162284,1278008,1018607,"N",2,18-SEP-13 11.12.12.846000000 AM,"PJHEID",31-JUL-15 03.11.44.953000000 PM,"PJHEID"
1162284,1278012,1018608,"N",0,18-SEP-13 11.21.29.895000000 AM,"PJHEID",18-SEP-13 11.21.29.895000000 AM,"PJHEID"
1155664,1280170,1018621,"Y",0,18-SEP-13 02.31.10.857000000 PM,"JMLAGRO",18-SEP-13 02.31.10.857000000 PM,"DataFix_PCPAffiliaion"
1166885,1281702,1023423,"N",8,10-MAR-14 08.56.36.198000000 AM,"PJHEID",28-JUL-15 09.18.21.521000000 AM,"PJHEID"
1001663,1277166,1019024,"N",1,22-OCT-13 08.08.11.894000000 AM,"JMLAGRO",15-JUL-15 12.16.04.664000000 PM,"JMLAGRO"
1187118,1278596,1019394,"N",0,16-NOV-13 12.03.30.422000000 PM,"JMLAGRO",16-NOV-13 12.03.30.422000000 PM,"JMLAGRO"
1182922,1278758,1019478,"N",3,24-NOV-13 10.47.04.516000000 AM,"PJHEID",26-JUN-15 03.46.39.745000000 PM,"MMANYGUNS"
1159982,1278637,1019580,"N",1,27-NOV-13 12.14.25.746000000 PM,"PJHEID",17-JUL-15 10.08.31.552000000 AM,"MMANYGUNS"
1155497,1280553,1019583,"Y",2,27-NOV-13 01.28.05.710000000 PM,"JMLAGRO",30-JUN-15 10.26.31.317000000 AM,"DATA_FFIX_PCPIndicator_850493"
1155497,1280536,1019575,"Y",1,26-NOV-13 07.53.05.883000000 PM,"JMLAGRO",24-JUN-15 01.23.46.556000000 PM,"DataFix_PCPAffiliaion"
1003134,1280475,1019604,"N",0,29-NOV-13 02.06.54.982000000 PM,"PJHEID",29-NOV-13 02.06.54.982000000 PM,"PJHEID"
1167767,1277378,1019791,"N",6,12-DEC-13 07.34.57.951000000 AM,"JMLAGRO",16-JUL-15 10.09.18.839000000 AM,"JMLAGRO"
1162187,1279383,1019603,"N",4,29-NOV-13 01.58.05.785000000 PM,"PJHEID",11-JUN-18 03.09.38.883000000 PM,"DATA_FFIX_PCPIndicator_850493"
1191604,1280328,1019694,"N",0,03-DEC-13 11.30.16.423000000 AM,"JMLAGRO",03-DEC-13 11.30.16.423000000 AM,"JMLAGRO"
1191604,1281525,1020085,"N",0,02-JAN-14 01.22.27.624000000 PM,"JMLAGRO",02-JAN-14 01.22.27.624000000 PM,"JMLAGRO"
1159148,1281684,1020186,"N",1,09-JAN-14 12.26.01.008000000 PM,"JMLAGRO",24-JUN-15 02.35.56.031000000 PM,"PJHEID"
1155506,1281684,1020187,"N",1,09-JAN-14 12.26.01.033000000 PM,"JMLAGRO",24-JUN-15 02.35.56.031000000 PM,"PJHEID"
1155553,1281684,1020188,"N",1,09-JAN-14 12.26.01.093000000 PM,"JMLAGRO",24-JUN-15 02.35.56.031000000 PM,"JMLAGRO"
1188669,1278361,1020536,"N",1,23-JAN-14 11.54.36.816000000 AM,"PJHEID",17-JUN-15 12.57.26.963000000 PM,"JMLAGRO"
1188670,1278361,1020537,"N",1,23-JAN-14 11.54.36.846000000 AM,"PJHEID",17-JUN-15 12.57.26.963000000 PM,"JMLAGRO"
1000221,1277995,1020787,"N",0,28-JAN-14 11.46.25.597000000 PM,"PJHEID",28-JAN-14 11.46.25.597000000 PM,"PJHEID"
1160075,1278158,1023040,"N",1,28-FEB-14 04.32.20.993000000 PM,"PJHEID",14-AUG-15 08.34.01.919000000 AM,"JMLAGRO"
1187789,1277894,1020978,"Y",0,04-FEB-14 08.05.55.516000000 PM,"JUDITHSZEGEDI",04-FEB-14 08.05.55.516000000 PM,"DATA_FFIX_PCPIndicator_850493"
1188669,1276758,1018561,"N",0,10-APR-13 10.53.04.646000000 AM,"JMLAGRO",10-APR-13 10.53.04.646000000 AM,"JMLAGRO"
1189208,1278003,1018985,"N",0,16-OCT-13 09.46.51.162000000 AM,"JMLAGRO",16-OCT-13 09.46.51.162000000 AM,"JMLAGRO"
1189217,1278003,1018986,"N",0,16-OCT-13 09.46.51.165000000 AM,"JMLAGRO",16-OCT-13 09.46.51.165000000 AM,"JMLAGRO"
1189203,1278003,1018984,"N",0,16-OCT-13 09.46.51.153000000 AM,"JMLAGRO",16-OCT-13 09.46.51.153000000 AM,"JMLAGRO"
1166885,1280604,1019385,"Y",2,15-NOV-13 03.53.45.238000000 PM,"JMLAGRO",28-JUL-15 12.34.25.061000000 PM,"DataFix_PCPAffiliaion"
1169015,1281060,1019526,"N",1,26-NOV-13 10.21.54.391000000 AM,"JMLAGRO",08-JUL-15 11.18.37.027000000 AM,"PJHEID"
1153814,1278281,1019993,"Y",2,31-DEC-13 07.09.40.607000000 AM,"JMLAGRO",17-JUL-15 09.42.20.221000000 AM,"DATA_FFIX_PCPIndicator_850493"
1162145,1280816,1023420,"Y",1,10-MAR-14 08.11.18.407000000 AM,"JMLAGRO",26-JUN-15 04.48.41.990000000 PM,"DATA_FFIX_PCPIndicator_850493"
