"P_SYS_ID","P_TXNMY_SK","P_TXNMY_CD","P_TXNMY_BEG_DT","P_TXNMY_END_DT","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1001105,1000793,"207V00000X",23-MAR-12,31-DEC-99,6,"ESTHERSHAHPAR",29-JUN-15 10.30.20.585000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001106,1000794,"367500000X",10-MAY-12,31-DEC-99,2,"MAGDALENAHANUSIA",08-SEP-14 09.42.49.027000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001109,1000796,"367500000X",15-MAR-12,02-DEC-15,5,"B-Term-Prov-Trigger_911413.00",15-MAR-16 06.01.28.794124000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001111,1000798,"367500000X",10-NOV-11,27-JUN-23,3,"B-Term-Prov-Trigger_5099384.00",27-JUN-23 06.02.49.016308000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001112,1000799,"367500000X",05-JAN-12,27-JUN-23,3,"B-Term-Prov-Trigger_5099384.00",27-JUN-23 06.02.49.016308000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001118,1000805,"207L00000X",13-APR-12,31-DEC-99,20,"PJHEID",08-AUG-15 07.16.28.153000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001120,1000807,"207P00000X",21-MAY-12,31-DEC-99,5,"ANDOLL",09-AUG-21 09.02.46.322000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001121,1000808,"208000000X",16-MAR-12,08-JAN-15,9,"RRUD",28-MAR-16 12.29.06.641000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001123,1000810,"207Q00000X",01-OCT-13,30-JUN-19,12,"B-Term-Prov-Trigger_3290958.00",10-AUG-20 06.02.53.859130000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001127,1000813,"207Q00000X",01-APR-12,01-SEP-14,7,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.35.392029000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001136,1000817,"207R00000X",10-APR-12,26-MAR-16,10,"B-Term-Prov-Trigger_925839.00",28-MAR-16 06.00.33.478206000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001137,1000818,"367500000X",25-APR-12,31-DEC-99,1,"Provider Conversion",27-MAR-14 01.53.32.340000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001145,1000823,"207RP1001X",01-JUL-12,04-JUL-15,6,"B-Term-Prov-Trigger_429633.00",26-JUL-23 06.12.58.133922000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001147,1000825,"208000000X",07-MAY-12,31-DEC-99,6,"PJHEID",23-FEB-15 12.01.49.554000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001156,1000832,"367500000X",14-MAY-12,31-DEC-99,9,"ZULEIMARUIZ",15-JUL-15 10.25.10.723000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001157,1000833,"2084N0400X",14-NOV-11,01-DEC-16,3,"B-Term-Prov-Trigger_1264323.00",10-JAN-17 06.01.47.734230000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001158,1000834,"208000000X",14-JAN-12,06-MAR-16,5,"RRUD",27-MAY-16 11.58.33.749000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001163,1000839,"367500000X",14-MAY-12,31-JUL-14,6,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.35.392029000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001166,1000841,"207Q00000X",30-MAR-12,16-JUN-20,4,"B-Term-Prov-Trigger_3197127.00",16-JUN-20 06.02.44.280551000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001167,1000842,"207R00000X",19-MAR-12,13-JUL-21,3,"B-Term-Prov-Trigger_3858142.00",13-JUL-21 06.03.09.379506000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001170,1000845,"207Q00000X",14-NOV-09,30-SEP-14,4,"B-Term-Prov-Trigger_1266640.00",12-JAN-17 06.01.56.678109000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001173,1000846,"367500000X",23-MAY-12,31-DEC-99,3,"JMLAGRO",27-JAN-15 01.36.56.489000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001176,1000849,"207RG0100X",27-JUL-12,23-OCT-19,2,"B-Term-Prov-Trigger_3039301.00",13-MAR-20 06.02.13.774601000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001178,1000851,"207R00000X",27-MAR-12,16-OCT-15,3,"B-Term-Prov-Trigger_919052.00",22-MAR-16 06.01.33.909051000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001179,1000852,"2084P0800X",27-JUL-12,01-NOV-13,6,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.35.392029000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001182,1000854,"207P00000X",06-AUG-12,09-SEP-18,8,"B-Term-Prov-Trigger_3157126.00",23-MAY-20 01.22.55.595235000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001183,1000855,"367500000X",01-MAY-12,31-DEC-99,2,"MMANYGUNS",07-APR-15 02.52.51.058000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001184,1000856,"103T00000X",04-JUN-12,07-FEB-25,4,"B-Term-Prov-Trigger_1241374.00",07-FEB-25 06.02.05.694841000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001190,1000862,"208G00000X",14-SEP-12,18-SEP-18,3,"B-Term-Prov-Trigger_2159582.00",18-SEP-18 06.01.37.446003000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001191,1000863,"207P00000X",06-SEP-12,30-SEP-13,2,"LKHUNT",15-SEP-17 09.33.39.439000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001194,1000865,"207ZP0105X",01-JAN-17,05-OCT-20,10,"B-Term-Prov-Trigger_429633.00",26-JUL-23 06.12.57.970284000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001198,1000869,"207R00000X",01-JUN-12,30-SEP-13,10,"JMLAGRO",11-JUN-15 11.13.56.366000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001200,1000871,"207Y00000X",18-JUN-12,20-JUL-18,5,"B-Term-Prov-Trigger_2064525.00",20-JUL-18 06.00.58.748708000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001201,1000872,"367500000X",18-JUN-12,31-DEC-99,4,"ESTHERSHAHPAR",24-JUL-15 02.38.19.418000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001203,1000874,"2084P0800X",09-JUL-12,31-MAY-23,2,"B-Term-Prov-Trigger_5053675.00",01-JUN-23 06.11.34.816637000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001205,1000875,"2080P0207X",05-JUL-12,30-SEP-22,4,"B-Term-Prov-Trigger_4858049.00",10-FEB-23 06.02.51.403263000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001207,1000877,"208600000X",01-JUL-12,13-DEC-18,3,"B-Term-Prov-Trigger_2317914.00",26-DEC-18 06.01.14.865601000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001208,1000878,"207R00000X",01-JUL-12,31-DEC-99,5,"ESTHERSHAHPAR",11-NOV-14 02.04.45.077000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001210,1000880,"207R00000X",23-JUL-12,03-OCT-18,6,"B-Term-Prov-Trigger_2184262.00",03-OCT-18 06.01.34.356964000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001213,1000882,"207R00000X",02-JUL-12,02-JAN-16,6,"B-Term-Prov-Trigger_2957260.00",24-JAN-20 06.02.27.804208000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001216,1000885,"207Q00000X",01-JUL-12,30-JUN-15,5,"B-Term-Prov-Trigger_1372010.00",11-APR-17 06.01.37.995121000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001217,1000886,"207R00000X",01-JUL-12,01-FEB-17,7,"B-Term-Prov-Trigger_1890741.00",29-MAR-18 06.00.51.210576000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001218,1000887,"207RC0000X",01-JUL-12,12-OCT-17,7,"RRUD",13-OCT-17 08.56.22.689000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001220,1000888,"2085R0202X",02-JUL-12,08-APR-19,2,"B-Term-Prov-Trigger_2505461.00",24-APR-19 06.00.52.613429000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001225,1000891,"207RE0101X",18-JUN-12,31-DEC-99,4,"USHASHA",23-JUN-15 04.14.19.226000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001226,1000892,"207Q00000X",18-NOV-11,30-SEP-13,10,"PJHEID",25-FEB-15 10.59.08.600000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001228,1000894,"207R00000X",30-JUN-12,16-JUN-20,6,"B-Term-Prov-Trigger_3285638.00",07-AUG-20 06.02.17.387763000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001230,1000896,"207Q00000X",30-JUN-12,25-MAR-21,5,"B-Term-Prov-Trigger_3671147.00",25-MAR-21 06.02.45.982400000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001231,1000897,"207R00000X",02-JUL-12,31-DEC-18,6,"B-Term-Prov-Trigger_2326005.00",31-DEC-18 06.01.26.010332000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001234,1000900,"207T00000X",16-JUN-12,20-NOV-19,7,"MLMOOS",20-NOV-19 12.17.57.710000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001235,1000901,"208M00000X",23-JUL-22,23-DEC-24,7,"B-Term-Prov-Trigger_1175561.00",23-DEC-24 06.02.22.177553000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001236,1000902,"207V00000X",29-JUN-12,22-JUN-18,3,"B-Term-Prov-Trigger_2021286.00",22-JUN-18 06.01.04.287448000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001238,1000904,"2085R0202X",06-SEP-12,30-SEP-13,6,"B-Term-Prov-Trigger_2957260.00",24-JAN-20 06.02.27.656537000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001241,1000907,"207R00000X",01-JUL-12,31-DEC-99,5,"DMOCK",28-SEP-16 12.31.45.408000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001242,1000908,"2085R0202X",25-FEB-21,31-DEC-99,3,"JODYTAYLOR",21-APR-21 10.05.59.628000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001243,1000909,"208D00000X",20-JUL-12,16-APR-24,7,"B-Term-Prov-Trigger_1069492.00",10-OCT-24 06.02.15.107201000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001246,1000912,"207R00000X",30-JUN-12,30-SEP-13,7,"ESTHERSHAHPAR",15-AUG-15 12.58.36.239000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001247,1000913,"207RC0000X",16-JUL-12,22-JUN-18,8,"B-Term-Prov-Trigger_2021286.00",22-JUN-18 06.01.04.287448000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001248,1000914,"207L00000X",23-JUL-12,10-MAR-19,4,"B-Term-Prov-Trigger_429633.00",26-JUL-23 06.12.58.133922000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001252,1000918,"207V00000X",19-JUN-12,22-MAR-16,8,"B-Term-Prov-Trigger_954045.00",21-APR-16 06.01.30.159143000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001254,1000920,"2085R0202X",01-JUL-12,28-SEP-17,3,"B-Term-Prov-Trigger_1962914.00",15-MAY-18 06.00.52.897539000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000999,1000711,"2080P0202X",15-DEC-11,31-DEC-99,4,"JASTONE",28-FEB-20 11.18.32.152000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001000,1000712,"2084P0800X",10-JAN-04,31-DEC-99,4,"NEERUSHARMA",23-JUN-15 05.55.57.410000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001011,1000721,"2084N0400X",01-DEC-11,03-MAR-19,5,"B-Term-Prov-Trigger_2434508.00",11-MAR-19 06.00.58.061070000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001014,1000724,"367500000X",03-JAN-12,30-SEP-13,1,"USHASHA",17-AUG-15 11.51.07.169000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001017,1000727,"207X00000X",29-DEC-11,24-DEC-17,7,"B-Term-Prov-Trigger_1890741.00",29-MAR-18 06.00.51.210576000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
