"P_RPT_LN_CL_ERR_SK","P_CL_PROV_ID","P_CL_NAME","P_CL_CLIA_NUM","P_CL_EXP_DT","P_CL_LAB_TYPE","P_CL_TERM_CD","P_CL_TERM_RSN","P_CL_EXPIRED_CD","P_CL_ERROR_MSG","P_CL_PRCS_DT","L_HIBERNATE_VER_NUM","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
79526,"1462568","Northwood Deaconess Health Center","35D0408602",18-MAY-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79527,"1454627","Ashley Medical Center","35D0669946",22-MAR-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79528,"1452000","Richland County","35D0685240",06-JUN-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79529,"1457619","Northwood Deaconess Health Center","35D2190998",20-AUG-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79530,"1457721","St Lukes Hospital","35D0409236",16-MAR-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79531,"1455294","Pathology Consultants PC","35D0408903",09-OCT-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79532,"1458468","Alpha Inc","35D0408759",31-AUG-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79533,"1462836","First District Health Unit","35D0409192",31-AUG-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79534,"1458396","Innovis Health LLC","35D0408185",30-SEP-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79535,"1455154","Mobridge Regional Hospital","43D0407818",22-JUN-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79536,"1460149","Towner County Medical Center Inc","35D0408659",12-APR-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79537,"1459697","Trinity Medical Group","35D2010851",30-MAR-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79538,"1460008","Dakota Hill Housing Corporation","35D0914915",13-MAY-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79539,"1461003","Marshall County Memorial Hospital","43D0658932",31-JUL-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79540,"1463340","ELBOWOODS MEMORIAL HEALTH CENTER","35D1037915",29-JUN-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79541,"1458442","Ecumen","24D0663272",31-AUG-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79542,"1458428","Altru Health System","35D0663789",08-FEB-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79543,"1463064","Medtox Laboratories Inc","24D0665278",02-AUG-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79544,"1457511","Altru Health System","35D0663789",08-FEB-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79545,"1460177","Towner County Medical Center","35D0860142",31-AUG-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79546,"1464395","Bridges Medical Center","24D1036517",03-FEB-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79547,"1460943","Sanford Bismarck","35D0655677",08-FEB-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79548,"1463142","McKenzie County Healthcare Systems Inc","35D0409336",19-OCT-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79549,"1462920","Bismarck Surgical Associates LLC","35D1037915",29-JUN-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79550,"1457910","4000 Valley Square Inc","35D0914395",28-APR-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79551,"1456278","North Dakota State University","35D1008813",23-SEP-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79552,"1455542","Allina Health System","24D0401558",08-FEB-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79553,"1460064","St Alexius Medical Center","35D0408924",27-FEB-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79554,"1476781","Trinity Hospitals","35D0409224",08-FEB-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79555,"1468678","Sidney Health Center","27D0409839",08-JUL-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79556,"1472475","Summit Counseling Incorporated","35D2331044",24-SEP-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79557,"1472475","Summit Counseling Incorporated","35D2331046",24-SEP-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79558,"1477612","Total Renal Laboratories Inc","10D2154944",04-JUN-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79559,"1468008","Sanford Medical Center","43D0407227",08-FEB-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79560,"1472798","Sanford Health Network","43D0861172",15-OCT-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79561,"1451237","Myriad Womens Health Inc","05D2299797",24-SEP-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79562,"1482763","Exact Sciences Laboratories LLC","52D2162828",05-NOV-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79563,"1478592","Baptist Apartments Inc","35D2150700",01-JUL-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79564,"1463361","Fairview Health Services","24D0403520",08-FEB-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79565,"1460486","St Alexius Medical Center","35D0408924",27-FEB-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79566,"1481342","The Evangelical Lutheran Good Samaritan Society","35D0722935",31-AUG-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79567,"1478541","Hill Top Home of Comfort Inc","35D0409107",31-AUG-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79568,"1483416","Ray Family Medical Center PLLC","35D2192174",07-SEP-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79569,"1487967","Fast Lab Technologies LLC","33D2246922",26-MAR-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79570,"1463762","Cherry County Hospital","28D0652694",04-MAY-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79571,"1494191","Family HealthCare Center","35D0408400",20-AUG-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79572,"1490830","Mokan Labs LLC","17D2273601",08-JAN-28,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79573,"1493857","Pathology Consultants PC","35D2303413",23-APR-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79574,"1496359","Resolute Hospital Company LLC","45D2074005",20-SEP-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79575,"1456488","St Francis Regional Medical Center","24D0400828",02-JAN-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79576,"1494225","HealthTrackRX Indiana Inc","15D2267792",16-MAY-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79577,"1477216","Drugscan Inc","39D0657655",25-NOV-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79671,"1457597","Sanford Medical Center Fargo","35D2203722",22-NOV-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79672,"1457597","Sanford Medical Center Fargo","35D2228776",23-AUG-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79673,"1456541","MyAlly Health","35D0408522",31-AUG-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79674,"1460682","TRINITY HOSPITALS","35D0409224",08-FEB-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79675,"1457131","Good Samaritan Hospital Association","35D0408706",29-JUN-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79676,"1461914","University of Minnesota Physicians","24D0403520",08-FEB-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79677,"1460177","Towner County Medical Center","35D0408659",12-APR-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79678,"1462610","Mercy Hospital of Devils Lake","35D0408636",02-JAN-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79679,"1459435","Quest Diagnostics LLC IL","14D0417052",08-FEB-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79680,"1457878","Southwest Healthcare Services","35D0409088",18-MAY-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79681,"1455903","LaMoure County Health Department","35D2043433",01-JUL-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79682,"1461064","Underwood Clinic PC","35D0409019",30-NOV-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79683,"1460648","Altru Health System","35D0663789",08-FEB-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79684,"1475748","North Dakota State University","35D0041738",19-JUN-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79685,"1465406","Laboratory Corporation of America","06D0680595",08-FEB-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79686,"1473551","Sanford Health Network North","35D0664997",31-AUG-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79687,"1477613","Trinity Hospitals","35D2099810",02-AUG-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79688,"1467610","St Lukes Regional Medical Center","13D0662992",02-JAN-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79689,"1475134","Mercy Hospital of Devils Lake","35D0408636",02-JAN-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79690,"1463749","SCL Health Montana","27D0652473",27-FEB-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79691,"1482824","Poudre Valley Healthcare Inc","06D0862083",31-AUG-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79692,"1481343","The Evangelical Lutheran Good Samaritan Society","35D0408910",31-AUG-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79693,"1487497","Innovis Health LLC","35D1026251",31-MAY-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79694,"1478789","Otogenetics Corporation","11D2066426",02-SEP-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79695,"1463968","Fairview Health Services","24D0403520",08-FEB-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79696,"1479920","University of Wisconsin Hospitals and Clinics Auth","52D0661997",19-OCT-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79697,"1483699","Castle Biosciences Inc","03D2234331",01-NOV-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79698,"1454663","Genomic Health Inc","05D1018272",29-JUN-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79699,"1461068","Exact Sciences Laboratories LLC","52D2072838",25-SEP-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79700,"1479792","Nurturing Wellness Pediatrics PLLC","35D2289226",06-SEP-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79701,"1484908","Fairview Health Services","24D0403520",08-FEB-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79702,"1493860","UCHealth Highlands Ranch Hospital","06D2164737",21-APR-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79703,"1495435","Northwest Dakota Surgery Center LLC","35D2313858",06-NOV-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79704,"1490481","Genview Diagnosis Inc","45D2185208",01-MAR-28,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79705,"1496738","Parvez Fatteh","35D2306768",24-JUN-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79706,"1477109","Nepenthe Laboratory Services LLC","38D2061880",10-JUN-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79707,"1497869","KAYD Home Care LLC","35D2153801",29-AUG-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79708,"1461814","Prairie Ridge Hospital and Health Services","24D0406304",19-JUL-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79709,"1497672","Richard A Schoor","35D0408924",27-FEB-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79710,"1457803","Innovis Health LLC","35D0978097",29-MAY-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79711,"1451275","Sanford Health Network","43D0407637",30-JUL-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79712,"1454196","St Josephs Hospital and Health Center","35D0409072",27-FEB-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79713,"1454951","The Evangelical Lutheran Good Samaritan Society","35D0860882",31-AUG-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79714,"1451724","Northwood Deaconess Health Center","35D0408602",18-MAY-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79715,"1454301","St Josephs Hospital and Health Center","35D0409072",27-FEB-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79716,"1457930","Cavalier County Health District","35D0858262",31-AUG-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79717,"1452473","St Alexius Medical Center","35D1076669",10-NOV-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79718,"1452473","St Alexius Medical Center","35D2150746",01-JUL-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79719,"1452473","St Alexius Medical Center","35D2150747",01-JUL-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
