"P_ENROL_SYS_ID","P_ENROL_AFFL_SEQ_NUM","P_AFFL_PCP_IND","L_HIBERNATE_VER_NUM","G_AUD_ADD_TS","G_AUD_ADD_USER_ID","G_AUD_USER_ID","G_AUD_TS"
1276947,80,"Y",8,23-APR-13 10.39.15.407000000 AM,"guestUser","guestUser",23-APR-13 10.43.57.692000000 AM
1276947,74,"Y",8,23-APR-13 10.39.15.408000000 AM,"guestUser","guestUser",23-APR-13 10.43.57.692000000 AM
1276949,84,"Y",13,23-APR-13 10.44.12.006000000 AM,"guestUser","guestUser",23-APR-13 10.51.03.508000000 AM
1276949,88,"Y",13,23-APR-13 10.44.12.007000000 AM,"guestUser","guestUser",23-APR-13 10.51.03.508000000 AM
1276949,82,"Y",13,23-APR-13 10.44.12.007000000 AM,"guestUser","guestUser",23-APR-13 10.51.03.508000000 AM
1276949,86,"Y",13,23-APR-13 10.44.12.008000000 AM,"guestUser","guestUser",23-APR-13 10.51.03.509000000 AM
1276952,15,"N",3,23-APR-13 11.04.44.794000000 AM,"guestUser","guestUser",13-NOV-13 12.34.58.422000000 PM
1277003,1,"Y",8,24-APR-13 02.03.12.064000000 PM,"guestUser","KWOODALL",01-APR-14 10.46.48.363000000 AM
1277003,5,"Y",8,24-APR-13 02.03.12.065000000 PM,"guestUser","KWOODALL",01-APR-14 10.46.48.363000000 AM
1277003,3,"Y",8,24-APR-13 02.03.12.066000000 PM,"guestUser","KWOODALL",01-APR-14 10.46.48.363000000 AM
1277003,7,"Y",8,24-APR-13 02.03.12.067000000 PM,"guestUser","KWOODALL",01-APR-14 10.46.48.363000000 AM
1277004,12,"Y",11,24-APR-13 02.05.22.977000000 PM,"guestUser","KWOODALL",01-APR-14 10.47.12.840000000 AM
1277004,10,"Y",11,24-APR-13 02.05.22.978000000 PM,"guestUser","KWOODALL",01-APR-14 10.47.12.840000000 AM
1277004,14,"Y",11,24-APR-13 02.05.22.979000000 PM,"guestUser","KWOODALL",01-APR-14 10.47.12.840000000 AM
1277004,8,"Y",11,24-APR-13 02.05.22.979000000 PM,"guestUser","KWOODALL",01-APR-14 10.47.12.840000000 AM
1277008,3,"N",15,24-APR-13 02.39.50.812000000 PM,"guestUser","JMLAGRO",11-OCT-13 03.21.55.423000000 PM
1277044,1,"Y",5,26-APR-13 10.40.57.416000000 AM,"guestUser","JMLAGRO",15-OCT-13 02.33.34.632000000 PM
1277053,1,"Y",18,26-APR-13 01.05.51.257000000 PM,"guestUser","PJHEID",16-OCT-13 12.01.26.652000000 PM
1276882,1,"N",7,29-APR-13 11.01.58.942000000 AM,"guestUser","JMLAGRO",11-OCT-13 09.51.41.646000000 AM
1277095,1,"Y",23,30-APR-13 11.17.41.300000000 AM,"guestUser","JOYSPEZIALE",13-JAN-14 02.43.01.925000000 PM
1277106,1,"N",14,30-APR-13 02.16.13.611000000 PM,"guestUser","JOYSPEZIALE",24-JAN-14 12.39.48.353000000 PM
1277109,1,"Y",50,30-APR-13 03.00.16.062000000 PM,"guestUser","LISACAMPBELL",24-JAN-14 10.58.15.375000000 AM
1277111,1,"N",5,30-APR-13 03.14.39.109000000 PM,"guestUser","JMLAGRO",11-AUG-14 03.12.12.301000000 PM
1277116,1,"N",19,01-MAY-13 10.17.10.564000000 AM,"guestUser","ZOEASANDY",05-FEB-14 04.45.31.588000000 PM
1277131,12,"Y",14,01-MAY-13 12.34.17.180000000 PM,"guestUser","JMLAGRO",16-APR-14 11.21.31.199000000 AM
1277131,10,"Y",14,01-MAY-13 12.34.17.180000000 PM,"guestUser","JMLAGRO",16-APR-14 11.21.31.199000000 AM
1277131,14,"Y",14,01-MAY-13 12.34.17.181000000 PM,"guestUser","JMLAGRO",16-APR-14 11.21.31.199000000 AM
1277131,8,"Y",14,01-MAY-13 12.34.17.181000000 PM,"guestUser","JMLAGRO",16-APR-14 11.21.31.199000000 AM
1277134,1,"N",12,01-MAY-13 12.58.34.729000000 PM,"guestUser","JMLAGRO",22-OCT-13 07.57.53.853000000 AM
1277201,1,"N",18,02-MAY-13 01.49.14.294000000 PM,"guestUser","LISACAMPBELL",24-JAN-14 11.26.08.369000000 AM
1277204,1,"N",16,02-MAY-13 02.21.00.449000000 PM,"guestUser","LISACAMPBELL",31-JAN-14 10.06.54.941000000 AM
1277205,1,"N",17,02-MAY-13 02.33.34.189000000 PM,"guestUser","ZOEASANDY",03-FEB-14 10.45.16.201000000 AM
1277219,1,"N",9,02-MAY-13 04.08.34.586000000 PM,"guestUser","JOYSPEZIALE",08-MAY-14 01.21.25.258000000 PM
1277234,1,"N",7,03-MAY-13 12.52.35.419000000 PM,"guestUser","SHERSAYLER",09-APR-14 05.37.36.522000000 PM
1277243,1,"N",18,06-MAY-13 08.15.36.994000000 AM,"guestUser","JMLAGRO",04-NOV-13 01.52.33.649000000 PM
1277243,3,"N",18,06-MAY-13 08.15.36.995000000 AM,"guestUser","JMLAGRO",04-NOV-13 01.52.33.649000000 PM
1277245,10,"N",11,06-MAY-13 08.28.27.370000000 AM,"guestUser","JMLAGRO",04-NOV-13 01.51.35.630000000 PM
1277245,8,"N",11,06-MAY-13 08.28.27.370000000 AM,"guestUser","JMLAGRO",04-NOV-13 01.51.35.630000000 PM
1277248,1,"N",16,06-MAY-13 09.01.58.470000000 AM,"guestUser","PJHEID",30-NOV-13 02.40.20.659000000 PM
1277248,3,"N",16,06-MAY-13 09.01.58.471000000 AM,"guestUser","PJHEID",30-NOV-13 02.40.20.659000000 PM
1277249,6,"N",9,06-MAY-13 09.13.43.134000000 AM,"guestUser","guestUser",06-MAY-13 09.19.26.394000000 AM
1277249,4,"N",9,06-MAY-13 09.13.43.134000000 AM,"guestUser","guestUser",06-MAY-13 09.19.26.394000000 AM
1277256,12,"N",14,06-MAY-13 09.55.56.635000000 AM,"guestUser","PJHEID",30-NOV-13 02.37.18.798000000 PM
1277256,14,"N",14,06-MAY-13 09.55.56.636000000 AM,"guestUser","PJHEID",30-NOV-13 02.37.18.798000000 PM
1277260,1,"N",15,06-MAY-13 10.26.14.836000000 AM,"guestUser","JOYSPEZIALE",27-JAN-14 04.45.22.711000000 PM
1277261,1,"N",7,06-MAY-13 10.41.46.868000000 AM,"guestUser","guestUser",30-JUL-14 01.26.04.460000000 PM
1277261,3,"N",7,06-MAY-13 10.41.46.869000000 AM,"guestUser","guestUser",30-JUL-14 01.26.04.460000000 PM
1277264,1,"N",15,06-MAY-13 11.02.10.174000000 AM,"guestUser","JOYSPEZIALE",06-MAR-14 03.39.44.296000000 PM
1277270,1,"Y",12,06-MAY-13 11.22.10.775000000 AM,"guestUser","JOYSPEZIALE",28-MAR-14 11.55.44.511000000 AM
1277271,1,"Y",19,06-MAY-13 11.32.00.080000000 AM,"guestUser","ZOEASANDY",30-JAN-14 03.54.42.275000000 PM
1277272,1,"N",21,06-MAY-13 11.42.26.551000000 AM,"guestUser","JOYSPEZIALE",05-MAR-14 12.35.24.207000000 PM
1277274,1,"N",15,06-MAY-13 11.52.55.374000000 AM,"guestUser","ZOEASANDY",05-FEB-14 03.14.59.015000000 PM
1277276,1,"N",16,06-MAY-13 12.11.30.184000000 PM,"guestUser","JOYSPEZIALE",11-APR-14 06.53.05.416000000 PM
1277279,1,"N",21,06-MAY-13 12.32.34.223000000 PM,"guestUser","ZOEASANDY",27-JAN-14 12.51.12.399000000 PM
1277285,1,"N",17,06-MAY-13 12.53.39.838000000 PM,"guestUser","ZOEASANDY",24-JAN-14 03.32.26.907000000 PM
1276774,1,"Y",23,09-APR-13 01.45.30.790000000 PM,"guestUser","JMLAGRO",01-OCT-13 09.16.38.803000000 AM
1276775,1,"Y",18,09-APR-13 02.21.43.176000000 PM,"guestUser","JMLAGRO",04-OCT-13 10.14.39.934000000 AM
1276775,3,"N",7,11-APR-13 09.19.14.051000000 AM,"guestUser","JMLAGRO",04-OCT-13 10.16.56.879000000 AM
1280851,1,"N",11,29-OCT-13 02.08.38.079000000 PM,"guestUser","JUDITHSZEGEDI",08-APR-14 02.25.38.809000000 PM
1276885,1,"N",13,18-APR-13 02.34.34.305000000 PM,"guestUser","JMLAGRO",17-JAN-14 09.47.03.850000000 AM
1276889,73,"Y",2,18-APR-13 03.15.14.758000000 PM,"guestUser","JMLAGRO",17-JAN-14 09.59.36.363000000 AM
1276889,77,"Y",2,18-APR-13 03.15.14.759000000 PM,"guestUser","JMLAGRO",17-JAN-14 09.59.36.363000000 AM
1276889,75,"Y",2,18-APR-13 03.15.14.759000000 PM,"guestUser","JMLAGRO",17-JAN-14 09.59.36.363000000 AM
1276889,79,"Y",2,18-APR-13 03.15.14.760000000 PM,"guestUser","JMLAGRO",17-JAN-14 09.59.36.363000000 AM
1276891,73,"Y",4,18-APR-13 03.23.26.537000000 PM,"guestUser","JMLAGRO",17-JAN-14 09.53.33.459000000 AM
1276891,77,"Y",4,18-APR-13 03.23.26.537000000 PM,"guestUser","JMLAGRO",17-JAN-14 09.53.33.459000000 AM
1276891,75,"Y",4,18-APR-13 03.23.26.538000000 PM,"guestUser","JMLAGRO",17-JAN-14 09.53.33.459000000 AM
1276891,79,"Y",4,18-APR-13 03.23.26.538000000 PM,"guestUser","JMLAGRO",17-JAN-14 09.53.33.459000000 AM
1276902,12,"Y",8,19-APR-13 10.55.38.685000000 AM,"guestUser","guestUser",19-APR-13 11.01.08.789000000 AM
1276902,10,"Y",8,19-APR-13 10.55.38.685000000 AM,"guestUser","guestUser",19-APR-13 11.01.08.789000000 AM
1276902,14,"Y",8,19-APR-13 10.55.38.686000000 AM,"guestUser","guestUser",19-APR-13 11.01.08.789000000 AM
1276902,8,"Y",8,19-APR-13 10.55.38.686000000 AM,"guestUser","guestUser",19-APR-13 11.01.08.789000000 AM
1276903,22,"Y",11,19-APR-13 11.02.19.302000000 AM,"guestUser","guestUser",19-APR-13 11.09.31.943000000 AM
1276903,16,"Y",11,19-APR-13 11.02.19.302000000 AM,"guestUser","guestUser",19-APR-13 11.09.31.943000000 AM
1276903,20,"Y",11,19-APR-13 11.02.19.303000000 AM,"guestUser","guestUser",19-APR-13 11.09.31.943000000 AM
1276903,18,"Y",11,19-APR-13 11.02.19.303000000 AM,"guestUser","guestUser",19-APR-13 11.09.31.943000000 AM
1276905,28,"Y",14,19-APR-13 11.09.45.799000000 AM,"guestUser","guestUser",19-APR-13 11.15.43.587000000 AM
1276905,32,"Y",14,19-APR-13 11.09.45.800000000 AM,"guestUser","guestUser",19-APR-13 11.15.43.587000000 AM
1276905,26,"Y",14,19-APR-13 11.09.45.800000000 AM,"guestUser","guestUser",19-APR-13 11.15.43.587000000 AM
1276905,30,"Y",14,19-APR-13 11.09.45.800000000 AM,"guestUser","guestUser",19-APR-13 11.15.43.588000000 AM
1276909,1,"Y",7,19-APR-13 01.47.54.572000000 PM,"guestUser","JMLAGRO",16-APR-14 09.34.18.355000000 AM
1276909,6,"Y",6,19-APR-13 01.48.35.651000000 PM,"guestUser","JMLAGRO",16-APR-14 09.34.18.355000000 AM
1276909,4,"Y",6,19-APR-13 01.48.35.651000000 PM,"guestUser","JMLAGRO",16-APR-14 09.34.18.355000000 AM
1276909,2,"Y",6,19-APR-13 01.48.35.652000000 PM,"guestUser","JMLAGRO",16-APR-14 09.34.18.355000000 AM
1276912,2,"N",22,19-APR-13 01.54.00.935000000 PM,"guestUser","JMLAGRO",10-OCT-13 02.46.47.107000000 PM
1276917,1,"Y",7,19-APR-13 02.39.06.819000000 PM,"guestUser","JMLAGRO",13-JAN-14 10.48.06.266000000 AM
1276917,5,"Y",7,19-APR-13 02.39.06.820000000 PM,"guestUser","JMLAGRO",13-JAN-14 10.48.06.266000000 AM
1276917,3,"Y",7,19-APR-13 02.39.06.822000000 PM,"guestUser","JMLAGRO",13-JAN-14 10.48.06.266000000 AM
1276917,7,"Y",7,19-APR-13 02.39.06.830000000 PM,"guestUser","JMLAGRO",13-JAN-14 10.48.06.266000000 AM
1276919,12,"Y",9,19-APR-13 02.41.42.079000000 PM,"guestUser","guestUser",19-APR-13 02.46.42.263000000 PM
1276919,10,"Y",9,19-APR-13 02.41.42.080000000 PM,"guestUser","guestUser",19-APR-13 02.46.42.263000000 PM
1276919,14,"Y",9,19-APR-13 02.41.42.080000000 PM,"guestUser","guestUser",19-APR-13 02.46.42.263000000 PM
1276919,8,"Y",9,19-APR-13 02.41.42.081000000 PM,"guestUser","guestUser",19-APR-13 02.46.42.263000000 PM
1276918,1,"N",14,19-APR-13 02.57.51.734000000 PM,"guestUser","JMLAGRO",28-MAR-14 03.41.25.440000000 PM
1276953,16,"N",5,23-APR-13 11.13.22.789000000 AM,"guestUser","guestUser",13-NOV-13 12.34.15.006000000 PM
1276944,1,"Y",8,23-APR-13 11.14.54.530000000 AM,"guestUser","JMLAGRO",15-OCT-13 02.41.58.847000000 PM
1277049,1,"Y",6,26-APR-13 11.58.54.074000000 AM,"guestUser","JMLAGRO",15-OCT-13 02.11.57.162000000 PM
1277055,1,"N",23,26-APR-13 01.43.25.896000000 PM,"guestUser","PJHEID",22-OCT-13 04.38.14.941000000 PM
1277083,1,"N",3,29-APR-13 03.52.47.511000000 PM,"guestUser","KWOODALL",14-FEB-14 01.48.59.279000000 PM
1276778,1,"N",23,29-APR-13 04.02.49.525000000 PM,"guestUser","JMLAGRO",15-APR-14 12.52.35.047000000 PM
1277092,1,"N",5,30-APR-13 10.31.44.443000000 AM,"guestUser","PJHEID",08-APR-14 12.47.31.981000000 PM
1277093,84,"Y",6,30-APR-13 10.35.25.664000000 AM,"guestUser","guestUser",30-APR-13 10.36.09.649000000 AM
1277093,82,"Y",6,30-APR-13 10.35.25.665000000 AM,"guestUser","guestUser",30-APR-13 10.36.09.649000000 AM
1277093,86,"Y",6,30-APR-13 10.35.25.665000000 AM,"guestUser","guestUser",30-APR-13 10.36.09.649000000 AM
1277093,80,"Y",6,30-APR-13 10.35.25.666000000 AM,"guestUser","guestUser",30-APR-13 10.36.09.649000000 AM
1277101,1,"N",25,30-APR-13 12.32.54.698000000 PM,"guestUser","JOYSPEZIALE",17-FEB-14 01.25.00.094000000 PM
1277090,1,"N",5,30-APR-13 12.39.37.813000000 PM,"guestUser","JMLAGRO",09-AUG-13 09.18.14.343000000 AM
1277090,3,"N",13,30-APR-13 12.39.37.813000000 PM,"guestUser","JMLAGRO",09-AUG-13 09.27.20.818000000 AM
1277108,1,"N",25,30-APR-13 02.37.02.631000000 PM,"guestUser","ZOEASANDY",24-JAN-14 03.19.20.311000000 PM
1277130,1,"Y",21,01-MAY-13 12.32.41.420000000 PM,"guestUser","JOYSPEZIALE",24-JAN-14 02.02.05.270000000 PM
1277132,22,"Y",17,01-MAY-13 12.40.09.949000000 PM,"guestUser","JMLAGRO",16-APR-14 11.20.01.655000000 AM
1277132,16,"Y",17,01-MAY-13 12.40.09.950000000 PM,"guestUser","JMLAGRO",16-APR-14 11.20.01.655000000 AM
1277132,20,"Y",17,01-MAY-13 12.40.09.950000000 PM,"guestUser","JMLAGRO",16-APR-14 11.20.01.655000000 AM
1277132,18,"Y",17,01-MAY-13 12.40.09.951000000 PM,"guestUser","JMLAGRO",16-APR-14 11.20.01.655000000 AM
1277133,28,"Y",21,01-MAY-13 12.44.23.766000000 PM,"guestUser","JMLAGRO",16-APR-14 11.22.00.705000000 AM
1277133,32,"Y",21,01-MAY-13 12.44.23.767000000 PM,"guestUser","JMLAGRO",16-APR-14 11.22.00.705000000 AM
1277133,26,"Y",21,01-MAY-13 12.44.23.767000000 PM,"guestUser","JMLAGRO",16-APR-14 11.22.00.705000000 AM
1277133,30,"Y",21,01-MAY-13 12.44.23.768000000 PM,"guestUser","JMLAGRO",16-APR-14 11.22.00.705000000 AM
1277140,1,"N",11,01-MAY-13 02.32.16.924000000 PM,"guestUser","PJHEID",26-NOV-13 09.02.01.397000000 PM
1277141,1,"N",15,01-MAY-13 02.43.30.490000000 PM,"guestUser","JOYSPEZIALE",17-JAN-14 11.45.35.052000000 AM
1277142,1,"Y",24,01-MAY-13 02.55.15.671000000 PM,"guestUser","LISACAMPBELL",24-JAN-14 11.05.26.697000000 AM
1277143,1,"N",9,01-MAY-13 03.20.27.735000000 PM,"guestUser","PAULASOLL",19-AUG-14 12.50.54.940000000 PM
1277147,1,"Y",22,01-MAY-13 03.52.30.915000000 PM,"guestUser","LISACAMPBELL",14-FEB-14 01.13.09.382000000 PM
1277171,1,"N",29,02-MAY-13 10.00.17.377000000 AM,"guestUser","PAULASOLL",30-JAN-14 11.25.48.588000000 AM
1277173,1,"N",38,02-MAY-13 10.16.46.102000000 AM,"guestUser","PAULASOLL",27-JAN-14 12.40.46.402000000 PM
1277183,1,"Y",6,02-MAY-13 11.21.57.182000000 AM,"guestUser","guestUser",02-MAY-13 11.23.58.262000000 AM
1277183,5,"Y",6,02-MAY-13 11.21.57.183000000 AM,"guestUser","guestUser",02-MAY-13 11.23.58.262000000 AM
1277183,3,"Y",6,02-MAY-13 11.21.57.183000000 AM,"guestUser","guestUser",02-MAY-13 11.23.58.262000000 AM
1277183,7,"Y",6,02-MAY-13 11.21.57.184000000 AM,"guestUser","guestUser",02-MAY-13 11.23.58.262000000 AM
1277185,1,"Y",24,02-MAY-13 11.27.59.360000000 AM,"guestUser","JUDITHSZEGEDI",27-JAN-14 12.26.48.308000000 PM
1277187,1,"Y",14,02-MAY-13 11.39.34.380000000 AM,"guestUser","JOYSPEZIALE",24-JAN-14 06.11.21.826000000 PM
1277252,10,"N",11,06-MAY-13 09.23.53.726000000 AM,"guestUser","guestUser",06-MAY-13 09.25.13.476000000 AM
1277252,8,"N",11,06-MAY-13 09.23.53.726000000 AM,"guestUser","guestUser",06-MAY-13 09.25.13.476000000 AM
1277258,17,"N",17,06-MAY-13 09.55.51.793000000 AM,"guestUser","PJHEID",30-NOV-13 02.36.14.652000000 PM
1277258,15,"N",17,06-MAY-13 09.55.51.794000000 AM,"guestUser","PJHEID",30-NOV-13 02.36.14.652000000 PM
1277289,1,"N",19,06-MAY-13 01.07.06.141000000 PM,"guestUser","PJHEID",04-NOV-13 03.15.50.369000000 PM
1277303,1,"N",19,06-MAY-13 02.48.29.634000000 PM,"guestUser","LISACAMPBELL",24-JAN-14 11.54.27.025000000 AM
1277301,2,"Y",16,06-MAY-13 02.55.15.629000000 PM,"guestUser","PJHEID",05-NOV-13 02.52.43.771000000 PM
1277306,1,"Y",25,06-MAY-13 03.18.04.676000000 PM,"guestUser","JUDITHSZEGEDI",27-JAN-14 02.06.11.733000000 PM
1277324,6,"N",13,07-MAY-13 09.48.21.305000000 AM,"guestUser","PJHEID",07-NOV-13 05.16.07.033000000 PM
1277324,4,"N",13,07-MAY-13 09.48.21.306000000 AM,"guestUser","PJHEID",07-NOV-13 05.16.07.033000000 PM
1280860,1,"N",12,30-OCT-13 09.34.12.798000000 AM,"guestUser","JUDITHSZEGEDI",08-APR-14 02.44.08.615000000 PM
1277325,10,"N",17,07-MAY-13 09.50.49.379000000 AM,"guestUser","PJHEID",07-NOV-13 05.15.27.634000000 PM
1277325,8,"N",17,07-MAY-13 09.50.49.379000000 AM,"guestUser","PJHEID",07-NOV-13 05.15.27.634000000 PM
1277344,1,"N",29,08-MAY-13 09.02.01.583000000 AM,"guestUser","PAULASOLL",27-JAN-14 12.52.44.388000000 PM
1277359,6,"N",9,08-MAY-13 10.42.50.474000000 AM,"guestUser","JMLAGRO",12-DEC-13 09.50.27.369000000 AM
1277359,4,"N",9,08-MAY-13 10.42.50.474000000 AM,"guestUser","JMLAGRO",12-DEC-13 09.50.27.369000000 AM
1277366,1,"N",22,08-MAY-13 01.59.33.372000000 PM,"guestUser","JOYSPEZIALE",30-JAN-14 12.40.45.242000000 PM
1277498,1,"N",17,14-MAY-13 08.50.01.053000000 AM,"guestUser","JUDITHSZEGEDI",24-JAN-14 07.41.48.549000000 PM
1277546,1,"N",20,15-MAY-13 08.47.16.602000000 AM,"guestUser","ZOEASANDY",24-JAN-14 04.21.00.683000000 PM
1277547,1,"N",21,15-MAY-13 08.54.52.723000000 AM,"guestUser","ZOEASANDY",05-FEB-14 04.55.13.991000000 PM
1277548,1,"Y",21,15-MAY-13 09.05.52.176000000 AM,"guestUser","JMLAGRO",03-FEB-14 12.09.36.945000000 PM
1277557,1,"Y",21,15-MAY-13 10.13.06.437000000 AM,"guestUser","JUDITHSZEGEDI",24-JAN-14 03.28.49.250000000 PM
1277161,1,"Y",30,15-MAY-13 10.46.52.550000000 AM,"guestUser","JUDITHSZEGEDI",27-JAN-14 02.08.39.078000000 PM
1277568,1,"N",4,15-MAY-13 01.39.51.007000000 PM,"guestUser","JMLAGRO",02-DEC-13 01.45.03.507000000 PM
1277570,1,"N",16,15-MAY-13 01.53.45.431000000 PM,"guestUser","JOYSPEZIALE",27-JAN-14 07.37.20.472000000 PM
1277571,1,"N",5,15-MAY-13 01.59.46.493000000 PM,"guestUser","JMLAGRO",02-DEC-13 01.34.06.093000000 PM
1277581,1,"N",22,15-MAY-13 03.18.12.200000000 PM,"guestUser","PAULASOLL",02-APR-14 09.49.25.484000000 AM
1280861,1,"N",8,30-OCT-13 10.03.14.167000000 AM,"guestUser","MARKARENBURG",09-APR-14 09.08.06.573000000 AM
1276838,1,"N",16,16-APR-13 11.00.30.898000000 AM,"guestUser","PJHEID",20-MAR-14 02.54.17.251000000 PM
1276838,3,"N",16,16-APR-13 11.00.30.899000000 AM,"guestUser","PJHEID",20-MAR-14 02.54.17.251000000 PM
1276865,1,"Y",11,17-APR-13 03.58.17.889000000 PM,"guestUser","JMLAGRO",29-APR-14 06.55.37.637000000 AM
1276911,11,"Y",9,19-APR-13 01.49.59.844000000 PM,"guestUser","JMLAGRO",16-APR-14 09.34.33.713000000 AM
1276911,15,"Y",9,19-APR-13 01.49.59.844000000 PM,"guestUser","JMLAGRO",16-APR-14 09.34.33.713000000 AM
1276911,9,"Y",10,19-APR-13 01.49.59.845000000 PM,"guestUser","JMLAGRO",16-APR-14 09.34.33.713000000 AM
1276911,13,"Y",9,19-APR-13 01.49.59.845000000 PM,"guestUser","JMLAGRO",16-APR-14 09.34.33.713000000 AM
