"P_SYS_ID","P_CLIA_PROV_SK","P_CLIA_NUM","P_CLIA_PROV_BEG_DT","P_CLIA_PROV_END_DT","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1153787,51440,"35D0667372",29-JAN-13,28-JAN-27,9,"NICOLERICHTER",26-FEB-25 08.15.44.363000000 AM,"JOYSPEZIALE",30-JUN-14 07.20.22.755000000 PM
1172056,51448,"35D0923857",10-JAN-13,09-JAN-25,6,"NICOLERICHTER",18-DEC-24 11.46.09.274000000 AM,"PJHEID",01-JUL-14 09.57.39.433000000 AM
1000382,51444,"24D1052108",28-FEB-14,31-AUG-15,18,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.31.955254000 PM,"JMLAGRO",01-JUL-14 08.16.45.119000000 AM
1288695,51450,"24D0406266",31-MAR-14,02-OCT-13,9,"B-Term-Prov-Trigger_2957260.00",24-JAN-20 06.02.24.041878000 PM,"JMLAGRO",01-JUL-14 01.02.12.531000000 PM
1171391,51027,"35D0717804",01-SEP-12,31-AUG-24,25,"BYANCY",23-APR-24 05.10.28.620000000 PM,"PJHEID",10-MAY-14 08.16.15.369000000 AM
1161534,51007,"24D0398791",23-DEC-13,22-DEC-21,6,"B-IF-CLIA-MNLY_3982672.00",24-SEP-21 03.48.46.156640000 PM,"KWOODALL",07-MAY-14 01.42.54.809000000 PM
1157851,51045,"35D0663740",23-DEC-13,01-MAR-17,7,"B-IF-PRV-CLIA-UPD_1417484.00",17-MAY-17 05.46.55.631162000 AM,"ZOEASANDY",15-MAY-14 06.06.58.105000000 PM
1164760,51020,"26D0444173",28-FEB-13,31-DEC-16,3,"B-Term-Prov-Trigger_2428004.00",07-MAR-19 06.00.55.264040000 PM,"PJHEID",09-MAY-14 04.33.55.146000000 PM
1167448,51060,"43D0873531",18-JAN-13,03-FEB-17,1,"ESPRD01160601",21-OCT-14 10.12.28.902000000 AM,"PJHEID",19-MAY-14 01.54.29.179000000 PM
1168456,51031,"35D0409312",11-JAN-14,10-JAN-28,8,"PEGBROSSART",04-MAR-26 01.29.58.248000000 PM,"ZOEASANDY",12-MAY-14 05.10.47.344000000 PM
1308162,55867,"35D2125561",09-FEB-19,02-JAN-20,1,"B-Term-Prov-Trigger_1297278.00",18-MAR-25 06.01.46.597259000 PM,"MLMOOS",18-DEC-19 01.26.01.939000000 PM
1316502,56619,"03D2096304",21-DEC-20,20-DEC-22,0,"ANDOLL",16-DEC-21 10.19.33.355000000 AM,"ANDOLL",16-DEC-21 10.19.33.355000000 AM
1001814,51101,"43D1058328",05-SEP-12,03-FEB-17,2,"ESPRD01160601",06-AUG-14 03.17.55.369000000 PM,"PJHEID",28-MAY-14 08.38.48.683000000 PM
1171972,51064,"35D0678781",01-SEP-12,12-NOV-15,5,"B-Term-Prov-Trigger_429633.00",26-JUL-23 06.12.49.748671000 PM,"ZOEASANDY",19-MAY-14 03.09.19.988000000 PM
1153756,51099,"35D1076669",28-FEB-13,10-NOV-22,8,"ANDOLL",02-JUN-22 06.54.46.396000000 AM,"JMLAGRO",28-MAY-14 03.11.33.273000000 PM
1172010,51089,"35D0408248",08-JUN-13,03-FEB-17,2,"ESPRD01160601",20-JUL-15 08.43.25.607000000 AM,"CKRAFT",27-MAY-14 07.09.35.357000000 AM
1171478,51233,"24D0406702",01-NOV-13,31-OCT-17,3,"AYARBROUGH",04-AUG-17 11.55.49.463000000 AM,"KWOODALL",16-JUN-14 09.54.13.427000000 AM
1286804,51128,"35D0697876",21-MAY-14,22-MAY-14,9,"B-Term-Prov-Trigger_429633.00",26-JUL-23 06.12.49.748671000 PM,"PJHEID",30-MAY-14 11.42.08.661000000 AM
1162177,51166,"27D0409879",12-FEB-13,11-FEB-25,3,"DEDEMILLS",10-SEP-24 07.03.21.889000000 AM,"JOYSPEZIALE",05-JUN-14 08.05.05.600000000 PM
1155446,51139,"43D0706248",24-MAY-13,31-AUG-26,5,"DEDEMILLS",09-APR-25 07.53.21.820000000 AM,"JMLAGRO",30-MAY-14 12.59.47.843000000 PM
1155446,51140,"43D0041555",24-MAY-13,24-MAY-15,4,"PJHEID",23-MAR-16 07.46.36.193000000 AM,"JMLAGRO",30-MAY-14 12.59.47.845000000 PM
1287983,51252,"35D0655717",01-MAY-13,03-FEB-17,9,"ESPRD01160601",15-AUG-15 01.28.33.845000000 PM,"JOYSPEZIALE",16-JUN-14 05.12.47.521000000 PM
1153781,51168,"35D0655705",12-APR-14,11-APR-26,8,"NICOLERICHTER",07-MAY-24 11.44.47.370000000 AM,"JOYSPEZIALE",06-JUN-14 12.13.30.619000000 PM
1182809,51267,"35D1068413",10-MAY-13,03-FEB-17,0,"ESPRD01160601",17-JUN-14 02.43.28.390000000 PM,"JOYSPEZIALE",17-JUN-14 02.43.28.390000000 PM
1277886,51243,"35D0953894",13-NOV-12,02-OCT-13,4,"B-Term-Prov-Trigger_2957260.00",24-JAN-20 06.02.24.041878000 PM,"JOYSPEZIALE",16-JUN-14 03.31.31.970000000 PM
1277873,51244,"35D0409236",17-MAR-13,02-OCT-13,4,"B-Term-Prov-Trigger_2957260.00",24-JAN-20 06.02.24.041878000 PM,"JOYSPEZIALE",16-JUN-14 03.31.32.399000000 PM
1277867,51245,"35D0409236",17-MAR-13,02-OCT-13,3,"B-Term-Prov-Trigger_2957260.00",24-JAN-20 06.02.24.041878000 PM,"JOYSPEZIALE",16-JUN-14 03.31.32.618000000 PM
1277865,51246,"35D0409233",08-JUN-12,02-OCT-13,3,"B-Term-Prov-Trigger_2957260.00",24-JAN-20 06.02.24.041878000 PM,"JOYSPEZIALE",16-JUN-14 03.31.32.881000000 PM
1153763,51247,"35D0409236",17-MAR-13,16-MAR-27,12,"NICOLERICHTER",29-APR-25 03.02.36.060000000 PM,"JOYSPEZIALE",16-JUN-14 03.31.33.087000000 PM
1155508,51255,"35D0409233",08-JUN-14,07-JUN-26,6,"TONIWORKMAN",25-JUL-24 07.25.15.787000000 AM,"JOYSPEZIALE",16-JUN-14 06.16.50.156000000 PM
1155412,51259,"35D0953894",13-NOV-12,31-DEC-15,4,"B-Term-Prov-Trigger_898477.00",04-MAR-16 06.01.29.420792000 PM,"JOYSPEZIALE",16-JUN-14 08.01.00.398000000 PM
1000410,51353,"35D0667840",26-SEP-12,31-JAN-18,10,"B-Term-Prov-Trigger_1806955.00",31-JAN-18 06.01.04.732789000 PM,"JMLAGRO",25-JUN-14 08.35.37.048000000 AM
1190199,51326,"35D0721452",01-SEP-12,31-AUG-24,6,"TONIWORKMAN",12-AUG-24 06.55.13.176000000 AM,"RACHELSPANGENBER",23-JUN-14 03.44.40.831000000 PM
1288841,51453,"24D0406266",31-MAR-14,02-OCT-13,14,"B-Term-Prov-Trigger_2957260.00",24-JAN-20 06.02.24.041878000 PM,"JMLAGRO",01-JUL-14 01.39.26.670000000 PM
1171537,51412,"35D0708806",01-SEP-12,03-FEB-17,3,"ESPRD01160601",14-AUG-15 02.06.20.621000000 PM,"JMLAGRO",27-JUN-14 12.18.03.569000000 PM
1288694,51423,"24D0406266",31-MAR-14,02-OCT-13,14,"B-Term-Prov-Trigger_2957260.00",24-JAN-20 06.02.24.041878000 PM,"JMLAGRO",30-JUN-14 09.45.12.409000000 AM
1155463,51432,"35D1046042",29-SEP-13,28-SEP-23,6,"B-IF-CLIA-MNLY_4063073.00",10-NOV-21 08.23.51.018699000 AM,"PJHEID",30-JUN-14 03.03.13.704000000 PM
1003005,51463,"24D0406642",20-JUN-14,19-JUN-14,4,"JMLAGRO",17-AUG-15 06.56.03.131000000 AM,"JMLAGRO",01-JUL-14 04.15.30.782000000 PM
1190587,51459,"35D0674297",04-SEP-13,03-FEB-17,5,"ESPRD01160601",04-AUG-15 10.07.59.731000000 AM,"JOYSPEZIALE",01-JUL-14 03.29.29.842000000 PM
1000709,51472,"35D0408734",07-JUN-13,31-AUG-15,17,"B-Term-Prov-Trigger_429633.00",26-JUL-23 06.12.49.748671000 PM,"JMLAGRO",02-JUL-14 07.21.11.236000000 AM
1288699,51473,"35D0694241",29-MAY-13,02-OCT-13,7,"B-Term-Prov-Trigger_2957260.00",24-JAN-20 06.02.24.041878000 PM,"JMLAGRO",02-JUL-14 08.07.22.117000000 AM
1191425,51470,"35D0674297",04-SEP-13,03-FEB-17,11,"ESPRD01160601",04-AUG-15 10.06.17.785000000 AM,"KWOODALL",01-JUL-14 07.58.51.046000000 PM
1288892,51476,"35D1042860",11-JUL-13,02-OCT-13,7,"B-Term-Prov-Trigger_2957260.00",24-JAN-20 06.02.24.041878000 PM,"JMLAGRO",02-JUL-14 09.07.59.921000000 AM
1288079,51482,"35D0408263",09-MAR-13,02-OCT-13,6,"B-Term-Prov-Trigger_2957260.00",24-JAN-20 06.02.24.041878000 PM,"JMLAGRO",02-JUL-14 01.40.31.285000000 PM
1000713,51486,"35D0408734",07-JUN-97,31-AUG-15,8,"B-Term-Prov-Trigger_429633.00",26-JUL-23 06.12.49.748671000 PM,"JMLAGRO",02-JUL-14 03.53.43.575000000 PM
1153961,51502,"24D0400282",09-FEB-13,08-FEB-27,5,"DEDEMILLS",18-AUG-25 07.46.14.279000000 AM,"LISACAMPBELL",03-JUL-14 05.10.38.143000000 PM
1155402,51495,"24D0406392",17-FEB-14,01-JAN-17,7,"B-Term-Prov-Trigger_2549575.00",22-MAY-19 06.01.24.679279000 PM,"KWOODALL",03-JUL-14 08.29.26.514000000 AM
1288901,51496,"35D0408767",01-SEP-12,02-OCT-13,7,"B-Term-Prov-Trigger_2957260.00",24-JAN-20 06.02.24.041878000 PM,"JMLAGRO",03-JUL-14 08.32.40.458000000 AM
1155368,51511,"35D0690089",01-SEP-12,31-AUG-24,13,"MCMOOS",01-MAY-23 02.32.30.221000000 PM,"SHERSAYLER",07-JUL-14 01.39.17.031000000 PM
1164701,51523,"35D0655705",01-JAN-91,11-OCT-16,1,"B-IF-PRV-CLIA-UPD_1047885.00",12-JUL-16 07.42.23.589307000 AM,"JUDITHSZEGEDI",07-JUL-14 06.06.40.065000000 PM
1155336,51527,"35D0655705",01-JAN-91,11-APR-26,7,"NICOLERICHTER",07-MAY-24 09.59.10.177000000 AM,"JUDITHSZEGEDI",07-JUL-14 07.43.26.861000000 PM
1190871,51517,"35D0408697",22-JUL-13,21-JUL-19,8,"CHLHARMON",10-MAY-18 03.15.16.089000000 PM,"LISACAMPBELL",07-JUL-14 04.23.36.635000000 PM
1154843,51533,"35D0409242",17-FEB-13,16-FEB-27,17,"DEDEMILLS",06-MAY-25 06.28.21.638000000 AM,"PJHEID",08-JUL-14 09.02.40.904000000 AM
1155335,51525,"35D0655705",01-JAN-91,11-APR-26,7,"NICOLERICHTER",07-MAY-24 11.09.38.836000000 AM,"JUDITHSZEGEDI",07-JUL-14 06.56.33.834000000 PM
1171576,51544,"24D0406457",01-SEP-12,31-JAN-17,2,"B-Term-Prov-Trigger_1493104.00",07-JUL-17 06.00.42.290214000 PM,"KWOODALL",08-JUL-14 04.18.15.459000000 PM
1160197,51542,"35D0408924",28-FEB-13,15-OCT-17,11,"B-Term-Prov-Trigger_2353279.00",18-JAN-19 06.00.58.640224000 PM,"NAKARRIABELL",08-JUL-14 04.06.31.589000000 PM
1153811,51530,"35D0408964",01-DEC-13,30-NOV-21,14,"B-IF-CLIA-MNLY_3644023.00",08-MAR-21 11.01.12.446923000 PM,"CKRAFT",08-JUL-14 07.25.58.621000000 AM
1153811,51531,"35D0952211",23-APR-13,03-FEB-17,14,"ESPRD01160601",18-JUN-15 02.26.52.127000000 PM,"CKRAFT",08-JUL-14 07.25.58.622000000 AM
1281523,51551,"43D0408056",09-SEP-13,10-SEP-13,7,"B-Term-Prov-Trigger_836666.00",11-JAN-16 06.01.28.467846000 PM,"JMLAGRO",09-JUL-14 04.12.07.128000000 PM
1169780,51566,"35D0979426",01-SEP-00,18-MAY-18,6,"B-IF-PRV-CLIA-UPD_1048939.00",13-JUL-16 04.28.25.115333000 AM,"RACHELSPANGENBER",10-JUL-14 03.39.50.725000000 PM
1165906,51555,"35D0979426",01-SEP-00,18-MAY-18,4,"B-IF-PRV-CLIA-UPD_1048939.00",13-JUL-16 04.28.25.115338000 AM,"PJHEID",09-JUL-14 07.46.24.789000000 PM
1161474,51561,"35D1023954",30-MAR-14,29-MAR-22,2,"B-IF-CLIA-MNLY_3236060.00",08-JUL-20 11.01.13.211724000 PM,"DOMINICKNGANTOU",10-JUL-14 01.28.47.890000000 PM
1283523,51575,"35D0408204",01-SEP-13,22-FEB-17,4,"CJFRANCIS",17-MAY-16 09.02.29.340000000 AM,"JMLAGRO",11-JUL-14 11.16.40.828000000 AM
1159856,51571,"35D0408554",02-APR-13,01-APR-25,10,"NICOLERICHTER",25-MAY-23 02.56.43.220000000 PM,"DOMINICKNGANTOU",11-JUL-14 10.22.58.903000000 AM
1159384,51568,"14D0416537",09-FEB-95,08-FEB-27,10,"NICOLERICHTER",28-FEB-25 08.52.44.639000000 AM,"NAKARRIABELL",10-JUL-14 03.47.42.472000000 PM
1289150,51569,"24D0406642",20-JUN-14,03-FEB-17,18,"ESPRD01160601",17-JUN-15 03.24.38.832000000 PM,"JMLAGRO",11-JUL-14 08.29.37.171000000 AM
