p_sys_id,p_nw_part_sk,r_nw_id,p_nw_beg_dt,p_nw_end_dt,p_nw_stat_cd,p_nwst_rsn_cd,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
1000052,1000314,DDS,2011-08-01,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000052,1000315,DOCR,2011-08-01,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000052,1000316,MCAID,2011-08-01,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000053,1000318,ATYPICAL,2011-03-28,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000053,1000319,CSHS,2011-03-28,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000053,1000320,DDS,2011-03-28,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000053,1000321,DOCR,2011-03-28,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000053,1000322,MCAID,2011-03-28,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000054,1000324,ATYPICAL,2011-01-11,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000054,1000325,CSHS,2011-01-11,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000054,1000326,DDS,2011-01-11,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000054,1000327,DOCR,2011-01-11,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000054,1000328,MCAID,2011-01-11,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000055,1000330,ATYPICAL,2011-03-05,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000055,1000331,CSHS,2011-03-05,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000055,1000332,DDS,2011-03-05,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000055,1000333,DOCR,2011-03-05,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000055,1000334,MCAID,2011-03-05,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000056,1000338,DDS,2011-07-01,2013-09-30,00,,3,JMLAGRO,2015-06-29 10:27:54.247000,Provider Conversion,2013-03-28 03:57:29.000000
1000057,1000342,ATYPICAL,2011-10-07,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000057,1000343,CSHS,2011-10-07,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000057,1000344,DDS,2011-10-07,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000057,1000345,DOCR,2011-10-07,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000057,1000346,MCAID,2011-10-07,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000058,1000348,ATYPICAL,2011-07-05,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000058,1000349,CSHS,2011-07-05,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000058,1000350,DDS,2011-07-05,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000058,1000351,DOCR,2011-07-05,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000058,1000352,MCAID,2011-07-05,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000059,1000354,ATYPICAL,2011-07-27,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000059,1000355,CSHS,2011-07-27,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000059,1000356,DDS,2011-07-27,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000059,1000357,DOCR,2011-07-27,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000059,1000358,MCAID,2011-07-27,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1155570,1286486,MCAID,2008-12-05,1999-12-31,00, ,2,MCMOOS,2021-10-10 19:10:24.031000,MAURICIOPENERAND,2015-08-20 17:20:18.022000
1000024,1000144,ATYPICAL,2010-08-21,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000024,1000145,CSHS,2010-08-21,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000024,1000146,DDS,2010-08-21,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000024,1000147,DOCR,2010-08-21,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000024,1000148,MCAID,2010-08-21,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000025,1000150,ATYPICAL,2010-11-24,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000025,1000151,CSHS,2010-11-24,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000025,1000152,DDS,2010-11-24,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000025,1000153,DOCR,2010-11-24,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000025,1000154,MCAID,2010-11-24,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000026,1000156,ATYPICAL,2010-10-12,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000026,1000157,CSHS,2010-10-12,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000026,1000158,DDS,2010-10-12,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000026,1000159,DOCR,2010-10-12,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000026,1000160,MCAID,2010-10-12,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000027,1000162,ATYPICAL,2010-11-20,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000027,1000163,CSHS,2010-11-20,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000027,1000164,DDS,2010-11-20,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000027,1000165,DOCR,2010-11-20,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000027,1000166,MCAID,2010-11-20,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000028,1000168,ATYPICAL,2011-02-23,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000028,1000169,CSHS,2011-02-23,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000028,1000170,DDS,2011-02-23,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000028,1000171,DOCR,2011-02-23,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000028,1000172,MCAID,2011-02-23,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000029,1000174,ATYPICAL,2010-11-09,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000029,1000175,CSHS,2010-11-09,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000029,1000176,DDS,2010-11-09,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000029,1000177,DOCR,2010-11-09,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000029,1000178,MCAID,2010-11-09,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000030,1000180,ATYPICAL,2010-10-01,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000030,1000181,CSHS,2010-10-01,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000030,1000182,DDS,2010-10-01,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000030,1000183,DOCR,2010-10-01,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000030,1000184,MCAID,2010-10-01,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000031,1000188,DDS,2010-07-22,2013-09-30,00,,7,THENDERSON,2015-08-21 10:56:02.914000,Provider Conversion,2013-03-28 03:57:29.000000
1000032,1000192,ATYPICAL,2010-09-09,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000032,1000193,CSHS,2010-09-09,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
