p_rpt_ln_cl_err_sk,p_cl_prov_id,p_cl_name,p_cl_clia_num,p_cl_exp_dt,p_cl_lab_type,p_cl_term_cd,p_cl_term_rsn,p_cl_expired_cd,p_cl_error_msg,p_cl_prcs_dt,l_hibernate_ver_num,g_aud_add_user_id,g_aud_add_ts
79526,1462568,Northwood Deaconess Health Center,35D0408602,2026-05-18,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79527,1454627,Ashley Medical Center,35D0669946,2027-03-22,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79528,1452000,Richland County,35D0685240,2027-06-06,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79529,1457619,Northwood Deaconess Health Center,35D2190998,2026-08-20,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79530,1457721,St Lukes Hospital,35D0409236,2027-03-16,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79531,1455294,Pathology Consultants PC,35D0408903,2027-10-09,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79532,1458468,Alpha Inc,35D0408759,2026-08-31,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79533,1462836,First District Health Unit,35D0409192,2026-08-31,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79534,1458396,Innovis Health LLC,35D0408185,2027-09-30,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79535,1455154,Mobridge Regional Hospital,43D0407818,2027-06-22,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79536,1460149,Towner County Medical Center Inc,35D0408659,2027-04-12,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79537,1459697,Trinity Medical Group,35D2010851,2027-03-30,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79538,1460008,Dakota Hill Housing Corporation,35D0914915,2026-05-13,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79539,1461003,Marshall County Memorial Hospital,43D0658932,2026-07-31,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79540,1463340,ELBOWOODS MEMORIAL HEALTH CENTER,35D1037915,2027-06-29,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79541,1458442,Ecumen,24D0663272,2026-08-31,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79542,1458428,Altru Health System,35D0663789,2027-02-08,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79543,1463064,Medtox Laboratories Inc,24D0665278,2027-08-02,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79544,1457511,Altru Health System,35D0663789,2027-02-08,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79545,1460177,Towner County Medical Center,35D0860142,2026-08-31,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79546,1464395,Bridges Medical Center,24D1036517,2027-02-03,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79547,1460943,Sanford Bismarck,35D0655677,2027-02-08,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79548,1463142,McKenzie County Healthcare Systems Inc,35D0409336,2027-10-19,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79549,1462920,Bismarck Surgical Associates LLC,35D1037915,2027-06-29,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79550,1457910,4000 Valley Square Inc,35D0914395,2026-04-28,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79551,1456278,North Dakota State University,35D1008813,2026-09-23,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79552,1455542,Allina Health System,24D0401558,2027-02-08,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79553,1460064,St Alexius Medical Center,35D0408924,2027-02-27,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79554,1476781,Trinity Hospitals,35D0409224,2027-02-08,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79555,1468678,Sidney Health Center,27D0409839,2027-07-08,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79556,1472475,Summit Counseling Incorporated,35D2331044,2027-09-24,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79557,1472475,Summit Counseling Incorporated,35D2331046,2027-09-24,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79558,1477612,Total Renal Laboratories Inc,10D2154944,2027-06-04,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79559,1468008,Sanford Medical Center,43D0407227,2027-02-08,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79560,1472798,Sanford Health Network,43D0861172,2027-10-15,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79561,1451237,Myriad Womens Health Inc,05D2299797,2026-09-24,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79562,1482763,Exact Sciences Laboratories LLC,52D2162828,2027-11-05,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79563,1478592,Baptist Apartments Inc,35D2150700,2026-07-01,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79564,1463361,Fairview Health Services,24D0403520,2027-02-08,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79565,1460486,St Alexius Medical Center,35D0408924,2027-02-27,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79566,1481342,The Evangelical Lutheran Good Samaritan Society,35D0722935,2026-08-31,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79567,1478541,Hill Top Home of Comfort Inc,35D0409107,2026-08-31,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79568,1483416,Ray Family Medical Center PLLC,35D2192174,2026-09-07,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79569,1487967,Fast Lab Technologies LLC,33D2246922,2027-03-26,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79570,1463762,Cherry County Hospital,28D0652694,2026-05-04,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79571,1494191,Family HealthCare Center,35D0408400,2026-08-20,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79572,1490830,Mokan Labs LLC,17D2273601,2028-01-08,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79573,1493857,Pathology Consultants PC,35D2303413,2026-04-23,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79574,1496359,Resolute Hospital Company LLC,45D2074005,2026-09-20,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79575,1456488,St Francis Regional Medical Center,24D0400828,2027-01-02,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79576,1494225,HealthTrackRX Indiana Inc,15D2267792,2027-05-16,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79577,1477216,Drugscan Inc,39D0657655,2027-11-25,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79671,1457597,Sanford Medical Center Fargo,35D2203722,2026-11-22,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79672,1457597,Sanford Medical Center Fargo,35D2228776,2026-08-23,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79673,1456541,MyAlly Health,35D0408522,2026-08-31,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79674,1460682,TRINITY HOSPITALS,35D0409224,2027-02-08,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79675,1457131,Good Samaritan Hospital Association,35D0408706,2026-06-29,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79676,1461914,University of Minnesota Physicians,24D0403520,2027-02-08,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79677,1460177,Towner County Medical Center,35D0408659,2027-04-12,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79678,1462610,Mercy Hospital of Devils Lake,35D0408636,2027-01-02,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79679,1459435,Quest Diagnostics LLC IL,14D0417052,2027-02-08,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79680,1457878,Southwest Healthcare Services,35D0409088,2027-05-18,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79681,1455903,LaMoure County Health Department,35D2043433,2026-07-01,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79682,1461064,Underwood Clinic PC,35D0409019,2027-11-30,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79683,1460648,Altru Health System,35D0663789,2027-02-08,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79684,1475748,North Dakota State University,35D0041738,2027-06-19,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79685,1465406,Laboratory Corporation of America,06D0680595,2027-02-08,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79686,1473551,Sanford Health Network North,35D0664997,2026-08-31,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79687,1477613,Trinity Hospitals,35D2099810,2027-08-02,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79688,1467610,St Lukes Regional Medical Center,13D0662992,2027-01-02,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79689,1475134,Mercy Hospital of Devils Lake,35D0408636,2027-01-02,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79690,1463749,SCL Health Montana,27D0652473,2027-02-27,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79691,1482824,Poudre Valley Healthcare Inc,06D0862083,2026-08-31,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79692,1481343,The Evangelical Lutheran Good Samaritan Society,35D0408910,2026-08-31,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79693,1487497,Innovis Health LLC,35D1026251,2026-05-31,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79694,1478789,Otogenetics Corporation,11D2066426,2027-09-02,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79695,1463968,Fairview Health Services,24D0403520,2027-02-08,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79696,1479920,University of Wisconsin Hospitals and Clinics Auth,52D0661997,2026-10-19,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79697,1483699,Castle Biosciences Inc,03D2234331,2026-11-01,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79698,1454663,Genomic Health Inc,05D1018272,2027-06-29,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79699,1461068,Exact Sciences Laboratories LLC,52D2072838,2026-09-25,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79700,1479792,Nurturing Wellness Pediatrics PLLC,35D2289226,2027-09-06,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79701,1484908,Fairview Health Services,24D0403520,2027-02-08,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79702,1493860,UCHealth Highlands Ranch Hospital,06D2164737,2026-04-21,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79703,1495435,Northwest Dakota Surgery Center LLC,35D2313858,2026-11-06,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79704,1490481,Genview Diagnosis Inc,45D2185208,2028-03-01,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79705,1496738,Parvez Fatteh,35D2306768,2026-06-24,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79706,1477109,Nepenthe Laboratory Services LLC,38D2061880,2026-06-10,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79707,1497869,KAYD Home Care LLC,35D2153801,2026-08-29,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79708,1461814,Prairie Ridge Hospital and Health Services,24D0406304,2027-07-19,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79709,1497672,Richard A Schoor,35D0408924,2027-02-27,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79710,1457803,Innovis Health LLC,35D0978097,2027-05-29,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79711,1451275,Sanford Health Network,43D0407637,2026-07-30,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79712,1454196,St Josephs Hospital and Health Center,35D0409072,2027-02-27,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79713,1454951,The Evangelical Lutheran Good Samaritan Society,35D0860882,2026-08-31,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79714,1451724,Northwood Deaconess Health Center,35D0408602,2026-05-18,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79715,1454301,St Josephs Hospital and Health Center,35D0409072,2027-02-27,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79716,1457930,Cavalier County Health District,35D0858262,2026-08-31,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79717,1452473,St Alexius Medical Center,35D1076669,2026-11-10,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79718,1452473,St Alexius Medical Center,35D2150746,2026-07-01,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79719,1452473,St Alexius Medical Center,35D2150747,2026-07-01,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79720,1452473,St Alexius Medical Center,35D2150749,2026-07-01,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79721,1454338,St Alexius Health Medical Center,35D0409014,2027-05-17,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79722,1457513,Altru Health System,35D0663789,2027-02-08,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79723,1458140,First Care Medical Services,24D0676729,2027-01-03,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79724,1459416,University of North Dakota,35D0409191,2027-08-16,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79725,1458967,Fairview Health Services,24D0403135,2027-02-08,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79726,1458477,CHI Health Connect at Home Fargo,35D0684476,2026-08-31,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79727,1458484,Wishek Hospital Clinic Association,35D0693180,2027-01-24,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79728,1458117,Carrington Health Center,35D0408755,2026-05-23,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79729,1463657,Glendive Medical Center Inc,27D0672851,2027-05-18,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79730,1456821,Presentation Medical Center,35D0041821,2027-03-24,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
