p_if_nam,p_ty_cd,p_specl_cd,g_aud_user_id,g_aud_add_ts,p_indiv_grp_cd
SANDATA,039,200,DataFix_ESPRD01285372,2021-08-12 20:30:45.000000,
SANDATA,039,201,DataFix_ESPRD01285372,2021-08-12 20:30:45.000000,
SANDATA,039,202,DataFix_ESPRD01285372,2021-08-12 20:30:46.000000,
SANDATA,039,203,DataFix_ESPRD01285372,2021-08-12 20:30:46.000000,
SANDATA,039,204,DataFix_ESPRD01285372,2021-08-12 20:30:46.000000,
SANDATA,039,205,DataFix_ESPRD01285372,2021-08-12 20:30:46.000000,
SANDATA,039,206,DataFix_ESPRD01285372,2021-08-12 20:30:46.000000,
SANDATA,039,207,DataFix_ESPRD01285372,2021-08-12 20:30:46.000000,
SANDATA,039,208,DataFix_ESPRD01285372,2021-08-12 20:30:47.000000,
SANDATA,039,209,DataFix_ESPRD01285372,2021-08-12 20:30:47.000000,
SANDATA,039,210,DataFix_ESPRD01285372,2021-08-12 20:30:47.000000,
SANDATA,039,211,DataFix_ESPRD01285372,2021-08-12 20:30:47.000000,
SANDATA,039,212,DataFix_ESPRD01285372,2021-08-12 20:30:47.000000,
SANDATA,039,213,DataFix_ESPRD01285372,2021-08-12 20:30:48.000000,
SANDATA,039,214,DataFix_ESPRD01285372,2021-08-12 20:30:48.000000,
SANDATA,039,215,DataFix_ESPRD01285372,2021-08-12 20:30:48.000000,
SANDATA,039,216,DataFix_ESPRD01285372,2021-08-12 20:30:48.000000,
SANDATA,039,217,DataFix_ESPRD01285372,2021-08-12 20:30:48.000000,
SANDATA,039,218,DataFix_ESPRD01285372,2021-08-12 20:30:49.000000,
SANDATA,039,219,DataFix_ESPRD01285372,2021-08-12 20:30:49.000000,
SANDATA,039,220,DataFix_ESPRD01285372,2021-08-12 20:30:49.000000,
SANDATA,039,221,DataFix_ESPRD01285372,2021-08-12 20:30:49.000000,
SANDATA,039,222,DataFix_ESPRD01285372,2021-08-12 20:30:49.000000,
SANDATA,039,223,DataFix_ESPRD01285372,2021-08-12 20:30:50.000000,
SANDATA,039,224,DataFix_ESPRD01285372,2021-08-12 20:30:50.000000,
SANDATA,039,225,DataFix_ESPRD01285372,2021-08-12 20:30:50.000000,
SANDATA,039,226,DataFix_ESPRD01285372,2021-08-12 20:30:50.000000,
SANDATA,039,227,DataFix_ESPRD01285372,2021-08-12 20:30:50.000000,
SANDATA,039,228,DataFix_ESPRD01285372,2021-08-12 20:30:51.000000,
SANDATA,039,229,DataFix_ESPRD01285372,2021-08-12 20:30:51.000000,
SANDATA,039,231,DataFix_ESPRD01285372,2021-08-12 20:30:51.000000,
SANDATA,039,232,DataFix_ESPRD01285372,2021-08-12 20:30:51.000000,
SANDATA,039,233,DataFix_ESPRD01285372,2021-08-12 20:30:52.000000,
SANDATA,039,234,DataFix_ESPRD01285372,2021-08-12 20:30:52.000000,
SANDATA,039,235,DataFix_ESPRD01285372,2021-08-12 20:30:52.000000,
SANDATA,039,236,DataFix_ESPRD01285372,2021-08-12 20:30:52.000000,
SANDATA,039,237,DataFix_ESPRD01285372,2021-08-12 20:30:52.000000,
SANDATA,039,238,DataFix_ESPRD01285372,2021-08-12 20:30:53.000000,
SANDATA,039,240,DataFix_ESPRD01285372,2021-08-12 20:30:53.000000,
SANDATA,039,241,DataFix_ESPRD01285372,2021-08-12 20:30:53.000000,
SANDATA,039,242,DataFix_ESPRD01285372,2021-08-12 20:30:53.000000,
SANDATA,039,243,DataFix_ESPRD01285372,2021-08-12 20:30:53.000000,
SANDATA,039,244,DataFix_ESPRD01285372,2021-08-12 20:30:54.000000,
SANDATA,039,245,DataFix_ESPRD01285372,2021-08-12 20:30:54.000000,
SANDATA,039,246,DataFix_ESPRD01285372,2021-08-12 20:30:54.000000,
SANDATA,039,247,DataFix_ESPRD01285372,2021-08-12 20:30:54.000000,
SANDATA,039,248,DataFix_ESPRD01285372,2021-08-12 20:30:54.000000,
SANDATA,039,249,DataFix_ESPRD01285372,2021-08-12 20:30:54.000000,
SANDATA,039,250,DataFix_ESPRD01285372,2021-08-12 20:30:55.000000,
SANDATA,039,251,DataFix_ESPRD01285372,2021-08-12 20:30:55.000000,
SANDATA,039,252,DataFix_ESPRD01285372,2021-08-12 20:30:55.000000,
SANDATA,039,253,DataFix_ESPRD01285372,2021-08-12 20:30:55.000000,
SANDATA,039,254,DataFix_ESPRD01285372,2021-08-12 20:30:55.000000,
SANDATA,039,255,DataFix_ESPRD01285372,2021-08-12 20:30:56.000000,
SANDATA,039,256,DataFix_ESPRD01285372,2021-08-12 20:30:56.000000,
SANDATA,039,257,DataFix_ESPRD01285372,2021-08-12 20:30:56.000000,
SANDATA,039,258,DataFix_ESPRD01285372,2021-08-12 20:30:56.000000,
SANDATA,039,259,DataFix_ESPRD01285372,2021-08-12 20:30:56.000000,
SANDATA,039,260,DataFix_ESPRD01285372,2021-08-12 20:30:57.000000,
SANDATA,039,261,DataFix_ESPRD01285372,2021-08-12 20:30:57.000000,
SANDATA,039,262,DataFix_ESPRD01285372,2021-08-12 20:30:57.000000,
SANDATA,039,263,DataFix_ESPRD01285372,2021-08-12 20:30:57.000000,
SANDATA,039,264,DataFix_ESPRD01285372,2021-08-12 20:30:57.000000,
SANDATA,039,265,DataFix_ESPRD01285372,2021-08-12 20:30:58.000000,
SANDATA,039,266,DataFix_ESPRD01285372,2021-08-12 20:30:58.000000,
SANDATA,039,267,DataFix_ESPRD01285372,2021-08-12 20:30:58.000000,
SANDATA,039,268,DataFix_ESPRD01285372,2021-08-12 20:30:58.000000,
SANDATA,039,269,DataFix_ESPRD01285372,2021-08-12 20:30:59.000000,
SANDATA,039,270,DataFix_ESPRD01285372,2021-08-12 20:30:59.000000,
SANDATA,039,271,DataFix_ESPRD01285372,2021-08-12 20:30:59.000000,
SANDATA,039,272,DataFix_ESPRD01285372,2021-08-12 20:30:59.000000,
SANDATA,039,273,DataFix_ESPRD01285372,2021-08-12 20:30:59.000000,
SANDATA,039,274,DataFix_ESPRD01285372,2021-08-12 20:31:00.000000,
SANDATA,039,275,DataFix_ESPRD01285372,2021-08-12 20:31:00.000000,
SANDATA,039,276,DataFix_ESPRD01285372,2021-08-12 20:31:00.000000,
SANDATA,039,277,DataFix_ESPRD01285372,2021-08-12 20:31:00.000000,
SANDATA,039,278,DataFix_ESPRD01285372,2021-08-12 20:31:00.000000,
SANDATA,039,279,DataFix_ESPRD01285372,2021-08-12 20:31:01.000000,
SANDATA,039,280,DataFix_ESPRD01285372,2021-08-12 20:31:01.000000,
SANDATA,039,284,DataFix_ESPRD01285372,2021-08-12 20:31:01.000000,
SANDATA,039,285,DataFix_ESPRD01285372,2021-08-12 20:31:01.000000,
SANDATA,039,286,DataFix_ESPRD01285372,2021-08-12 20:31:01.000000,
SANDATA,039,287,DataFix_ESPRD01285372,2021-08-12 20:31:01.000000,
SANDATA,039,288,DataFix_ESPRD01285372,2021-08-12 20:31:02.000000,
SANDATA,039,289,DataFix_ESPRD01285372,2021-08-12 20:31:02.000000,
SANDATA,039,290,DataFix_ESPRD01285372,2021-08-12 20:31:02.000000,
SANDATA,039,298,DataFix_ESPRD01285372,2021-08-12 20:31:02.000000,
SANDATA,039,299,DataFix_ESPRD01285372,2021-08-12 20:31:02.000000,
SANDATA,039,300,DataFix_ESPRD01285372,2021-08-12 20:31:03.000000,
SANDATA,039,301,DataFix_ESPRD01285372,2021-08-12 20:31:03.000000,
SANDATA,039,302,DataFix_ESPRD01285372,2021-08-12 20:31:03.000000,
SANDATA,039,303,DataFix_ESPRD01285372,2021-08-12 20:31:03.000000,
SANDATA,039,306,DataFix_ESPRD01285372,2021-08-12 20:31:04.000000,
SANDATA,039,307,DataFix_ESPRD01285372,2021-08-12 20:31:04.000000,
SANDATA,039,308,DataFix_ESPRD01285372,2021-08-12 20:31:04.000000,
SANDATA,039,309,DataFix_ESPRD01285372,2021-08-12 20:31:04.000000,
SANDATA,039,310,DataFix_ESPRD01285372,2021-08-12 20:31:04.000000,
SANDATA,039,311,DataFix_ESPRD01285372,2021-08-12 20:31:05.000000,
SANDATA,039,312,DataFix_ESPRD01285372,2021-08-12 20:31:05.000000,
SANDATA,039,313,DataFix_ESPRD01285372,2021-08-12 20:31:05.000000,
SANDATA,039,314,DataFix_ESPRD01285372,2021-08-12 20:31:05.000000,
SANDATA,039,315,DataFix_ESPRD01285372,2021-08-12 20:31:06.000000,
SANDATA,039,316,DataFix_ESPRD01285372,2021-08-12 20:31:06.000000,
SANDATA,039,317,DataFix_ESPRD01285372,2021-08-12 20:31:06.000000,
SANDATA,039,318,DataFix_ESPRD01285372,2021-08-12 20:31:06.000000,
SANDATA,039,319,DataFix_ESPRD01285372,2021-08-12 20:31:06.000000,
SANDATA,039,320,DataFix_ESPRD01285372,2021-08-12 20:31:06.000000,
SANDATA,039,321,DataFix_ESPRD01285372,2021-08-12 20:31:07.000000,
SANDATA,039,323,DataFix_ESPRD01285372,2021-08-12 20:31:07.000000,
SANDATA,039,324,DataFix_ESPRD01285372,2021-08-12 20:31:07.000000,
SANDATA,039,325,DataFix_ESPRD01285372,2021-08-12 20:31:07.000000,
SANDATA,039,326,DataFix_ESPRD01285372,2021-08-12 20:31:07.000000,
SANDATA,039,327,DataFix_ESPRD01285372,2021-08-12 20:31:08.000000,
SANDATA,039,328,DataFix_ESPRD01285372,2021-08-12 20:31:08.000000,
SANDATA,039,329,DataFix_ESPRD01285372,2021-08-12 20:31:08.000000,
SANDATA,039,330,DataFix_ESPRD01285372,2021-08-12 20:31:08.000000,
SANDATA,039,332,DataFix_ESPRD01285372,2021-08-12 20:31:08.000000,
SANDATA,039,333,DataFix_ESPRD01285372,2021-08-12 20:31:09.000000,
SANDATA,039,334,DataFix_ESPRD01285372,2021-08-12 20:31:09.000000,
SANDATA,039,335,DataFix_ESPRD01285372,2021-08-12 20:31:09.000000,
SANDATA,039,336,DataFix_ESPRD01285372,2021-08-12 20:31:09.000000,
SANDATA,039,337,DataFix_ESPRD01285372,2021-08-12 20:31:09.000000,
SANDATA,039,339,DataFix_ESPRD01285372,2021-08-12 20:31:10.000000,
SANDATA,039,340,DataFix_ESPRD01285372,2021-08-12 20:31:10.000000,
SANDATA,039,304,DataFix_ESPRD01285372,2021-08-12 20:31:03.000000,
SANDATA,039,341,DataFix_ESPRD01285372,2021-08-12 20:31:10.000000,
SANDATA,039,342,DataFix_ESPRD01285372,2021-08-12 20:31:10.000000,
SANDATA,039,343,DataFix_ESPRD01285372,2021-08-12 20:31:10.000000,
SANDATA,039,344,DataFix_ESPRD01285372,2021-08-12 20:31:11.000000,
SANDATA,039,345,DataFix_ESPRD01285372,2021-08-12 20:31:11.000000,
SANDATA,039,347,DataFix_ESPRD01285372,2021-08-12 20:31:11.000000,
SANDATA,039,348,DataFix_ESPRD01285372,2021-08-12 20:31:11.000000,
SANDATA,039,349,DataFix_ESPRD01285372,2021-08-12 20:31:11.000000,
SANDATA,039,352,DataFix_ESPRD01285372,2021-08-12 20:31:11.000000,
SANDATA,039,353,DataFix_ESPRD01285372,2021-08-12 20:31:12.000000,
SANDATA,039,357,DataFix_ESPRD01285372,2021-08-12 20:31:12.000000,
SANDATA,039,358,DataFix_ESPRD01285372,2021-08-12 20:31:12.000000,
SANDATA,039,359,DataFix_ESPRD01285372,2021-08-12 20:31:12.000000,
SANDATA,039,360,DataFix_ESPRD01285372,2021-08-12 20:31:12.000000,
SANDATA,039,361,DataFix_ESPRD01285372,2021-08-12 20:31:13.000000,
SANDATA,039,362,DataFix_ESPRD01285372,2021-08-12 20:31:13.000000,
SANDATA,039,363,DataFix_ESPRD01285372,2021-08-12 20:31:13.000000,
SANDATA,039,364,DataFix_ESPRD01285372,2021-08-12 20:31:13.000000,
SANDATA,039,366,DataFix_ESPRD01285372,2021-08-12 20:31:13.000000,
SANDATA,039,367,DataFix_ESPRD01285372,2021-08-12 20:31:14.000000,
SANDATA,039,368,DataFix_ESPRD01285372,2021-08-12 20:31:14.000000,
SANDATA,039,369,DataFix_ESPRD01285372,2021-08-12 20:31:14.000000,
SANDATA,039,371,DataFix_ESPRD01285372,2021-08-12 20:31:14.000000,
SANDATA,039,372,DataFix_ESPRD01285372,2021-08-12 20:31:14.000000,
SANDATA,039,373,DataFix_ESPRD01285372,2021-08-12 20:31:15.000000,
SANDATA,039,374,DataFix_ESPRD01285372,2021-08-12 20:31:15.000000,
SANDATA,039,375,DataFix_ESPRD01285372,2021-08-12 20:31:15.000000,
SANDATA,039,376,DataFix_ESPRD01285372,2021-08-12 20:31:15.000000,
SANDATA,039,377,DataFix_ESPRD01285372,2021-08-12 20:31:15.000000,
SANDATA,039,379,DataFix_ESPRD01285372,2021-08-12 20:31:15.000000,
SANDATA,039,380,DataFix_ESPRD01285372,2021-08-12 20:31:16.000000,
SANDATA,039,381,DataFix_ESPRD01285372,2021-08-12 20:31:16.000000,
SANDATA,039,382,DataFix_ESPRD01285372,2021-08-12 20:31:16.000000,
SANDATA,039,383,DataFix_ESPRD01285372,2021-08-12 20:31:16.000000,
SANDATA,039,384,DataFix_ESPRD01285372,2021-08-12 20:31:16.000000,
SANDATA,039,385,DataFix_ESPRD01285372,2021-08-12 20:31:17.000000,
SANDATA,039,386,DataFix_ESPRD01285372,2021-08-12 20:31:17.000000,
SANDATA,039,387,DataFix_ESPRD01285372,2021-08-12 20:31:17.000000,
SANDATA,039,388,DataFix_ESPRD01285372,2021-08-12 20:31:17.000000,
SANDATA,039,389,DataFix_ESPRD01285372,2021-08-12 20:31:17.000000,
SANDATA,039,390,DataFix_ESPRD01285372,2021-08-12 20:31:18.000000,
SANDATA,039,393,DataFix_ESPRD01285372,2021-08-12 20:31:18.000000,
SANDATA,039,394,DataFix_ESPRD01285372,2021-08-12 20:31:18.000000,
SANDATA,039,395,DataFix_ESPRD01285372,2021-08-12 20:31:18.000000,
SANDATA,039,396,DataFix_ESPRD01285372,2021-08-12 20:31:18.000000,
SANDATA,039,397,DataFix_ESPRD01285372,2021-08-12 20:31:18.000000,
SANDATA,039,399,DataFix_ESPRD01285372,2021-08-12 20:31:19.000000,
SANDATA,039,401,DataFix_ESPRD01285372,2021-08-12 20:31:19.000000,
SANDATA,039,403,DataFix_ESPRD01285372,2021-08-12 20:31:19.000000,
SANDATA,039,404,DataFix_ESPRD01285372,2021-08-12 20:31:19.000000,
SANDATA,039,405,DataFix_ESPRD01285372,2021-08-12 20:31:20.000000,
SANDATA,039,406,DataFix_ESPRD01285372,2021-08-12 20:31:20.000000,
SANDATA,039,407,DataFix_ESPRD01285372,2021-08-12 20:31:20.000000,
SANDATA,039,408,DataFix_ESPRD01285372,2021-08-12 20:31:20.000000,
SANDATA,039,409,DataFix_ESPRD01285372,2021-08-12 20:31:20.000000,
SANDATA,039,410,DataFix_ESPRD01285372,2021-08-12 20:31:21.000000,
SANDATA,039,411,DataFix_ESPRD01285372,2021-08-12 20:31:21.000000,
SANDATA,039,412,DataFix_ESPRD01285372,2021-08-12 20:31:21.000000,
SANDATA,039,413,DataFix_ESPRD01285372,2021-08-12 20:31:21.000000,
SANDATA,039,414,DataFix_ESPRD01285372,2021-08-12 20:31:21.000000,
SANDATA,039,415,DataFix_ESPRD01285372,2021-08-12 20:31:21.000000,
SANDATA,039,416,DataFix_ESPRD01285372,2021-08-12 20:31:22.000000,
SANDATA,039,417,DataFix_ESPRD01285372,2021-08-12 20:31:22.000000,
SANDATA,039,418,DataFix_ESPRD01285372,2021-08-12 20:31:22.000000,
SANDATA,039,419,DataFix_ESPRD01285372,2021-08-12 20:31:23.000000,
SANDATA,039,420,DataFix_ESPRD01285372,2021-08-12 20:31:23.000000,
SANDATA,039,421,DataFix_ESPRD01285372,2021-08-12 20:31:23.000000,
SANDATA,039,422,DataFix_ESPRD01285372,2021-08-12 20:31:23.000000,
SANDATA,039,423,DataFix_ESPRD01285372,2021-08-12 20:31:23.000000,
SANDATA,039,424,DataFix_ESPRD01285372,2021-08-12 20:31:24.000000,
SANDATA,039,425,DataFix_ESPRD01285372,2021-08-12 20:31:24.000000,
SANDATA,039,426,DataFix_ESPRD01285372,2021-08-12 20:31:24.000000,
SANDATA,039,427,DataFix_ESPRD01285372,2021-08-12 20:31:24.000000,
SANDATA,039,429,DataFix_ESPRD01285372,2021-08-12 20:31:24.000000,
SANDATA,039,430,DataFix_ESPRD01285372,2021-08-12 20:31:25.000000,
SANDATA,039,431,DataFix_ESPRD01285372,2021-08-12 20:31:25.000000,
SANDATA,039,432,DataFix_ESPRD01285372,2021-08-12 20:31:25.000000,
SANDATA,039,433,DataFix_ESPRD01285372,2021-08-12 20:31:25.000000,
SANDATA,039,434,DataFix_ESPRD01285372,2021-08-12 20:31:25.000000,
SANDATA,039,435,DataFix_ESPRD01285372,2021-08-12 20:31:26.000000,
SANDATA,039,436,DataFix_ESPRD01285372,2021-08-12 20:31:26.000000,
SANDATA,039,437,DataFix_ESPRD01285372,2021-08-12 20:31:26.000000,
SANDATA,039,438,DataFix_ESPRD01285372,2021-08-12 20:31:26.000000,
SANDATA,039,439,DataFix_ESPRD01285372,2021-08-12 20:31:26.000000,
SANDATA,039,450,DataFix_ESPRD01285372,2021-08-12 20:31:26.000000,
SANDATA,039,451,DataFix_ESPRD01285372,2021-08-12 20:31:27.000000,
SANDATA,039,452,DataFix_ESPRD01285372,2021-08-12 20:31:27.000000,
SANDATA,039,453,DataFix_ESPRD01285372,2021-08-12 20:31:27.000000,
SANDATA,039,454,DataFix_ESPRD01285372,2021-08-12 20:31:27.000000,
SANDATA,039,460,DataFix_ESPRD01285372,2021-08-12 20:31:27.000000,
SANDATA,039,461,DataFix_ESPRD01285372,2021-08-12 20:31:28.000000,
SANDATA,039,462,DataFix_ESPRD01285372,2021-08-12 20:31:28.000000,
SANDATA,039,463,DataFix_ESPRD01285372,2021-08-12 20:31:28.000000,
SANDATA,039,464,DataFix_ESPRD01285372,2021-08-12 20:31:28.000000,
SANDATA,039,465,DataFix_ESPRD01285372,2021-08-12 20:31:28.000000,
SANDATA,039,466,DataFix_ESPRD01285372,2021-08-12 20:31:29.000000,
SANDATA,039,467,DataFix_ESPRD01285372,2021-08-12 20:31:29.000000,
SANDATA,039,468,DataFix_ESPRD01285372,2021-08-12 20:31:29.000000,
SANDATA,039,469,DataFix_ESPRD01285372,2021-08-12 20:31:29.000000,
SANDATA,039,470,DataFix_ESPRD01285372,2021-08-12 20:31:29.000000,
SANDATA,039,471,DataFix_ESPRD01285372,2021-08-12 20:31:30.000000,
SANDATA,039,472,DataFix_ESPRD01285372,2021-08-12 20:31:30.000000,
SANDATA,039,473,DataFix_ESPRD01285372,2021-08-12 20:31:30.000000,
SANDATA,039,474,DataFix_ESPRD01285372,2021-08-12 20:31:30.000000,
SANDATA,039,475,DataFix_ESPRD01285372,2021-08-12 20:31:31.000000,
SANDATA,039,476,DataFix_ESPRD01285372,2021-08-12 20:31:31.000000,
SANDATA,039,477,DataFix_ESPRD01285372,2021-08-12 20:31:31.000000,
SANDATA,039,478,DataFix_ESPRD01285372,2021-08-12 20:31:31.000000,
SANDATA,039,479,DataFix_ESPRD01285372,2021-08-12 20:31:31.000000,
SANDATA,039,480,DataFix_ESPRD01285372,2021-08-12 20:31:32.000000,
SANDATA,039,481,DataFix_ESPRD01285372,2021-08-12 20:31:32.000000,
SANDATA,039,482,DataFix_ESPRD01285372,2021-08-12 20:31:32.000000,
SANDATA,039,483,DataFix_ESPRD01285372,2021-08-12 20:31:32.000000,
SANDATA,039,484,DataFix_ESPRD01285372,2021-08-12 20:31:32.000000,
SANDATA,039,485,DataFix_ESPRD01285372,2021-08-12 20:31:32.000000,
SANDATA,039,486,DataFix_ESPRD01285372,2021-08-12 20:31:33.000000,
SANDATA,039,488,DataFix_ESPRD01285372,2021-08-12 20:31:33.000000,
SANDATA,039,490,DataFix_ESPRD01285372,2021-08-12 20:31:33.000000,
SANDATA,039,492,DataFix_ESPRD01285372,2021-08-12 20:31:33.000000,
SANDATA,039,493,DataFix_ESPRD01285372,2021-08-12 20:31:33.000000,
SANDATA,039,495,DataFix_ESPRD01285372,2021-08-12 20:31:34.000000,
SANDATA,039,497,DataFix_ESPRD01285372,2021-08-12 20:31:34.000000,
SANDATA,039,498,DataFix_ESPRD01285372,2021-08-12 20:31:34.000000,
SANDATA,039,499,DataFix_ESPRD01285372,2021-08-12 20:31:34.000000,
SANDATA,039,500,DataFix_ESPRD01285372,2021-08-12 20:31:34.000000,
SANDATA,039,501,DataFix_ESPRD01285372,2021-08-12 20:31:35.000000,
SANDATA,039,502,DataFix_ESPRD01285372,2021-08-12 20:31:35.000000,
SANDATA,039,503,DataFix_ESPRD01285372,2021-08-12 20:31:35.000000,
SANDATA,039,504,DataFix_ESPRD01285372,2021-08-12 20:31:35.000000,
SANDATA,039,505,DataFix_ESPRD01285372,2021-08-12 20:31:35.000000,
SANDATA,039,506,DataFix_ESPRD01285372,2021-08-12 20:31:36.000000,
SANDATA,039,507,DataFix_ESPRD01285372,2021-08-12 20:31:36.000000,
SANDATA,039,508,DataFix_ESPRD01285372,2021-08-12 20:31:36.000000,
SANDATA,039,509,DataFix_ESPRD01285372,2021-08-12 20:31:36.000000,
SANDATA,039,510,DataFix_ESPRD01285372,2021-08-12 20:31:36.000000,
SANDATA,039,511,DataFix_ESPRD01285372,2021-08-12 20:31:36.000000,
SANDATA,039,512,DataFix_ESPRD01285372,2021-08-12 20:31:37.000000,
SANDATA,039,513,DataFix_ESPRD01285372,2021-08-12 20:31:37.000000,
SANDATA,039,514,DataFix_ESPRD01285372,2021-08-12 20:31:37.000000,
SANDATA,039,515,DataFix_ESPRD01285372,2021-08-12 20:31:37.000000,
SANDATA,039,516,DataFix_ESPRD01285372,2021-08-12 20:31:37.000000,
SANDATA,039,517,DataFix_ESPRD01285372,2021-08-12 20:31:38.000000,
SANDATA,039,518,DataFix_ESPRD01285372,2021-08-12 20:31:38.000000,
SANDATA,039,519,DataFix_ESPRD01285372,2021-08-12 20:31:38.000000,
SANDATA,039,520,DataFix_ESPRD01285372,2021-08-12 20:31:38.000000,
SANDATA,039,521,DataFix_ESPRD01285372,2021-08-12 20:31:38.000000,
SANDATA,039,522,DataFix_ESPRD01285372,2021-08-12 20:31:39.000000,
SANDATA,039,523,DataFix_ESPRD01285372,2021-08-12 20:31:39.000000,
SANDATA,039,524,DataFix_ESPRD01285372,2021-08-12 20:31:39.000000,
SANDATA,039,525,DataFix_ESPRD01285372,2021-08-12 20:31:39.000000,
SANDATA,039,526,DataFix_ESPRD01285372,2021-08-12 20:31:39.000000,
SANDATA,039,528,DataFix_ESPRD01285372,2021-08-12 20:31:40.000000,
SANDATA,039,529,DataFix_ESPRD01285372,2021-08-12 20:31:40.000000,
SANDATA,039,530,DataFix_ESPRD01285372,2021-08-12 20:31:40.000000,
SANDATA,039,531,DataFix_ESPRD01285372,2021-08-12 20:31:40.000000,
SANDATA,039,532,DataFix_ESPRD01285372,2021-08-12 20:31:40.000000,
SANDATA,039,533,DataFix_ESPRD01285372,2021-08-12 20:31:41.000000,
SANDATA,039,534,DataFix_ESPRD01285372,2021-08-12 20:31:41.000000,
SANDATA,039,535,DataFix_ESPRD01285372,2021-08-12 20:31:41.000000,
SANDATA,039,536,DataFix_ESPRD01285372,2021-08-12 20:31:41.000000,
SANDATA,039,537,DataFix_ESPRD01285372,2021-08-12 20:31:42.000000,
SANDATA,039,538,DataFix_ESPRD01285372,2021-08-12 20:31:42.000000,
SANDATA,039,539,DataFix_ESPRD01285372,2021-08-12 20:31:42.000000,
