R_FUNC_AREA_CD,R_LIST_NUM,R_LIST_DTL_SK,R_LOB_CD,R_LIST_BEG_DT,R_LIST_BEG_VALUE,R_VOID_DT,R_LIST_END_DT,R_LIST_END_VALUE,R_LIST_SORT_NUM,L_HIBERNATE_VER_NUM,G_AUD_USER_ID,G_AUD_TS,G_AUD_ADD_USER_ID,G_AUD_ADD_TS
P1,1050,1010506,MED,01-JAN-01,9:00am,,31-DEC-99,9:00am,19,0,JPRYOR,16-JUL-09 12.00.00.000000000 AM,JPRYOR,16-JUL-09 12.00.00.000000000 AM
P1,1050,1010507,MED,01-JAN-01,9:30am,,31-DEC-99,9:30am,20,0,JPRYOR,16-JUL-09 12.00.00.000000000 AM,JPRYOR,16-JUL-09 12.00.00.000000000 AM
P1,1061,1014078,MED,01-JAN-01,225A00000X,,31-DEC-99,,,0,JPRYOR,21-JUL-09 12.00.00.000000000 AM,JPRYOR,21-JUL-09 12.00.00.000000000 AM
P1,1061,1014079,MED,01-JAN-01,225B00000X,,31-DEC-99,,,0,JPRYOR,21-JUL-09 12.00.00.000000000 AM,JPRYOR,21-JUL-09 12.00.00.000000000 AM
P1,1020,1014104,MED,01-JAN-01,S659,,31-DEC-99,,,0,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM
P1,1037,1014105,MED,01-JAN-01,A,,31-DEC-99,,,0,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM
P1,1037,1014106,MED,01-JAN-01,T,,31-DEC-99,,,0,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM
P1,1002,1014107,MED,01-JAN-01,VN,,31-DEC-99,,,0,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM
P1,1020,1014108,MED,01-JAN-01,S660,,31-DEC-99,,,0,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM
P1,1020,1014109,MED,01-JAN-01,S670,,31-DEC-99,,,0,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM
P1,1089,1014110,MED,01-JAN-01,301,,31-DEC-99,330,,0,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM
P1,1089,1014111,MED,01-JAN-01,333,,31-DEC-99,335,,0,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM
P1,1089,1014112,MED,01-JAN-01,602,,31-DEC-99,602,,0,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM
P1,1089,1014113,MED,01-JAN-01,604,,31-DEC-99,604,,0,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM
P1,1089,1014114,MED,01-JAN-01,606,,31-DEC-99,606,,0,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM
P1,1089,1014115,MED,01-JAN-01,609,,31-DEC-99,609,,0,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM
P1,1089,1014116,MED,01-JAN-01,611,,31-DEC-99,611,,0,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM
P1,1089,1014117,MED,01-JAN-01,616,,31-DEC-99,617,,0,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM
P1,1020,1014397,MED,01-JAN-01,M150,,31-DEC-99,,,0,INITIAL_LOAD,14-AUG-08 12.00.00.000000000 AM,INITIAL_LOAD,14-AUG-08 12.00.00.000000000 AM
P1,1020,1014398,MED,01-JAN-01,M350,,31-DEC-99,,,0,INITIAL_LOAD,14-AUG-08 12.00.00.000000000 AM,INITIAL_LOAD,14-AUG-08 12.00.00.000000000 AM
P1,1061,1014399,MED,01-JAN-01,376K00000X,,31-DEC-99,,,0,JPRYOR,21-JUL-09 12.00.00.000000000 AM,JPRYOR,21-JUL-09 12.00.00.000000000 AM
P1,1061,1014417,MED,01-JAN-01,261QP2000X,,31-DEC-99,,,0,JPRYOR,21-JUL-09 12.00.00.000000000 AM,JPRYOR,21-JUL-09 12.00.00.000000000 AM
P1,1061,1014418,MED,01-JAN-01,363LW0102X,,31-DEC-99,,,0,JPRYOR,21-JUL-09 12.00.00.000000000 AM,JPRYOR,21-JUL-09 12.00.00.000000000 AM
P1,1061,1014419,MED,01-JAN-01,363LX0001X,,31-DEC-99,,,0,JPRYOR,21-JUL-09 12.00.00.000000000 AM,JPRYOR,21-JUL-09 12.00.00.000000000 AM
P1,1061,1014420,MED,01-JAN-01,363LX0106X,,31-DEC-99,,,0,JPRYOR,21-JUL-09 12.00.00.000000000 AM,JPRYOR,21-JUL-09 12.00.00.000000000 AM
P1,1061,1014421,MED,01-JAN-01,364S00000X,,31-DEC-99,,,0,JPRYOR,21-JUL-09 12.00.00.000000000 AM,JPRYOR,21-JUL-09 12.00.00.000000000 AM
P1,1061,1014422,MED,01-JAN-01,364SA2100X,,31-DEC-99,,,0,JPRYOR,21-JUL-09 12.00.00.000000000 AM,JPRYOR,21-JUL-09 12.00.00.000000000 AM
P1,1061,1014423,MED,01-JAN-01,364SA2200X,,31-DEC-99,,,0,JPRYOR,21-JUL-09 12.00.00.000000000 AM,JPRYOR,21-JUL-09 12.00.00.000000000 AM
P1,1061,1014424,MED,01-JAN-01,364SC0200X,,31-DEC-99,,,0,JPRYOR,21-JUL-09 12.00.00.000000000 AM,JPRYOR,21-JUL-09 12.00.00.000000000 AM
P1,1061,1014425,MED,01-JAN-01,364SC1501X,,31-DEC-99,,,0,JPRYOR,21-JUL-09 12.00.00.000000000 AM,JPRYOR,21-JUL-09 12.00.00.000000000 AM
P1,49,1014428,MED,01-JAN-05,226300000X,,31-DEC-99,226300000X,,0,JPRYOR,05-JUN-09 12.00.00.000000000 AM,JPRYOR,05-JUN-09 12.00.00.000000000 AM
P1,49,1014429,MED,01-JAN-05,227800000X,,31-DEC-99,227800000X,,0,JPRYOR,05-JUN-09 12.00.00.000000000 AM,JPRYOR,05-JUN-09 12.00.00.000000000 AM
P1,49,1014430,MED,01-JAN-05,2278C0205X,,31-DEC-99,2278C0205X,,0,JPRYOR,05-JUN-09 12.00.00.000000000 AM,JPRYOR,05-JUN-09 12.00.00.000000000 AM
P1,49,1014431,MED,01-JAN-05,2278E0002X,,31-DEC-99,2278E0002X,,0,JPRYOR,05-JUN-09 12.00.00.000000000 AM,JPRYOR,05-JUN-09 12.00.00.000000000 AM
P1,49,1014432,MED,01-JAN-05,2278E1000X,,31-DEC-99,2278E1000X,,0,JPRYOR,05-JUN-09 12.00.00.000000000 AM,JPRYOR,05-JUN-09 12.00.00.000000000 AM
P1,1050,1015881,MED,01-JAN-01,12:00am,,31-DEC-99,12:00am,1,0,JPRYOR,16-JUL-09 12.00.00.000000000 AM,JPRYOR,16-JUL-09 12.00.00.000000000 AM
P1,1050,1015882,MED,01-JAN-01,12:30am,,31-DEC-99,12:30am,2,0,JPRYOR,16-JUL-09 12.00.00.000000000 AM,JPRYOR,16-JUL-09 12.00.00.000000000 AM
P1,1050,1015883,MED,01-JAN-01,1:00am,,31-DEC-99,1:00am,3,0,JPRYOR,16-JUL-09 12.00.00.000000000 AM,JPRYOR,16-JUL-09 12.00.00.000000000 AM
P1,1050,1015884,MED,01-JAN-01,1:30am,,31-DEC-99,1:30am,4,0,JPRYOR,16-JUL-09 12.00.00.000000000 AM,JPRYOR,16-JUL-09 12.00.00.000000000 AM
P1,1050,1015885,MED,01-JAN-01,2:00am,,31-DEC-99,2:00am,5,0,JPRYOR,16-JUL-09 12.00.00.000000000 AM,JPRYOR,16-JUL-09 12.00.00.000000000 AM
P1,1050,1015886,MED,01-JAN-01,2:30am,,31-DEC-99,2:30am,6,0,JPRYOR,16-JUL-09 12.00.00.000000000 AM,JPRYOR,16-JUL-09 12.00.00.000000000 AM
P1,1050,1015887,MED,01-JAN-01,3:00am,,31-DEC-99,3:00am,7,0,JPRYOR,16-JUL-09 12.00.00.000000000 AM,JPRYOR,16-JUL-09 12.00.00.000000000 AM
P1,1050,1015888,MED,01-JAN-01,3:30am,,31-DEC-99,3:30am,8,0,JPRYOR,16-JUL-09 12.00.00.000000000 AM,JPRYOR,16-JUL-09 12.00.00.000000000 AM
P1,1050,1015889,MED,01-JAN-01,4:00am,,31-DEC-99,4:00am,9,0,JPRYOR,16-JUL-09 12.00.00.000000000 AM,JPRYOR,16-JUL-09 12.00.00.000000000 AM
P1,1050,1015890,MED,01-JAN-01,4:30am,,31-DEC-99,4:30am,10,0,JPRYOR,16-JUL-09 12.00.00.000000000 AM,JPRYOR,16-JUL-09 12.00.00.000000000 AM
P1,1050,1015891,MED,01-JAN-01,5:00am,,31-DEC-99,5:00am,11,0,JPRYOR,16-JUL-09 12.00.00.000000000 AM,JPRYOR,16-JUL-09 12.00.00.000000000 AM
P1,1050,1015892,MED,01-JAN-01,5:30am,,31-DEC-99,5:30am,12,0,JPRYOR,16-JUL-09 12.00.00.000000000 AM,JPRYOR,16-JUL-09 12.00.00.000000000 AM
P1,1050,1015893,MED,01-JAN-01,6:00am,,31-DEC-99,6:00am,13,0,JPRYOR,16-JUL-09 12.00.00.000000000 AM,JPRYOR,16-JUL-09 12.00.00.000000000 AM
P1,1050,1015894,MED,01-JAN-01,6:30am,,31-DEC-99,6:30am,14,0,JPRYOR,16-JUL-09 12.00.00.000000000 AM,JPRYOR,16-JUL-09 12.00.00.000000000 AM
P1,1050,1015895,MED,01-JAN-01,7:00am,,31-DEC-99,7:00am,15,0,JPRYOR,16-JUL-09 12.00.00.000000000 AM,JPRYOR,16-JUL-09 12.00.00.000000000 AM
P1,1050,1015896,MED,01-JAN-01,7:30am,,31-DEC-99,7:30am,16,0,JPRYOR,16-JUL-09 12.00.00.000000000 AM,JPRYOR,16-JUL-09 12.00.00.000000000 AM
P1,1093,1015897,MED,01-JAN-01,731,,31-DEC-99,731,,0,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM
P1,1093,1015898,MED,01-JAN-01,734,,31-DEC-99,737,,0,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM
P1,1093,1015899,MED,01-JAN-01,742,,31-DEC-99,757,,0,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM
P1,1094,1015900,MED,01-JAN-01,801,,31-DEC-99,803,,0,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM
P1,1093,1015910,MED,01-JAN-01,701,,31-DEC-99,717,,0,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM
P1,1093,1015911,MED,01-JAN-01,719,,31-DEC-99,728,,0,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM
P1,1067,1020208,MED,01-JAN-09,01,,31-DEC-99,01,,0,JPRYOR,05-FEB-10 12.00.00.000000000 AM,JPRYOR,05-FEB-10 12.00.00.000000000 AM
P1,1067,1020209,MED,01-JAN-09,02,,31-DEC-99,02,,0,JPRYOR,05-FEB-10 12.00.00.000000000 AM,JPRYOR,05-FEB-10 12.00.00.000000000 AM
P1,1067,1020210,MED,01-JAN-09,03,,31-DEC-99,03,,0,JPRYOR,05-FEB-10 12.00.00.000000000 AM,JPRYOR,05-FEB-10 12.00.00.000000000 AM
P1,1067,1020211,MED,01-JAN-09,04,,31-DEC-99,04,,0,JPRYOR,05-FEB-10 12.00.00.000000000 AM,JPRYOR,05-FEB-10 12.00.00.000000000 AM
P1,1067,1020217,MED,01-JAN-09,05,,31-DEC-99,05,,0,JPRYOR,05-FEB-10 12.00.00.000000000 AM,JPRYOR,05-FEB-10 12.00.00.000000000 AM
P1,1067,1020218,MED,01-JAN-09,06,,31-DEC-99,06,,0,JPRYOR,05-FEB-10 12.00.00.000000000 AM,JPRYOR,05-FEB-10 12.00.00.000000000 AM
P1,1067,1020219,MED,01-JAN-09,07,,31-DEC-99,07,,0,JPRYOR,05-FEB-10 12.00.00.000000000 AM,JPRYOR,05-FEB-10 12.00.00.000000000 AM
P1,1067,1020220,MED,01-JAN-09,08,,31-DEC-99,08,,0,JPRYOR,05-FEB-10 12.00.00.000000000 AM,JPRYOR,05-FEB-10 12.00.00.000000000 AM
P1,1067,1020221,MED,01-JAN-09,09,,31-DEC-99,09,,0,JPRYOR,05-FEB-10 12.00.00.000000000 AM,JPRYOR,05-FEB-10 12.00.00.000000000 AM
P1,1067,1020222,MED,01-JAN-09,10,,31-DEC-99,10,,0,JPRYOR,05-FEB-10 12.00.00.000000000 AM,JPRYOR,05-FEB-10 12.00.00.000000000 AM
P1,1067,1020223,MED,01-JAN-09,11,,31-DEC-99,11,,0,JPRYOR,05-FEB-10 12.00.00.000000000 AM,JPRYOR,05-FEB-10 12.00.00.000000000 AM
P1,13,1011465,MED,01-JAN-08,12,,31-DEC-99,12,1,0,JPRYOR,27-AUG-10 12.00.00.000000000 AM,JPRYOR,27-AUG-10 12.00.00.000000000 AM
P1,13,1011466,MED,01-JAN-08,21,,31-DEC-99,21,2,0,JPRYOR,27-AUG-10 12.00.00.000000000 AM,JPRYOR,27-AUG-10 12.00.00.000000000 AM
P1,13,1011467,MED,01-JAN-08,TJ,,31-DEC-99,TJ,3,0,JPRYOR,27-AUG-10 12.00.00.000000000 AM,JPRYOR,27-AUG-10 12.00.00.000000000 AM
P1,1018,1011786,MED,01-JAN-01,V,,31-DEC-99,,,0,INITIAL_LOAD,24-APR-07 12.00.00.000000000 AM,INITIAL_LOAD,24-APR-07 12.00.00.000000000 AM
P1,1034,1011787,MED,01-JAN-01,VV,,31-DEC-99,,,0,INITIAL_LOAD,24-APR-07 12.00.00.000000000 AM,INITIAL_LOAD,24-APR-07 12.00.00.000000000 AM
P1,1054,1011809,MED,01-JAN-08,122,,31-DEC-99,,,0,JPRYOR,25-MAY-10 12.00.00.000000000 AM,JPRYOR,25-MAY-10 12.00.00.000000000 AM
P1,1128,1011811,MED,01-JAN-01,44,,31-DEC-99,,,0,INITIAL_LOAD,23-OCT-08 12.00.00.000000000 AM,INITIAL_LOAD,23-OCT-08 12.00.00.000000000 AM
P1,1128,1011812,MED,01-JAN-01,45,,31-DEC-99,,,0,INITIAL_LOAD,23-OCT-08 12.00.00.000000000 AM,INITIAL_LOAD,23-OCT-08 12.00.00.000000000 AM
P1,1128,1011813,MED,01-JAN-01,46,,31-DEC-99,,,0,INITIAL_LOAD,23-OCT-08 12.00.00.000000000 AM,INITIAL_LOAD,23-OCT-08 12.00.00.000000000 AM
P1,1128,1011814,MED,01-JAN-01,47,,31-DEC-99,,,0,INITIAL_LOAD,23-OCT-08 12.00.00.000000000 AM,INITIAL_LOAD,23-OCT-08 12.00.00.000000000 AM
P1,1109,1013120,MED,01-JAN-01,009,,31-DEC-99,009,,0,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM
P1,1109,1013121,MED,01-JAN-01,080,,31-DEC-99,080,,0,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM,INITIAL_LOAD,17-DEC-07 12.00.00.000000000 AM
P1,49,1007085,MED,01-JAN-05,374K00000X,,31-DEC-99,374K00000X,,0,JPRYOR,06-SEP-11 12.00.00.000000000 AM,JPRYOR,06-SEP-11 12.00.00.000000000 AM
P1,1044,1007119,MED,01-JAN-01,04,,31-DEC-99,04,,0,mboufford,02-MAY-07 12.00.00.000000000 AM,mboufford,02-MAY-07 12.00.00.000000000 AM
P1,1044,1007120,MED,01-JAN-01,05,,31-DEC-99,05,,0,mboufford,02-MAY-07 12.00.00.000000000 AM,mboufford,02-MAY-07 12.00.00.000000000 AM
P1,1044,1007124,MED,01-JAN-01,06,,31-DEC-99,06,,0,mboufford,02-MAY-07 12.00.00.000000000 AM,mboufford,02-MAY-07 12.00.00.000000000 AM
P1,1044,1007125,MED,01-JAN-01,07,,31-DEC-99,07,,0,mboufford,02-MAY-07 12.00.00.000000000 AM,mboufford,02-MAY-07 12.00.00.000000000 AM
P1,1044,1007126,MED,01-JAN-01,08,,31-DEC-99,08,,0,mboufford,02-MAY-07 12.00.00.000000000 AM,mboufford,02-MAY-07 12.00.00.000000000 AM
P1,1044,1007127,MED,01-JAN-01,09,,31-DEC-99,09,,0,mboufford,02-MAY-07 12.00.00.000000000 AM,mboufford,02-MAY-07 12.00.00.000000000 AM
P1,1027,1008430,MED,01-JAN-01,015,,31-DEC-99,015,2,0,JPRYOR,27-AUG-10 12.00.00.000000000 AM,JPRYOR,27-AUG-10 12.00.00.000000000 AM
P1,1027,1008431,MED,01-JAN-01,014,,31-DEC-99,014,3,0,JPRYOR,27-AUG-10 12.00.00.000000000 AM,JPRYOR,27-AUG-10 12.00.00.000000000 AM
P1,1027,1008432,MED,01-JAN-01,025,,31-DEC-99,025,4,0,JPRYOR,27-AUG-10 12.00.00.000000000 AM,JPRYOR,27-AUG-10 12.00.00.000000000 AM
P1,1027,1008433,MED,01-JAN-01,021,,31-DEC-99,021,5,0,JPRYOR,27-AUG-10 12.00.00.000000000 AM,JPRYOR,27-AUG-10 12.00.00.000000000 AM
P1,1027,1008434,MED,01-JAN-01,006,,31-DEC-99,006,6,0,JPRYOR,27-AUG-10 12.00.00.000000000 AM,JPRYOR,27-AUG-10 12.00.00.000000000 AM
P1,1020,1005253,MED,01-JAN-01,M030,,31-DEC-99,,,0,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM
P1,1020,1005254,MED,01-JAN-01,M090,,31-DEC-99,,,0,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM
P1,1020,1005255,MED,01-JAN-01,M900,,31-DEC-99,,,0,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM
P1,1035,1005257,MED,01-JAN-01,3,,31-DEC-99,3,,0,JPRYOR,08-SEP-10 12.00.00.000000000 AM,JPRYOR,08-SEP-10 12.00.00.000000000 AM
P1,1035,1005258,MED,01-JAN-01,1,,31-DEC-99,1,,0,JPRYOR,08-SEP-10 12.00.00.000000000 AM,JPRYOR,08-SEP-10 12.00.00.000000000 AM
P1,41,1009303,MED,01-JAN-01,M220,,31-DEC-99,M220,,0,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM
P1,41,1009304,MED,01-JAN-01,M221,,31-DEC-99,M221,,0,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM
P1,41,1009305,MED,01-JAN-01,M222,,31-DEC-99,M222,,0,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM
P1,41,1009306,MED,01-JAN-01,M300,,31-DEC-99,M300,,0,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM
P1,44,1009307,MED,01-JAN-01,M220,,31-DEC-99,M220,,0,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM
P1,44,1009308,MED,01-JAN-01,M221,,31-DEC-99,M221,,0,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM
P1,44,1009309,MED,01-JAN-01,M222,,31-DEC-99,M222,,0,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM
P1,44,1009310,MED,01-JAN-01,M520,,31-DEC-99,M520,,0,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM
P1,44,1009311,MED,01-JAN-01,M521,,31-DEC-99,M521,,0,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM
P1,44,1009312,MED,01-JAN-01,M900,,31-DEC-99,M900,,0,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM,INITIAL_LOAD,17-FEB-09 12.00.00.000000000 AM
P1,49,1009350,MED,01-JAN-05,207U00000X,,31-DEC-99,207U00000X,,0,JPRYOR,05-JUN-09 12.00.00.000000000 AM,JPRYOR,05-JUN-09 12.00.00.000000000 AM
P1,49,1009351,MED,01-JAN-05,207UN0901X,,31-DEC-99,207UN0901X,,0,JPRYOR,05-JUN-09 12.00.00.000000000 AM,JPRYOR,05-JUN-09 12.00.00.000000000 AM
P1,49,1009352,MED,01-JAN-05,207UN0902X,,31-DEC-99,207UN0902X,,0,JPRYOR,05-JUN-09 12.00.00.000000000 AM,JPRYOR,05-JUN-09 12.00.00.000000000 AM
P1,49,1008131,MED,01-JAN-05,2080P0216X,,31-DEC-99,2080P0216X,,0,JPRYOR,05-JUN-09 12.00.00.000000000 AM,JPRYOR,05-JUN-09 12.00.00.000000000 AM
P1,1061,1006850,MED,01-JAN-01,374K00000X,,31-DEC-99,374K00000X,,0,JPRYOR,06-SEP-11 12.00.00.000000000 AM,JPRYOR,06-SEP-11 12.00.00.000000000 AM
P1,49,1006851,MED,01-JAN-05,174200000X,,31-DEC-99,174200000X,,0,JPRYOR,06-SEP-11 12.00.00.000000000 AM,JPRYOR,06-SEP-11 12.00.00.000000000 AM
P1,49,1006852,MED,01-JAN-05,174H00000X,,31-DEC-99,174H00000X,,0,JPRYOR,06-SEP-11 12.00.00.000000000 AM,JPRYOR,06-SEP-11 12.00.00.000000000 AM
P1,49,1008128,MED,01-JAN-05,2080P0208X,,31-DEC-99,2080P0208X,,0,JPRYOR,05-JUN-09 12.00.00.000000000 AM,JPRYOR,05-JUN-09 12.00.00.000000000 AM
P1,49,1008129,MED,01-JAN-05,2080P0210X,,31-DEC-99,2080P0210X,,0,JPRYOR,05-JUN-09 12.00.00.000000000 AM,JPRYOR,05-JUN-09 12.00.00.000000000 AM
P1,49,1008130,MED,01-JAN-05,2080P0214X,,31-DEC-99,2080P0214X,,0,JPRYOR,05-JUN-09 12.00.00.000000000 AM,JPRYOR,05-JUN-09 12.00.00.000000000 AM
