R_FUNC_AREA_CD,R_PARAM_NUM,R_PARAM_NAM,R_PARAM_TY_CD,G_NOTE_SET_SK,L_HIBERNATE_VER_NUM,G_AUD_USER_ID,G_AUD_TS,G_AUD_ADD_USER_ID,G_AUD_ADD_TS
P1,65,RV_ENROLL_STATUS,T,,0,TCR-E05-4710-CR9389,19-MAR-17 07.17.38.000000000 AM,TCR-E05-4710-CR9389,19-MAR-17 07.17.38.000000000 AM
P1,66,RV_MAX_NUMBER_PERCYCLE,N,,6,SPRATT01,12-SEP-22 10.58.59.621000000 AM,TCR-E05-4710-CR9389,19-MAR-17 07.17.39.000000000 AM
P1,67,RV_DUE_DATE_PRIORITY,T,,0,TCR-E05-4710-CR9389,19-MAR-17 07.17.39.000000000 AM,TCR-E05-4710-CR9389,19-MAR-17 07.17.39.000000000 AM
P1,68,RV_DUE_LETTER_1,N,,0,TCR-E05-4710-CR9389,19-MAR-17 07.17.39.000000000 AM,TCR-E05-4710-CR9389,19-MAR-17 07.17.39.000000000 AM
P1,69,RV_DUE_LETTER_2,N,,0,TCR-E05-4710-CR9389,19-MAR-17 07.17.39.000000000 AM,TCR-E05-4710-CR9389,19-MAR-17 07.17.39.000000000 AM
P1,70,RV_DUE_LETTER_3,N,,0,TCR-E05-4710-CR9389,19-MAR-17 07.17.39.000000000 AM,TCR-E05-4710-CR9389,19-MAR-17 07.17.39.000000000 AM
P1,71,RV_DUE_LETTER_4,N,,0,TCR-E05-4710-CR9389,19-MAR-17 07.17.40.000000000 AM,TCR-E05-4710-CR9389,19-MAR-17 07.17.40.000000000 AM
P1,72,Medicaid Director,T,50614226,1,SPURCELLINQ72,01-FEB-18 11.14.52.162000000 AM,TCR-E05-4710-CR9411,19-MAR-17 07.21.22.000000000 AM
P1,83,Record Type,T,,0,TCR-E05-6620,28-JUL-19 11.41.43.534831000 AM,TCR-E05-6620,28-JUL-19 11.41.43.534831000 AM
P1,84,Panel ID,T,,0,TCR-E05-6620,28-JUL-19 11.41.43.540904000 AM,TCR-E05-6620,28-JUL-19 11.41.43.540904000 AM
P1,89,Provider Relations Number,T,,0,NH TCR-E05-10047-20220922,02-OCT-22 12.57.36.000000000 AM,NH TCR-E05-10047-20220922,02-OCT-22 12.57.36.000000000 AM
P1,90,Provider Relations Tollfree #,T,,0,NH TCR-E05-10047-20220922,02-OCT-22 12.57.36.000000000 AM,NH TCR-E05-10047-20220922,02-OCT-22 12.57.36.000000000 AM
P1,91,Provider Relations Website,T,,0,NH TCR-E05-10047-20220922,02-OCT-22 12.57.36.000000000 AM,NH TCR-E05-10047-20220922,02-OCT-22 12.57.36.000000000 AM
P1,92,Temporary Password Days,N,,0,NH TCR-E05-10047-20220922,02-OCT-22 12.57.36.000000000 AM,NH TCR-E05-10047-20220922,02-OCT-22 12.57.36.000000000 AM
P1,93,Existing Web Reg Max Months,N,,0,NH TCR-E05-10120-20221031,06-NOV-22 02.09.47.000000000 AM,NH TCR-E05-10047-20220922,02-OCT-22 12.57.36.000000000 AM
P1,94,Max Cred Retrieval Months,N,,0,NH TCR-E05-10047-20220922,02-OCT-22 12.57.36.000000000 AM,NH TCR-E05-10047-20220922,02-OCT-22 12.57.36.000000000 AM
P1,74,Resource Title,T,,0,TCR-E05-6714,01-SEP-19 01.53.46.000000000 AM,TCR-E05-6714,01-SEP-19 01.53.46.000000000 AM
P1,75,Division Name,T,,0,TCR-E05-6714,01-SEP-19 01.53.47.000000000 AM,TCR-E05-6714,01-SEP-19 01.53.47.000000000 AM
P1,76,Address Line 1,T,,0,TCR-E05-6714,01-SEP-19 01.53.47.000000000 AM,TCR-E05-6714,01-SEP-19 01.53.47.000000000 AM
P1,77,Address Line 2,T,,0,TCR-E05-6714,01-SEP-19 01.53.47.000000000 AM,TCR-E05-6714,01-SEP-19 01.53.47.000000000 AM
P1,78,Phone Number,T,,0,TCR-E05-6714,01-SEP-19 01.53.47.000000000 AM,TCR-E05-6714,01-SEP-19 01.53.47.000000000 AM
P1,79,Toll Free Number,T,,0,TCR-E05-6714,01-SEP-19 01.53.47.000000000 AM,TCR-E05-6714,01-SEP-19 01.53.47.000000000 AM
P1,80,Fax Label and Number,T,,0,TCR-E05-6714,01-SEP-19 01.53.47.000000000 AM,TCR-E05-6714,01-SEP-19 01.53.47.000000000 AM
P1,81,TDD Access Label and Number,T,,0,TCR-E05-6714,01-SEP-19 01.53.47.000000000 AM,TCR-E05-6714,01-SEP-19 01.53.47.000000000 AM
P1,82,Website Address,T,,0,TCR-E05-6714,01-SEP-19 01.53.47.000000000 AM,TCR-E05-6714,01-SEP-19 01.53.47.000000000 AM
P1,96,Reval Forcast Start Date,D,,0,NH TCR-E05-10521-20230320,26-MAR-23 10.31.42.270540000 AM,NH TCR-E05-10521-20230320,26-MAR-23 10.31.42.270540000 AM
P1,95,Prov app purge X no of months,N,,0,TCR-E05-10958,13-AUG-23 12.47.06.000000000 AM,TCR-E05-10852,09-JUL-23 02.02.34.000000000 AM
P1,97,EVV Provider Last Run Date,Z,,0,NH TCR-E05-10840-20230703,09-JUL-23 02.06.21.000000000 AM,NH TCR-E05-10840-20230703,09-JUL-23 02.06.21.000000000 AM
P1,98,EVV Provider Batch Cycle Dt,D,,0,NH TCR-E05-10840-20230703,09-JUL-23 02.06.21.000000000 AM,NH TCR-E05-10840-20230703,09-JUL-23 02.06.21.000000000 AM
P1,160,Mem Svcs Num,T,,0,TCR-E05-11878,08-SEP-24 01.02.27.000000000 AM,TCR-E05-11878,08-SEP-24 01.02.27.000000000 AM
P1,161,Mem Svcs Tollfree Num,T,,0,TCR-E05-11878,08-SEP-24 01.02.27.000000000 AM,TCR-E05-11878,08-SEP-24 01.02.27.000000000 AM
P1,162,Mem Svcs Num Option,T,,0,TCR-E05-11878,08-SEP-24 01.02.28.000000000 AM,TCR-E05-11878,08-SEP-24 01.02.28.000000000 AM
P1,111,Provider Relations Email,T,,0,TCR-E05-11865,08-SEP-24 01.09.02.000000000 AM,TCR-E05-11865,08-SEP-24 01.09.02.000000000 AM
P1,112,Prov Rel Fax Number,T,,0,TCR-E05-11865,08-SEP-24 01.09.02.000000000 AM,TCR-E05-11865,08-SEP-24 01.09.02.000000000 AM
P1,113,Prov Rel Operation Hours,T,,0,TCR-E05-11865,08-SEP-24 01.09.02.000000000 AM,TCR-E05-11865,08-SEP-24 01.09.02.000000000 AM
P1,114,Provider Appeals Unit,T,,0,TCR-E05-11865,08-SEP-24 01.09.02.000000000 AM,TCR-E05-11865,08-SEP-24 01.09.02.000000000 AM
P1,115,Prov Appeals Adr Line1,T,,0,TCR-E05-11865,08-SEP-24 01.09.03.000000000 AM,TCR-E05-11865,08-SEP-24 01.09.03.000000000 AM
P1,116,Prov Appeals Adr Line2,T,,0,TCR-E05-11865,08-SEP-24 01.09.03.000000000 AM,TCR-E05-11865,08-SEP-24 01.09.03.000000000 AM
P1,117,Prov Appeals Number,T,,0,TCR-E05-11865,08-SEP-24 01.09.03.000000000 AM,TCR-E05-11865,08-SEP-24 01.09.03.000000000 AM
P1,118,Revl Suspense Exc Code,T,,0,TCR-E05-11865,08-SEP-24 01.09.03.000000000 AM,TCR-E05-11865,08-SEP-24 01.09.03.000000000 AM
P1,119,Revl Suspense Location Code,T,,0,TCR-E05-11865,08-SEP-24 01.09.03.000000000 AM,TCR-E05-11865,08-SEP-24 01.09.03.000000000 AM
P1,120,Revl Suspense Src Code,T,,0,TCR-E05-11865,08-SEP-24 01.09.04.000000000 AM,TCR-E05-11865,08-SEP-24 01.09.04.000000000 AM
P1,121,Revl Suspense Rsn Code,T,,0,TCR-E05-11865,08-SEP-24 01.09.04.000000000 AM,TCR-E05-11865,08-SEP-24 01.09.04.000000000 AM
P1,122,2nd Ind Reval Letter X Days,N,,0,TCR-E05-11865,08-SEP-24 01.09.04.000000000 AM,TCR-E05-11865,08-SEP-24 01.09.04.000000000 AM
P1,123,3rd Ind Reval Letter X days,N,,0,TCR-E05-11865,08-SEP-24 01.09.04.000000000 AM,TCR-E05-11865,08-SEP-24 01.09.04.000000000 AM
P1,124,Ind Prov Selection Run Date,D,,0,TCR-E05-11865,08-SEP-24 01.09.05.000000000 AM,TCR-E05-11865,08-SEP-24 01.09.05.000000000 AM
P1,125,Ind Prov Selection Begin Date,D,,0,TCR-E05-11865,08-SEP-24 01.09.05.000000000 AM,TCR-E05-11865,08-SEP-24 01.09.05.000000000 AM
P1,126,Ind Prov Selection End Date,D,,0,TCR-E05-11865,08-SEP-24 01.09.05.000000000 AM,TCR-E05-11865,08-SEP-24 01.09.05.000000000 AM
P1,127,2nd Grp Reval Letter X Days,N,,0,TCR-E05-12018,17-NOV-24 12.43.00.000000000 AM,TCR-E05-12018,17-NOV-24 12.43.00.000000000 AM
P1,128,3rd GRP Reval Letter X days,N,,0,TCR-E05-12018,17-NOV-24 12.43.00.000000000 AM,TCR-E05-12018,17-NOV-24 12.43.00.000000000 AM
P1,129,Grp Prov Selection Run Date,D,,4,LLASSONDE05,22-APR-25 04.46.35.571000000 PM,TCR-E05-12018,17-NOV-24 12.43.01.000000000 AM
P1,130,Grp Prov Selection Begin Date,D,,4,LLASSONDE05,22-APR-25 04.49.30.255000000 PM,TCR-E05-12018,17-NOV-24 12.43.01.000000000 AM
P1,131,Group Prov Selection End Date,D,,4,SPRATT01,08-SEP-25 09.59.20.889000000 AM,TCR-E05-12018,17-NOV-24 12.43.01.000000000 AM
P1,133,CMS Resp Run Mode - P or U,T,,0,TCR-E05-12366,11-MAY-25 04.12.20.000000000 AM,TCR-E05-12366,11-MAY-25 04.12.20.000000000 AM
P1,132,Max Reval Return Days,N,,0,TCR-E05-12366,11-MAY-25 04.13.41.000000000 AM,TCR-E05-12366,11-MAY-25 04.13.41.000000000 AM
P1,140,PECOS Note Date,D,,0,TCR-E05-12535,20-JUL-25 05.40.50.000000000 AM,TCR-E05-12535,20-JUL-25 05.40.50.000000000 AM
P1,99,"Delete Revalidation status RA, RF and RX records",N,,0,TCR-E05-11580,21-APR-24 12.34.40.000000000 AM,TCR-E05-11580,21-APR-24 12.34.40.000000000 AM
P1,100,Fiserv Start Date,D,,0,NH TCR-E05-11035-20230908,17-SEP-23 01.37.04.000000000 AM,NH TCR-E05-11035-20230908,17-SEP-23 01.37.04.000000000 AM
P1,150,PRV_24_1_CS ,N,,0,PRV_24_1_CS_TEST,30-DEC-25 03.33.40.000000000 AM,PRV_24_1_CS_TEST,30-DEC-25 03.33.40.000000000 AM
P1,163,Provider Password Expiry,N,,0,CR_18128,03-APR-26 06.40.13.000000000 AM,CR_18128,03-APR-26 06.40.13.000000000 AM
