R_FUNC_AREA_CD,R_LIST_NUM,R_LIST_DESC,R_LIST_TY_CD,R_LIST_BUSN_NAM,G_NOTE_SET_SK,R_DOMAIN_NAM,L_HIBERNATE_VER_NUM,G_AUD_USER_ID,G_AUD_TS,G_AUD_ADD_USER_ID,G_AUD_ADD_TS
P1,143,IOX Svc Category Vision,PRC,IOX Svc Category vis,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.39.688672000 AM,TCR-E05-8842,19-JUN-21 07.41.39.688672000 AM
P1,144,IOX Org Roles provider,PRC,IOX Org Roles provider,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.40.394489000 AM,TCR-E05-8842,19-JUN-21 07.41.40.394489000 AM
P1,145,IOX Org Roles supplier,PRC,IOX Org Roles supplier,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.45.125917000 AM,TCR-E05-8842,19-JUN-21 07.41.45.125917000 AM
P1,146,IOX Org Roles behavioral,PRC,IOX Org Roles behavioral,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.45.588644000 AM,TCR-E05-8842,19-JUN-21 07.41.45.588644000 AM
P1,147,IOX Org Roles group,PRC,IOX Org Roles group,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.46.045458000 AM,TCR-E05-8842,19-JUN-21 07.41.46.045458000 AM
P1,148,IOX Org Roles home,PRC,IOX Org Roles home,51109772,P_TY_CD,1,SPRATT01,05-JAN-23 08.41.45.174000000 AM,TCR-E05-8842,19-JUN-21 07.41.49.602916000 AM
P1,149,IOX Org Roles hospital,PRC,IOX Org Roles hospital,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.50.575171000 AM,TCR-E05-8842,19-JUN-21 07.41.50.575171000 AM
P1,150,IOX Org Roles laboratory,PRC,IOX Org Roles laboratory,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.51.617849000 AM,TCR-E05-8842,19-JUN-21 07.41.51.617849000 AM
P1,151,IOX Org Roles other,PRC,IOX Org Roles other,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.52.076161000 AM,TCR-E05-8842,19-JUN-21 07.41.52.076161000 AM
P1,152,IOX Org Roles outpatient,PRC,IOX Org Roles outpatient,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.54.178474000 AM,TCR-E05-8842,19-JUN-21 07.41.54.178474000 AM
P1,153,IOX Org Roles pharmacy,PRC,IOX Org Roles pharmacy,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.57.037606000 AM,TCR-E05-8842,19-JUN-21 07.41.57.037606000 AM
P1,154,IOX Org Roles transport,PRC,IOX Org Roles transport,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.57.496134000 AM,TCR-E05-8842,19-JUN-21 07.41.57.496134000 AM
P1,155,IOX Org Roles hospice,PRC,IOX Org Roles hospice,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.58.311554000 AM,TCR-E05-8842,19-JUN-21 07.41.58.311554000 AM
P1,1453,Non-billing enrollment type,PRC,P_ENROL_TY_CD,,P_ENROL_TY_CD,0,CR_12242,10-NOV-19 01.36.42.253032000 AM,CR_12242,10-NOV-19 01.36.42.253032000 AM
P1,156,IOX Org Roles nurseCustodial,PRC,IOX Org Roles nurseCustodial,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.58.771511000 AM,TCR-E05-8842,19-JUN-21 07.41.58.771511000 AM
P1,157,IOX Org Roles residential,PRC,IOX Org Roles residential,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.59.407638000 AM,TCR-E05-8842,19-JUN-21 07.41.59.407638000 AM
P1,158,IOX Org Roles respite,PRC,IOX Org Roles respite,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.00.229065000 AM,TCR-E05-8842,19-JUN-21 07.42.00.229065000 AM
P1,159,IOX Prov Roles Advanced Practice Nursing Providers,PRC,IOX Prov Roles apn,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.00.689947000 AM,TCR-E05-8842,19-JUN-21 07.42.00.689947000 AM
P1,160,IOX Prov Roles Audiologist,PRC,IOX Prov Roles au,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.01.323207000 AM,TCR-E05-8842,19-JUN-21 07.42.01.323207000 AM
P1,161,IOX Prov Roles Behav Health and Social Service,PRC,IOX Prov Roles bh,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.01.785804000 AM,TCR-E05-8842,19-JUN-21 07.42.01.785804000 AM
P1,162,IOX Prov Roles Board Certified Behavior Analyst,PRC,IOX Prov Roles ba,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.02.428910000 AM,TCR-E05-8842,19-JUN-21 07.42.02.428910000 AM
P1,163,IOX Prov Roles Certified Nurse Midwife,PRC,IOX Prov Roles cnw,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.03.056423000 AM,TCR-E05-8842,19-JUN-21 07.42.03.056423000 AM
P1,164,IOX Prov Roles Chiropractor,PRC,IOX Prov Roles ch,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.03.515521000 AM,TCR-E05-8842,19-JUN-21 07.42.03.515521000 AM
P1,165,IOX Prov Roles Dental Provider,PRC,IOX Prov Roles dp,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.04.142324000 AM,TCR-E05-8842,19-JUN-21 07.42.04.142324000 AM
P1,166,IOX Prov Roles Dentist,PRC,IOX Prov Roles de,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.04.602068000 AM,TCR-E05-8842,19-JUN-21 07.42.04.602068000 AM
P1,167,"IOX Prov Roles Dev, Rehab and Restorative",PRC,IOX Prov Roles drr,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.05.231397000 AM,TCR-E05-8842,19-JUN-21 07.42.05.231397000 AM
P1,168,IOX Prov Roles Emergency Medical Service,PRC,IOX Prov Roles em,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.06.889642000 AM,TCR-E05-8842,19-JUN-21 07.42.06.889642000 AM
P1,169,IOX Prov Roles Nursing Service Related Providers,PRC,IOX Org Roles nu,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.07.345247000 AM,TCR-E05-8842,19-JUN-21 07.42.07.345247000 AM
P1,170,IOX Prov Roles Occupational Therapist,PRC,IOX Org Roles ot,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.08.316705000 AM,TCR-E05-8842,19-JUN-21 07.42.08.316705000 AM
P1,171,IOX Prov Roles Optician,PRC,IOX Org Roles op,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.09.120565000 AM,TCR-E05-8842,19-JUN-21 07.42.09.120565000 AM
P1,172,IOX Prov Roles Optometrist,PRC,IOX Org Roles oo,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.09.750502000 AM,TCR-E05-8842,19-JUN-21 07.42.09.750502000 AM
P1,173,IOX Prov Roles Other Service Provider,PRC,IOX Org Roles os,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.10.382726000 AM,TCR-E05-8842,19-JUN-21 07.42.10.382726000 AM
P1,174,IOX Prov Roles Pharmacy Service Providers,PRC,IOX Prov Roles rx,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.17.016012000 AM,TCR-E05-8842,19-JUN-21 07.42.17.016012000 AM
P1,175,IOX Prov Roles Physical Therapist,PRC,IOX Prov Roles pt,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.17.657859000 AM,TCR-E05-8842,19-JUN-21 07.42.17.657859000 AM
P1,176,IOX Prov Roles Physician,PRC,IOX Prov Roles ph,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.18.293093000 AM,TCR-E05-8842,19-JUN-21 07.42.18.293093000 AM
P1,177,IOX Prov Roles Physician Assistant,PRC,IOX Prov Roles pa,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.19.271198000 AM,TCR-E05-8842,19-JUN-21 07.42.19.271198000 AM
P1,178,IOX Prov Roles Physical Therapist,PRC,IOX Prov Roles pt,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.19.794032000 AM,TCR-E05-8842,19-JUN-21 07.42.19.794032000 AM
P1,179,IOX Prov Roles Psychologist,PRC,IOX Prov Roles py,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.20.424499000 AM,TCR-E05-8842,19-JUN-21 07.42.20.424499000 AM
P1,180,IOX Prov Roles Registered Nurse,PRC,IOX Prov Roles rn,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.20.882320000 AM,TCR-E05-8842,19-JUN-21 07.42.20.882320000 AM
P1,181,IOX Prov Roles Speech Language Pathologist,PRC,IOX Prov Roles sp,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.21.513238000 AM,TCR-E05-8842,19-JUN-21 07.42.21.513238000 AM
P1,182,"IOX Prov Roles Speech, Lang and Hearing Service",PRC,IOX Prov Roles sh,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.22.143558000 AM,TCR-E05-8842,19-JUN-21 07.42.22.143558000 AM
P1,183,IOX Prov Roles Tech Service Providers,PRC,IOX Prov Roles te,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.22.776265000 AM,TCR-E05-8842,19-JUN-21 07.42.22.776265000 AM
P1,184,IOX Prov Role Types for Residential treatment facility,PRC,IOX Role Type RTF,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.23.578378000 AM,TCR-E05-8842,19-JUN-21 07.42.23.578378000 AM
P1,185,IOX Prov Role Types for Nursing or custodial care facility,PRC,IOX Role Type NCCF,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.25.063711000 AM,TCR-E05-8842,19-JUN-21 07.42.25.063711000 AM
P1,186,IOX Prov Role Types for Ambulance,PRC,IOX Role Type AMB,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.26.461995000 AM,TCR-E05-8842,19-JUN-21 07.42.26.461995000 AM
P1,187,IOX Prov Role Types for Home Health,PRC,IOX Role Type homeHealth,51109775,P_TY_CD,1,SPRATT01,05-JAN-23 08.43.23.253000000 AM,TCR-E05-8842,19-JUN-21 07.42.27.260585000 AM
P1,188,IOX Prov Role Types for Laboratory,PRC,IOX Role Type laboratory,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.28.912026000 AM,TCR-E05-8842,19-JUN-21 07.42.28.912026000 AM
P1,189,IOX Prov Role Types for Hospital,PRC,IOX Role Type HOSP,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.29.540075000 AM,TCR-E05-8842,19-JUN-21 07.42.29.540075000 AM
P1,190,IOX Prov Role Types for Pharmacy,PRC,IOX Role Type PHARM,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.30.513335000 AM,TCR-E05-8842,19-JUN-21 07.42.30.513335000 AM
P1,191,IOX Prov Role Types for Providers Office,PRC,IOX Role Type PROFF,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.31.318454000 AM,TCR-E05-8842,19-JUN-21 07.42.31.318454000 AM
P1,193,IOX Svc Category Behavioral Health,PRC,IOX Svc Category behav,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.40.765606000 AM,TCR-E05-8842,19-JUN-21 07.42.40.765606000 AM
P1,192,IOX Prov Role Types for Outpatient Facility,PRC,IOX Role Type OF,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.42.43.810949000 AM,TCR-E05-8842,19-JUN-21 07.42.43.810949000 AM
P1,194,List of provider that should not be sent to IOX,PRC,IOX Provider Exclusion,,P_TY_CD,0,TCR-E05-8948,18-JUL-21 10.17.33.629538000 AM,TCR-E05-8948,18-JUL-21 10.17.33.629538000 AM
P1,202,MCOs that store SSN in their system,PRC,MCO with SSN,,W_TP_ID,0,NH TCR-E05-9683,17-APR-22 02.30.46.000000000 AM,NH TCR-E05-9683,17-APR-22 02.30.46.000000000 AM
P1,201,MCOs that store FEIN in their system,PRC,MCO with FEIN,,W_TP_ID,0,NH TCR-E05-9683,17-APR-22 02.30.47.000000000 AM,NH TCR-E05-9683,17-APR-22 02.30.47.000000000 AM
P1,1452,Provider Enrollment Type,PRC,Provider Enrollment Type,,P_ENROL_TY_CD,0,TCR-E05-6621,28-JUL-19 11.08.02.380852000 AM,TCR-E05-6621,28-JUL-19 11.08.02.380852000 AM
P1,1450,Provider Enrollment Type,PRC,Provider Enrollment Type,,P_ENROL_TY_CD,0,TCR-E05-6600,28-JUL-19 11.21.32.946349000 AM,TCR-E05-6600,28-JUL-19 11.21.32.946349000 AM
P1,1451,Prescribing Provider Type,PRC,P_TY_CD,50857614,P_TY_CD,1,SPRATT01,10-APR-20 10.21.14.905000000 AM,TCR-E05-6620,28-JUL-19 11.41.43.558133000 AM
P1,1454,"Prov Type Req Dental Hygiene Lic Attach
",PRC,Prov Type Req Dental Hygiene Lic Attach,50857616,P_TY_CD,0,SPRATT01,10-APR-20 10.23.22.446000000 AM,SPRATT01,10-APR-20 10.23.22.446000000 AM
P1,250,Dental providers that require adult or child speciality,PRC,Dental Prov that require adult or child speciality,,P_TY_CD,0,NH TCR-E05-10534-20230320,26-MAR-23 01.11.18.000000000 AM,NH TCR-E05-10534-20230320,26-MAR-23 01.11.18.000000000 AM
P1,251,Specialty required for Dental Providers,PRC,Specialty required for Dental Providers,,P_SPECL_CD,0,NH TCR-E05-10534-20230320,26-MAR-23 01.11.18.000000000 AM,NH TCR-E05-10534-20230320,26-MAR-23 01.11.18.000000000 AM
P1,1163,P_APPL_STAT_CD,PRC,P_APPL_STAT_CD,,P_APPL_STAT_CD,0,TCR-E05-10852,09-JUL-23 02.02.33.000000000 AM,TCR-E05-10852,09-JUL-23 02.02.33.000000000 AM
P1,260,Provider types sent on the EVV file,PRC,EVV Provider Type,,P_TY_CD,0,NH TCR-E05-10840-20230703,09-JUL-23 02.06.22.000000000 AM,NH TCR-E05-10840-20230703,09-JUL-23 02.06.22.000000000 AM
P1,261,EVV Service - Prov Type 006,PRC,EVV Service - Prov Type 006,,R_PROC_PLUS_MODS_CD,0,NH TCR-E05-10840-20230703,09-JUL-23 02.09.28.000000000 AM,NH TCR-E05-10840-20230703,09-JUL-23 02.09.28.000000000 AM
P1,262,EVV Service - Prov Type 039,PRC,EVV Service - Prov Type 039,,R_PROC_PLUS_MODS_CD,0,NH TCR-E05-10840-20230703,09-JUL-23 02.09.30.000000000 AM,NH TCR-E05-10840-20230703,09-JUL-23 02.09.30.000000000 AM
P1,263,EVV Service - Prov Type 040,PRC,EVV Service - Prov Type 040,,R_PROC_PLUS_MODS_CD,0,NH TCR-E05-10840-20230703,09-JUL-23 02.09.30.000000000 AM,NH TCR-E05-10840-20230703,09-JUL-23 02.09.30.000000000 AM
P1,264,EVV Service - Prov Type 041,PRC,EVV Service - Prov Type 041,,R_PROC_PLUS_MODS_CD,0,NH TCR-E05-10840-20230703,09-JUL-23 02.09.30.000000000 AM,NH TCR-E05-10840-20230703,09-JUL-23 02.09.30.000000000 AM
P1,265,EVV Service - Prov Type 059,PRC,EVV Service - Prov Type 059,,R_PROC_PLUS_MODS_CD,0,NH TCR-E05-10840-20230703,09-JUL-23 02.09.31.000000000 AM,NH TCR-E05-10840-20230703,09-JUL-23 02.09.31.000000000 AM
P1,266,EVV Service - Prov Type 060,PRC,EVV Service - Prov Type 060,,R_PROC_PLUS_MODS_CD,0,NH TCR-E05-10840-20230703,09-JUL-23 02.09.33.000000000 AM,NH TCR-E05-10840-20230703,09-JUL-23 02.09.33.000000000 AM
P1,267,EVV Service - Prov Type 094,PRC,EVV Service - Prov Type 094,,R_PROC_PLUS_MODS_CD,0,NH TCR-E05-10840-20230703,09-JUL-23 02.09.35.000000000 AM,NH TCR-E05-10840-20230703,09-JUL-23 02.09.35.000000000 AM
P1,268,EVV Service - Prov Type 206,PRC,EVV Service - Prov Type 206,,R_PROC_PLUS_MODS_CD,0,NH TCR-E05-10840-20230703,09-JUL-23 02.09.35.000000000 AM,NH TCR-E05-10840-20230703,09-JUL-23 02.09.35.000000000 AM
P1,269,EVV Service - Prov Type 207,PRC,EVV Service - Prov Type 207,,R_PROC_PLUS_MODS_CD,0,NH TCR-E05-10840-20230703,09-JUL-23 02.09.35.000000000 AM,NH TCR-E05-10840-20230703,09-JUL-23 02.09.35.000000000 AM
P1,270,EVV Service - Prov Type 209,PRC,EVV Service - Prov Type 209,,R_PROC_PLUS_MODS_CD,0,NH TCR-E05-10840-20230703,09-JUL-23 02.09.36.000000000 AM,NH TCR-E05-10840-20230703,09-JUL-23 02.09.36.000000000 AM
P1,271,EVV Service - Prov Type 210,PRC,EVV Service - Prov Type 210,,R_PROC_PLUS_MODS_CD,0,NH TCR-E05-10840-20230703,09-JUL-23 02.09.36.000000000 AM,NH TCR-E05-10840-20230703,09-JUL-23 02.09.36.000000000 AM
P1,272,EVV Service - Prov Type 236,PRC,EVV Service - Prov Type 236,,R_PROC_PLUS_MODS_CD,0,NH TCR-E05-10840-20230703,09-JUL-23 02.09.37.000000000 AM,NH TCR-E05-10840-20230703,09-JUL-23 02.09.37.000000000 AM
P1,320,List of Events that generate the first reval letter to be used by PRV-MNT-130 report.,PRC,PRV-MNT-130-1st Ltr Events,,P_EVENT_CD,0,TCR-E05-12151,02-FEB-25 01.16.03.000000000 AM,TCR-E05-12151,02-FEB-25 01.16.03.000000000 AM
P1,321,List of Events that generate the second reval letter to be used by PRV-MNT-130 report.,PRC,PRV-MNT-130-2nd Ltr Events,,P_EVENT_CD,0,TCR-E05-12151,02-FEB-25 01.16.03.000000000 AM,TCR-E05-12151,02-FEB-25 01.16.03.000000000 AM
P1,322,List of Events that generate the third reval letter to be used by PRV-MNT-130 report.,PRC,PRV-MNT-130-3rd Ltr Events,,P_EVENT_CD,0,TCR-E05-12151,02-FEB-25 01.16.04.000000000 AM,TCR-E05-12151,02-FEB-25 01.16.04.000000000 AM
P1,1456,Sub Capitation Code,PRC,Sub Capitation Code,,P_SUBCAP_TY_CD,0,NH TCR-E05-11718-20240624,30-JUN-24 02.23.13.000000000 AM,NH TCR-E05-11718-20240624,30-JUN-24 02.23.13.000000000 AM
P1,1457,Provider Types for Sub Capitation Affiliations,UIS,Sub Capitation Affiliation PT,,P_TY_CD,0,NH TCR-E05-11718-20240624,30-JUN-24 02.23.14.000000000 AM,NH TCR-E05-11718-20240624,30-JUN-24 02.23.14.000000000 AM
P1,1458,Provider Network Types for Sub Capitation,UIS,Sub Capitation Network Type,,R_NW_TY_CD,0,NH TCR-E05-11718-20240624,30-JUN-24 02.23.14.000000000 AM,NH TCR-E05-11718-20240624,30-JUN-24 02.23.14.000000000 AM
P1,281,User Roles-Void Prov Enrol Privilege,PRC,User Roles-Void Prov Enrol Privilege,,G_SECUR_ROLE_CD,0,TCR-E05-12296,06-APR-25 12.55.35.000000000 AM,TCR-E05-12296,06-APR-25 12.55.35.000000000 AM
P1,318,Reval statuses that will display information message at login,PRC,Reval Status Info Msg,,P_REVLDTN_STAT_CD,0,TCR-E05-12366,11-MAY-25 04.13.42.000000000 AM,TCR-E05-12366,11-MAY-25 04.13.42.000000000 AM
P1,317,Exclude group providers from affiliation reval,PRC,Exclude Group Affil from Reval,,P_TY_CD,0,TCR-E05-12366,11-MAY-25 04.13.42.000000000 AM,TCR-E05-12366,11-MAY-25 04.13.42.000000000 AM
P1,280,User Roles-Void Prov Enrol Privilege,PRC,User Roles-Void Prov Enrol Privilege,,G_SECUR_ROLE_CD,0,TCR-E05-12527,20-JUL-25 05.35.17.000000000 AM,TCR-E05-12527,20-JUL-25 05.35.17.000000000 AM
P1,273,EVV Trading Partner ID,PRC,EVV Trading Partner ID,,W_TP_ID,0,TCR-E05-11501,24-MAR-24 01.04.09.000000000 AM,TCR-E05-11501,24-MAR-24 01.04.09.000000000 AM
P1,274,EVV Inbound X12 Transactions,PRC,EVV Inbound X12 Transactions,,W_TP_ID,0,TCR-E05-11501,24-MAR-24 01.04.10.000000000 AM,TCR-E05-11501,24-MAR-24 01.04.10.000000000 AM
P1,300,Reval statuses that will initiate suspension,PRC,Reval Status Initiate suspend,,P_REVLDTN_STAT_CD,0,TCR-E05-11865,08-SEP-24 01.08.53.000000000 AM,TCR-E05-11865,08-SEP-24 01.08.53.000000000 AM
P1,301,Reval statuses that will cancel suspension,PRC,Reval status Cancel Suspend,,P_REVLDTN_STAT_CD,0,TCR-E05-11865,08-SEP-24 01.08.54.000000000 AM,TCR-E05-11865,08-SEP-24 01.08.54.000000000 AM
P1,302,Providers to exclude for revalidation selection,PRC,Reval Exclusion P_TY_CD,,P_TY_CD,0,TCR-E05-11865,08-SEP-24 01.08.54.000000000 AM,TCR-E05-11865,08-SEP-24 01.08.54.000000000 AM
