"p_sys_id","p_txnmy_sk","p_txnmy_cd","p_txnmy_beg_dt","p_txnmy_end_dt","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900193","1000023","261QR1300X","02-MAY-11","15-MAR-84","2","SYSTEM","13-JUN-26 11.36.11.173533000 AM","SYSTEM","25-MAY-26 02.29.19.173533000 AM"
"900158","1000024","261QR1300X","09-NOV-10","22-JUN-38","2","SYSTEM","26-AUG-25 07.11.32.174532000 PM","SYSTEM","22-AUG-25 04.00.42.174532000 PM"
"900179","1000025","207RC0000X","01-NOV-11","21-MAR-79","3","SYSTEM","24-MAY-26 10.06.11.174532000 AM","SYSTEM","05-MAY-26 11.26.50.174532000 PM"
"900156","1000026","207RC0000X","12-MAR-10","10-OCT-83","2","SYSTEM","25-MAR-26 09.36.57.175532000 PM","SYSTEM","19-MAR-26 12.28.32.175532000 AM"
"900167","1000027","261QR1300X","30-MAY-10","18-APR-48","2","SYSTEM","01-FEB-26 09.12.22.175532000 PM","SYSTEM","11-JAN-26 10.20.26.175532000 PM"
"900178","1000028","261QR1300X","24-AUG-11","27-JAN-31","3","SYSTEM","28-NOV-25 07.55.36.176532000 AM","SYSTEM","07-NOV-25 08.33.28.176532000 AM"
"900163","1000029","282N00000X","11-MAY-10","11-AUG-28","2","SYSTEM","15-NOV-25 01.49.34.176532000 PM","SYSTEM","07-NOV-25 10.24.44.176532000 PM"
"900200","1000030","2084N0400X","14-MAY-11","12-MAY-45","2","SYSTEM","14-AUG-25 04.54.28.177514000 PM","SYSTEM","30-JUL-25 02.27.08.177514000 PM"
"900192","1000031","282N00000X","03-MAY-11","03-FEB-57","3","SYSTEM","01-SEP-25 07.37.48.178546000 AM","SYSTEM","21-AUG-25 02.26.51.178546000 AM"
"900162","1000032","261QP2300X","15-NOV-11","12-MAR-68","2","SYSTEM","28-OCT-25 04.08.17.179533000 AM","SYSTEM","15-OCT-25 05.21.19.179533000 AM"
"900159","1000033","282N00000X","02-NOV-09","19-SEP-28","3","SYSTEM","29-JAN-26 05.36.26.180533000 AM","SYSTEM","01-JAN-26 11.17.02.180533000 AM"
"900194","1000034","207RC0000X","24-MAR-10","24-SEP-42","3","SYSTEM","23-MAR-26 08.31.36.181526000 AM","SYSTEM","24-FEB-26 01.01.35.181526000 PM"
"900183","1000035","207Q00000X","08-DEC-10","09-JUN-40","3","SYSTEM","31-AUG-25 03.54.13.182765000 AM","SYSTEM","14-AUG-25 12.08.17.182765000 PM"
"900155","1000036","207R00000X","23-DEC-11","03-DEC-59","2","SYSTEM","10-MAR-26 12.09.03.183764000 AM","SYSTEM","09-FEB-26 10.38.26.183764000 AM"
"900173","1000037","2084N0400X","09-MAR-10","28-APR-74","2","SYSTEM","25-OCT-25 12.37.51.184758000 PM","SYSTEM","25-OCT-25 01.08.01.184758000 AM"
"900195","1000038","207RC0000X","22-JUL-10","19-APR-48","2","SYSTEM","14-JAN-26 11.51.08.185757000 PM","SYSTEM","27-DEC-25 02.16.29.185757000 AM"
"900157","1000039","261QP2300X","19-MAY-11","09-MAR-62","2","SYSTEM","14-FEB-26 12.50.06.186757000 PM","SYSTEM","14-FEB-26 12.36.41.186757000 PM"
"900182","1000040","207Q00000X","28-AUG-11","14-OCT-39","2","SYSTEM","25-SEP-25 04.49.41.187766000 AM","SYSTEM","01-SEP-25 11.37.25.187766000 AM"
"900190","1000041","261QR1300X","29-JUN-11","15-FEB-99","2","SYSTEM","23-AUG-25 07.28.28.188757000 AM","SYSTEM","24-JUL-25 06.35.33.188757000 AM"
"900188","1000042","282N00000X","04-SEP-11","17-OCT-73","2","SYSTEM","22-DEC-25 09.34.44.189757000 PM","SYSTEM","01-DEC-25 01.19.15.189757000 AM"
"900181","1000043","208D00000X","28-NOV-11","29-MAY-74","2","SYSTEM","19-SEP-25 04.55.58.190757000 PM","SYSTEM","15-SEP-25 12.56.39.190757000 AM"
"900199","1000044","208D00000X","06-JUN-11","27-MAY-66","3","SYSTEM","10-FEB-26 10.40.58.191757000 AM","SYSTEM","09-FEB-26 10.16.11.191757000 PM"
"900176","1000045","282N00000X","19-JUL-11","31-MAY-86","2","SYSTEM","09-MAY-26 11.17.15.191757000 AM","SYSTEM","20-APR-26 10.06.26.191757000 PM"
"900186","1000046","282N00000X","22-AUG-11","09-FEB-47","2","SYSTEM","15-JAN-26 12.13.43.192915000 PM","SYSTEM","16-DEC-25 12.36.49.192915000 AM"
"900153","1000047","2084N0400X","26-SEP-10","18-MAR-88","3","SYSTEM","28-SEP-25 01.46.44.193894000 PM","SYSTEM","22-SEP-25 09.52.48.193894000 PM"
"900177","1000048","207RC0000X","24-APR-10","13-AUG-71","2","SYSTEM","12-MAR-26 12.19.54.194942000 PM","SYSTEM","26-FEB-26 01.01.53.194942000 PM"
"900169","1000049","208D00000X","04-JUL-10","26-NOV-54","2","SYSTEM","25-JUN-26 10.05.58.195950000 PM","SYSTEM","03-JUN-26 12.50.14.195950000 AM"
"900166","1000050","2084N0400X","27-SEP-11","02-APR-84","2","SYSTEM","06-DEC-25 03.02.19.196952000 AM","SYSTEM","22-NOV-25 06.01.57.196952000 PM"
"900191","1000051","208D00000X","12-JUN-11","08-OCT-16","2","SYSTEM","29-JUN-26 11.08.43.197962000 PM","SYSTEM","31-MAY-26 09.40.03.197962000 AM"
