"p_sys_id","g_cnty_cd","p_scrn_locn_cd","b_sys_id","g_aud_add_ts","g_aud_add_user_id","g_aud_ts","g_aud_user_id","l_hibernate_ver_num"
"900192","51104","Q","643347","28-NOV-25 04.04.11.641524000 PM","SYSTEM","19-DEC-25 08.33.33.641524000 AM","SYSTEM","17"
"900171","14243","Q","642860","24-SEP-25 06.09.02.641524000 AM","SYSTEM","25-SEP-25 08.41.13.641524000 AM","SYSTEM","17"
"900160","13180","Q","642807","30-DEC-25 11.56.23.641524000 AM","SYSTEM","28-JAN-26 03.19.09.641524000 AM","SYSTEM","20"
"900180","63448","Q","642040","20-FEB-26 03.43.58.642759000 AM","SYSTEM","05-MAR-26 09.15.33.642759000 AM","SYSTEM","17"
"900173","86289","Q","641178","12-SEP-25 05.12.32.642759000 PM","SYSTEM","04-OCT-25 02.34.25.642759000 AM","SYSTEM","18"
"900167","91916","Q","642276","25-NOV-25 10.27.26.642759000 PM","SYSTEM","15-DEC-25 01.36.24.642759000 PM","SYSTEM","18"
"900151","04121","Q","641067","06-APR-26 11.02.20.643768000 AM","SYSTEM","01-MAY-26 12.12.29.643768000 PM","SYSTEM","17"
"900172","88428","Q","641857","01-JUN-26 08.15.45.643768000 PM","SYSTEM","06-JUN-26 04.45.53.643768000 PM","SYSTEM","18"
"900179","14365","Q","643033","30-DEC-25 06.27.43.644722000 PM","SYSTEM","28-JAN-26 10.17.37.644722000 PM","SYSTEM","20"
"900164","73453","Q","641969","16-OCT-25 03.55.44.644722000 AM","SYSTEM","17-OCT-25 11.02.37.644722000 AM","SYSTEM","17"
"900170","34164","Q","643926","14-NOV-25 03.58.16.645742000 AM","SYSTEM","17-NOV-25 05.21.20.645742000 AM","SYSTEM","19"
"900163","11162","Q","642319","01-DEC-25 11.45.32.645742000 PM","SYSTEM","17-DEC-25 08.02.22.645742000 PM","SYSTEM","19"
"900198","77755","Q","643795","11-AUG-25 02.09.03.645742000 AM","SYSTEM","23-AUG-25 05.39.44.645742000 AM","SYSTEM","18"
"900190","13688","Q","644431","15-FEB-26 08.22.50.646720000 AM","SYSTEM","18-MAR-26 06.11.06.646720000 AM","SYSTEM","17"
"900200","52491","Q","643573","09-JUL-26 12.53.04.646720000 AM","SYSTEM","25-JUL-26 06.55.37.646720000 PM","SYSTEM","20"
"900152","79544","Q","644261","07-AUG-25 02.19.34.646720000 AM","SYSTEM","25-AUG-25 02.52.55.646720000 PM","SYSTEM","17"
"900161","61730","Q","642945","08-JUL-26 06.33.38.647719000 PM","SYSTEM","29-JUL-26 12.42.14.647719000 PM","SYSTEM","18"
"900183","01718","Q","640918","26-OCT-25 11.27.15.647719000 AM","SYSTEM","03-NOV-25 10.22.19.647719000 AM","SYSTEM","20"
"900187","32237","Q","644441","29-OCT-25 06.12.21.647719000 AM","SYSTEM","01-NOV-25 09.32.05.647719000 AM","SYSTEM","20"
"900162","89142","Q","644184","31-DEC-25 02.22.31.647719000 PM","SYSTEM","21-JAN-26 10.23.08.647719000 AM","SYSTEM","17"
"900174","78422","Q","642489","09-JUN-26 05.30.36.648719000 PM","SYSTEM","30-JUN-26 02.14.13.648719000 PM","SYSTEM","19"
"900188","68237","Q","643020","15-MAY-26 02.51.09.648719000 PM","SYSTEM","12-JUN-26 05.00.32.648719000 PM","SYSTEM","17"
"900181","42401","Q","644167","15-OCT-25 01.53.09.648719000 PM","SYSTEM","20-OCT-25 04.54.25.648719000 PM","SYSTEM","20"
"900166","51348","Q","640606","11-JAN-26 02.27.54.649718000 PM","SYSTEM","15-JAN-26 03.11.05.649718000 AM","SYSTEM","19"
"900182","62925","Q","643424","31-AUG-25 04.16.04.649718000 AM","SYSTEM","31-AUG-25 10.24.32.649718000 AM","SYSTEM","17"
"900177","25937","Q","642280","06-JUN-26 08.23.28.649718000 AM","SYSTEM","22-JUN-26 06.46.00.649718000 PM","SYSTEM","18"
"900159","07405","Q","640815","13-SEP-25 03.13.30.650719000 AM","SYSTEM","02-OCT-25 08.05.57.650719000 AM","SYSTEM","19"
"900169","85633","Q","642808","14-JUL-26 06.59.32.650719000 AM","SYSTEM","19-JUL-26 04.58.31.650719000 AM","SYSTEM","17"
"900189","17625","Q","640616","13-MAY-26 07.20.19.650719000 PM","SYSTEM","27-MAY-26 09.32.43.650719000 PM","SYSTEM","18"
"900154","52218","Q","640569","11-NOV-25 04.08.23.651719000 AM","SYSTEM","24-NOV-25 12.14.50.651719000 AM","SYSTEM","18"
"900194","50019","Q","640885","14-AUG-25 08.04.37.651719000 AM","SYSTEM","16-AUG-25 11.16.14.651719000 PM","SYSTEM","20"
"900156","40968","Q","642539","17-FEB-26 09.43.22.651719000 PM","SYSTEM","19-FEB-26 01.35.05.651719000 AM","SYSTEM","19"
"900153","14093","Q","641047","16-APR-26 07.29.40.652966000 AM","SYSTEM","29-APR-26 11.51.48.652966000 PM","SYSTEM","19"
"900186","92280","Q","642590","07-JUN-26 12.54.17.652966000 AM","SYSTEM","26-JUN-26 12.12.09.652966000 AM","SYSTEM","19"
"900168","47551","Q","642348","09-OCT-25 11.59.05.652966000 AM","SYSTEM","02-NOV-25 01.44.57.652966000 AM","SYSTEM","19"
"900191","74079","Q","641858","09-AUG-25 09.02.31.653974000 AM","SYSTEM","04-SEP-25 01.13.08.653974000 PM","SYSTEM","20"
"900184","60955","Q","643565","29-DEC-25 05.05.05.653974000 PM","SYSTEM","19-JAN-26 08.33.46.653974000 AM","SYSTEM","17"
