"p_clia_num","p_clia_cert_li_num","p_clia_cert_ty_cd","p_clia_cert_beg_dt","p_clia_cert_end_dt","p_clia_lab_ty_cd","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts","p_clia_cert_seq_num"
"17D4206597","10","4","26-JUL-75","10-JUL-76","2","0","SYSTEM","09-APR-26 04.05.10.439201000 PM","SYSTEM","09-APR-26 03.55.31.439201000 AM","27"
"73D5897402","7","3","24-JUN-42","16-JUN-52","2","0","SYSTEM","21-MAR-26 10.06.10.440211000 AM","SYSTEM","13-MAR-26 04.49.29.440211000 AM","28"
"01D0323186","3","4","04-SEP-39","14-DEC-74","2","0","SYSTEM","13-JUL-26 04.25.14.441212000 PM","SYSTEM","01-JUL-26 09.56.59.441212000 PM","29"
"99D1236961","5","4","24-NOV-95","21-DEC-97","2","0","SYSTEM","02-SEP-25 02.02.05.442212000 PM","SYSTEM","14-AUG-25 11.22.30.442212000 AM","30"
"01D0590012","1","4","08-NOV-68","17-SEP-70","2","0","SYSTEM","09-OCT-25 02.42.26.443448000 PM","SYSTEM","22-SEP-25 02.11.51.443448000 PM","31"
"26D3129180","3","3","15-MAY-71","14-OCT-92","2","0","SYSTEM","29-APR-26 03.33.12.444448000 AM","SYSTEM","21-APR-26 02.27.45.444448000 AM","32"
"55D3177109","2","4","10-JAN-48","22-JUL-49","2","0","SYSTEM","02-SEP-25 11.15.33.444448000 PM","SYSTEM","17-AUG-25 06.32.21.444448000 AM","33"
"24D2033280","1","3","04-JAN-73","14-MAR-75","2","0","SYSTEM","12-APR-26 09.41.40.446447000 AM","SYSTEM","07-APR-26 12.53.21.446447000 PM","34"
"73D7531575","1","3","17-MAR-85","04-APR-88","2","0","SYSTEM","20-JUN-26 06.06.49.447446000 AM","SYSTEM","07-JUN-26 04.38.54.447446000 AM","35"
"69D0415559","1","4","21-APR-66","18-AUG-70","2","0","SYSTEM","29-MAR-26 03.44.58.448448000 AM","SYSTEM","17-MAR-26 12.28.11.448448000 AM","36"
"32D3485963","2","4","02-SEP-76","26-MAR-77","2","0","SYSTEM","16-MAR-26 01.56.56.448448000 PM","SYSTEM","10-MAR-26 06.59.36.448448000 PM","37"
"58D3468667","2","4","21-DEC-61","10-AUG-62","2","0","SYSTEM","04-FEB-26 01.39.27.449446000 AM","SYSTEM","08-JAN-26 02.14.24.449446000 AM","38"
"95D9863631","9","3","19-SEP-71","04-DEC-71","2","0","SYSTEM","05-JUN-26 09.45.24.450446000 AM","SYSTEM","02-JUN-26 09.21.37.450446000 AM","39"
"07D8532179","5","4","13-JUL-50","09-MAY-80","2","0","SYSTEM","06-SEP-25 12.41.42.451446000 AM","SYSTEM","15-AUG-25 02.04.46.451446000 AM","40"
"85D6778315","8","3","04-JUN-53","31-JAN-88","2","0","SYSTEM","08-FEB-26 02.19.00.452660000 AM","SYSTEM","04-FEB-26 09.25.58.452660000 AM","41"
"86D4943293","1","4","21-FEB-33","29-JAN-41","2","0","SYSTEM","29-SEP-25 10.08.56.452660000 AM","SYSTEM","08-SEP-25 04.24.31.452660000 PM","42"
"88D4245155","4","3","03-OCT-29","24-JAN-45","2","0","SYSTEM","20-JUN-26 07.37.44.453659000 AM","SYSTEM","25-MAY-26 08.14.06.453659000 AM","43"
"63D6508881","6","4","30-NOV-43","01-JAN-51","2","0","SYSTEM","18-APR-26 12.53.17.454659000 AM","SYSTEM","25-MAR-26 11.18.37.454659000 PM","44"
"94D2533169","1","4","25-DEC-44","29-SEP-47","2","0","SYSTEM","08-MAY-26 01.03.04.455661000 AM","SYSTEM","13-APR-26 11.41.10.455661000 AM","45"
"70D7642311","3","4","29-OCT-15","29-JAN-19","2","0","SYSTEM","30-DEC-25 07.01.23.456659000 PM","SYSTEM","03-DEC-25 01.01.07.456659000 AM","46"
"50D8819703","8","4","17-FEB-91","25-JUN-95","2","0","SYSTEM","05-JUN-26 09.37.27.457659000 PM","SYSTEM","02-JUN-26 01.08.52.457659000 AM","47"
"54D9213185","5","4","15-JUN-46","31-DEC-48","2","0","SYSTEM","21-MAY-26 12.53.10.457659000 PM","SYSTEM","20-MAY-26 09.01.46.457659000 PM","48"
"32D7235980","2","4","19-JUL-86","14-MAR-91","2","0","SYSTEM","24-MAR-26 03.19.04.458660000 PM","SYSTEM","28-FEB-26 05.56.16.458660000 PM","49"
"06D3371623","4","3","21-NOV-35","21-MAR-38","2","0","SYSTEM","17-MAR-26 03.58.21.459658000 AM","SYSTEM","16-MAR-26 05.39.23.459658000 PM","50"
